fold,total_val_bars,total_signals,total_trades_interp_a,total_trades_interp_b1_non_overlap,max_concurrent_positions,cum_return_interp_a,wealth_multiple_interp_a,profit_factor_interp_a,max_drawdown_interp_a,win_rate_interp_a,cum_return_interp_b1,wealth_multiple_interp_b1,profit_factor_interp_b1,max_drawdown_interp_b1,win_rate_interp_b1,cum_return_interp_b2,wealth_multiple_interp_b2,max_drawdown_interp_b2,buy_hold_return,buy_hold_wealth_multiple
1,843,686,686,80,11,-0.8780683118102867,0.12193168818971334,0.9814664438624751,0.9997934747364389,0.5204081632653061,-0.16295169592121694,0.8370483040787831,0.9752313933573281,0.6015220557645049,0.5375,-0.04988711114092681,0.9501128888590732,0.5224544914114769,-0.8209240001219655,0.17907599987803446
2,842,104,104,36,11,71.6744786279901,72.6744786279901,7.784625429409318,0.15330183610641313,0.8076923076923077,1.4876380248465373,2.4876380248465373,4.288770097797988,0.15330183610641313,0.7222222222222222,0.5713562155609153,1.5713562155609153,0.015330183610641318,1134747.0100849564,1134748.0100849564
3,842,235,235,44,11,25.809852704923312,26.809852704923312,3.018915192209576,0.493518135786095,0.6425531914893617,0.6366252934882608,1.6366252934882608,2.2344700595845275,0.14422036864234414,0.5681818181818182,0.41060997829682666,1.4106099782968267,0.06338574888851836,355.4930388076766,356.4930388076766
4,844,262,262,50,11,46.75598350058484,47.75598350058484,2.464097191060308,0.5517546702894043,0.6183206106870229,0.7652087081155683,1.7652087081155683,1.9854664811138296,0.1912705658954969,0.56,0.5090017676336769,1.5090017676336769,0.0743975722095998,613.3011982094608,614.3011982094608
5,844,331,331,55,11,21.158623352334565,22.158623352334565,1.7831976168116692,0.8074470999285089,0.6193353474320241,0.3222659812475659,1.322265981247566,1.4248492561920225,0.15286360837556798,0.5818181818181818,0.41111715134131765,1.4111171513413177,0.14631257013148774,51.56329329406319,52.56329329406319
