sim_seed,total_trades,mean_cum_return_pct,daily_equity_sharpe,trade_level_sharpe
0,250,52.099902664884574,0.5893268348596518,0.9195149079741185
1,250,8.474843864958467,0.17823909697723544,0.20750686136557023
2,252,17.560974101870915,0.3475348369147078,0.3958929002888031
3,250,37.69426201419242,0.38585480434859976,0.49598040176368513
4,241,29.23724144972868,0.313560120748111,0.33435789804382116
5,234,28.788707799756015,0.31378794028369383,0.4775104810682974
6,245,33.8511993317397,0.5199549332921278,0.7262207093627946
7,237,43.82833259609045,0.6313822511768383,0.8889150000314281
8,260,51.535239037665136,0.6029536683609381,0.8199355704148996
9,254,60.526401466031004,0.6274895820317236,0.8173194050978111
10,259,29.17518542088871,0.5011604694580629,0.6178636954059634
11,249,11.944632199696267,0.12661058646913242,0.17690942258526818
12,247,33.039864205001635,0.388700666647755,0.4404859690681434
13,248,57.422561151463675,0.6751549003240772,0.9112072590067302
14,245,48.6581832442251,0.5294902824257697,0.799974815767138
15,236,48.06135152742197,0.5201794059037503,0.7352980887941126
16,251,46.71988212229475,0.5084940147802957,0.6382296530388085
17,243,28.650616983787536,0.2792484039012456,0.41271049668367954
18,247,26.87840838862895,0.29968503244864353,0.347892963582458
19,251,74.42352004415885,0.7446121681578697,1.095343765892736
20,247,58.3093942328307,0.5557860364818955,0.7440112317301649
21,249,53.163525125715466,0.6062007169861868,0.8398003985397533
22,245,35.68482195421819,0.4563248590188652,0.6254693628619747
23,250,18.979978961340954,0.29115575384159875,0.4010632465858768
24,239,26.769546310214004,0.41541452726409445,0.5585026547057439
25,230,24.027442080068624,0.3955187214611274,0.45173373868926614
26,249,75.8671887050234,0.7094984307376899,1.0317917108126593
27,241,28.75103734490758,0.4179093253600433,0.5797692433741679
28,245,30.07513114057766,0.41157187373218046,0.48044473925531167
29,252,31.66343480930369,0.4266993373417475,0.5599111280554558
30,251,30.190953652394786,0.4210890775821367,0.5293410669706995
31,251,68.73823600461078,0.8398842559293985,1.180153074298703
