treatment,method_name,total_folds,mean_brier,brier_reduction,mean_log_loss,log_loss_reduction,mean_ece,mean_roc_auc,roc_auc_degradation,mean_ppr_050,mean_rank_correlation,mean_rank_inversions,degenerate_ppr_folds,fallback_count,criterion_1_brier_pass,criterion_2_logloss_pass,criterion_3_ppr_pass,criterion_4_auc_pass,all_criteria_pass
A,Uncalibrated Baseline,75,0.26380906502962415,0.0,0.7424428452470778,0.0,0.08378065391192295,0.5182448699806108,0.0,0.4628238853208334,1.0,0.0,11,0,True,True,True,True,True
B,Platt / Sigmoid Calibration,75,0.2503605424984564,0.01344852253116774,0.6938757771322638,0.04856706811481404,0.024886640407815186,0.5104366654470457,0.007808204533565122,0.6349613525034804,0.49333333333333335,103677.46666666666,63,0,True,True,False,False,False
C,Isotonic Calibration,75,0.2552052108560837,0.008603854173540426,0.9309914449835808,-0.18854859973650295,0.036447127923915974,0.5131088808285489,0.005135989152061926,0.599841406598115,0.7869549546315983,0.0,46,0,True,False,False,False,False
