strategy,fold,roc_auc,mcc,precision,cum_return_pct,total_trades,win_rate_pct,profit_factor,expectancy_pct,daily_sharpe,max_drawdown_pct
Candidate B2: P(up) >= 0.65,3,0.5999486609052793,0.13458757721863437,1.0,66.2368131877214,9,100.0,99.0,5.9509752823151025,1.9419774283284095,6.430740531391521
Candidate B3: P(up) >= 0.70,3,0.5999486609052793,0.13458757721863437,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
Candidate C: Combined P(up) >= 0.55 & ExpRet > 1.0%,3,0.5999486609052793,0.13458757721863437,0.7818181818181819,58.35925362180004,21,76.19047619047619,5.278339688416112,2.3012018496997246,1.2489004540990027,8.335863541321197
Candidate D: Cost-Adjusted ExpRet - 10bps > 0.5%,3,0.5999486609052793,0.13458757721863437,0.6160714285714286,73.6054619647626,40,62.5,2.481773847267963,1.4905929855958528,1.095658924801615,14.682444423975971
Candidate E: Expected Value Score > 0.8%,3,0.5999486609052793,0.13458757721863437,0.8421052631578947,57.64983226167114,11,81.81818181818183,15.74645276343946,4.321635687246408,1.6934204563326305,7.113842149410692
Candidate A: Baseline P(up) >= 0.55,4,0.5951482726295814,0.16083239446033656,0.6640316205533597,53.76994656753927,36,61.111111111111114,2.0730710336240583,1.2963591802085381,0.9116548701238172,14.18511606873209
Candidate B1: P(up) >= 0.60,4,0.5951482726295814,0.16083239446033656,0.6474358974358975,44.055429164907984,32,62.5,1.928058700136906,1.2504413180994247,0.8244204234129686,14.436277565785222
Candidate B2: P(up) >= 0.65,4,0.5951482726295814,0.16083239446033656,0.6826923076923077,54.822642544956146,24,66.66666666666666,2.5971373002455462,1.9630891919366524,1.0984281185722216,12.052216819241607
Candidate B3: P(up) >= 0.70,4,0.5951482726295814,0.16083239446033656,0.7678571428571429,62.09229094091777,17,82.35294117647058,4.573585130535576,3.003949667905567,1.3955495228002606,9.265839210778804
Candidate C: Combined P(up) >= 0.55 & ExpRet > 1.0%,4,0.5951482726295814,0.16083239446033656,0.6576576576576577,28.271465420456256,22,59.09090909090909,1.9444305678759215,1.2483716204845312,0.6669955535782617,12.21234140098127
Candidate D: Cost-Adjusted ExpRet - 10bps > 0.5%,4,0.5951482726295814,0.16083239446033656,0.583596214511041,38.05401859593441,46,56.52173913043478,1.5576334815257213,0.8003030116687571,0.6391370614478475,20.396198893143673
Candidate E: Expected Value Score > 0.8%,4,0.5951482726295814,0.16083239446033656,0.6417910447761194,36.439220815209936,17,64.70588235294117,2.9280091635266716,1.9665691454450935,0.8862524391341401,14.522105006308303
Candidate A: Baseline P(up) >= 0.55,5,0.5866544042509708,0.14906219157071818,0.6342182890855457,28.596108312337705,51,62.745098039215684,1.3775942129354477,0.6154616055124057,0.45132775140165143,23.074111759775874
Candidate B1: P(up) >= 0.60,5,0.5866544042509708,0.14906219157071818,0.6352941176470588,36.59585407986623,29,65.51724137931035,1.825486078715722,1.22438090310674,0.5967433281923299,21.121206018473263
Candidate B2: P(up) >= 0.65,5,0.5866544042509708,0.14906219157071818,0.6190476190476191,12.970819736309174,18,72.22222222222221,1.576464111461396,0.8206029923550656,0.34744366728709064,23.187438098283145
Candidate B3: P(up) >= 0.70,5,0.5866544042509708,0.14906219157071818,0.6388888888888888,-10.839930745177567,13,46.15384615384615,0.6255305192831871,-0.742435930253344,-0.2317421729293565,23.11091867732425
Candidate C: Combined P(up) >= 0.55 & ExpRet > 1.0%,5,0.5866544042509708,0.14906219157071818,0.5877192982456141,9.388875581189525,22,63.63636363636363,1.3807425408409701,0.5167530150451466,0.2684059410292164,20.251119481905587
Candidate D: Cost-Adjusted ExpRet - 10bps > 0.5%,5,0.5866544042509708,0.14906219157071818,0.6,78.34448258922171,55,61.81818181818181,1.7182988374504244,1.2369819714408823,0.8530814528721465,24.858594416121868
Candidate E: Expected Value Score > 0.8%,5,0.5866544042509708,0.14906219157071818,0.6617647058823529,35.31521801356617,20,75.0,2.4161880677958685,1.6617124033542943,0.7729663066339467,23.81297294785427
