asset,model,fold,target_name,train_samples,validation_samples,base_positive_rate,roc_auc,pr_auc,mcc,f1,precision,recall,accuracy,ppr,mean_realized_ret_buy,mean_realized_ret_sell,training_time,prediction_time
reliance_ns,logistic_regression,1,TARGET_A,883,926,0.4813137032842582,0.4933581684860774,0.5610721466157638,0.01864732935055233,0.015473887814313346,0.6666666666666666,0.007827788649706457,0.4503239740820734,0.0064794816414686825,0.024783908288566126,0.014197396692407877,0.10919230000581592,0.003564199898391962
reliance_ns,random_forest,1,TARGET_A,883,926,0.4813137032842582,0.5130384551906255,0.5719337981182006,0.0514991785110227,0.311046511627907,0.6045197740112994,0.20939334637964774,0.48812095032397407,0.19114470842332612,0.01489117220012301,0.014118252239419054,0.8553544000023976,0.1792650999268517
reliance_ns,xgboost,1,TARGET_A,883,926,0.4813137032842582,0.4905995803173555,0.5586488918275654,-0.0019233964280454916,0.25075528700906347,0.5496688741721855,0.162426614481409,0.46436285097192226,0.1630669546436285,0.017961962349898813,0.013545873666983123,0.3851881999289617,0.009285000036470592
reliance_ns,logistic_regression,1,TARGET_B,883,926,0.49377123442808607,0.4843245106346311,0.5631355622631794,-0.07729746008887559,0.06518010291595197,0.41304347826086957,0.035381750465549346,0.4114470842332613,0.04967602591792657,-0.015837603220986606,0.015839588812400034,0.024125399999320507,0.0028821000596508384
reliance_ns,random_forest,1,TARGET_B,883,926,0.49377123442808607,0.5311523124278937,0.6221027823082154,0.08710429946616995,0.3968871595330739,0.6538461538461539,0.2849162011173184,0.4978401727861771,0.2526997840172786,0.01359815567139627,0.01449182077982647,0.4838288000319153,0.12794939999002963
reliance_ns,xgboost,1,TARGET_B,883,926,0.49377123442808607,0.5356857338445999,0.6296738499893889,0.07679197450587684,0.34924965893587995,0.6530612244897959,0.2383612662942272,0.48488120950323976,0.21166306695464362,0.010702101686214341,0.015222871885272098,0.3681691000238061,0.008463699952699244
reliance_ns,logistic_regression,1,TARGET_C,883,926,0.4971687429218573,0.45929098608590446,0.5663943330691852,-0.048175904394194176,0.08925619834710743,0.5,0.04900181488203267,0.40496760259179265,0.058315334773218146,-0.007213115818528796,0.015596120024022017,0.0195409000152722,0.004509499995037913
reliance_ns,random_forest,1,TARGET_C,883,926,0.4971687429218573,0.5301101028433153,0.6221707642029625,0.03233346590634042,0.4541284403669725,0.616822429906542,0.35934664246823955,0.48596112311015116,0.3466522678185745,0.011644533652739722,0.01565688116399536,0.4275646999012679,0.1528203000780195
reliance_ns,xgboost,1,TARGET_C,883,926,0.4971687429218573,0.5076781609195402,0.6184367892172637,-0.0025239926043619113,0.41371158392434987,0.5932203389830508,0.3176043557168784,0.46436285097192226,0.3185745140388769,0.01062733882982709,0.01596710531211989,0.4375923000043258,0.01584890007507056
reliance_ns,logistic_regression,1,TARGET_D,883,926,0.5096262740656852,0.43832061834972896,0.5937476256836511,-0.08163362630747974,0.08978328173374613,0.48333333333333334,0.04948805460750853,0.3650107991360691,0.06479481641468683,-0.006448207867653932,0.015701155749198475,0.015769199933856726,0.004140199976973236
reliance_ns,random_forest,1,TARGET_D,883,926,0.5096262740656852,0.538606705480827,0.6399973842493664,0.039241941669519324,0.5180598555211559,0.6553524804177546,0.4283276450511945,0.4956803455723542,0.4136069114470842,0.010269409760511572,0.01708494377250592,0.5102477000327781,0.13999599998351187
reliance_ns,xgboost,1,TARGET_D,883,926,0.5096262740656852,0.5198002409154788,0.6404390482358588,0.014559197936472692,0.37681159420289856,0.6446280991735537,0.26621160409556316,0.4427645788336933,0.2613390928725702,0.01498898967821852,0.014010194304996728,0.40533129998948425,0.00973719998728484
reliance_ns,logistic_regression,1,TARGET_E,883,926,0.4971687429218573,0.45929098608590446,0.5663943330691852,-0.048175904394194176,0.08925619834710743,0.5,0.04900181488203267,0.40496760259179265,0.058315334773218146,-0.007213115818528796,0.015596120024022017,0.021089599933475256,0.0043898000149056315
reliance_ns,random_forest,1,TARGET_E,883,926,0.4971687429218573,0.5301101028433153,0.6221707642029625,0.03233346590634042,0.4541284403669725,0.616822429906542,0.35934664246823955,0.48596112311015116,0.3466522678185745,0.011644533652739722,0.01565688116399536,0.5085602999897674,0.17119999998249114
reliance_ns,xgboost,1,TARGET_E,883,926,0.4971687429218573,0.5076781609195402,0.6184367892172637,-0.0025239926043619113,0.41371158392434987,0.5932203389830508,0.3176043557168784,0.46436285097192226,0.3185745140388769,0.01062733882982709,0.01596710531211989,0.3609776000957936,0.00901709997560829
reliance_ns,logistic_regression,1,TARGET_F,883,926,0.304643261608154,0.5,0.23810373430995085,-0.026838498967333868,0.21582906483649925,0.22795685332659166,0.3262137399994532,0.3262137399994532,0.02159827213822894,-0.04623921113063745,0.02940256964182285,0.04223070002626628,0.00404040003195405
reliance_ns,random_forest,1,TARGET_F,883,926,0.304643261608154,0.5,0.4354567721538798,0.03186582695827057,0.3027770302303134,0.37367309633615875,0.3581255844694078,0.3581255844694078,0.05183585313174946,0.0023236272412260023,0.008578601564698847,0.6381698000477627,0.18802809994667768
reliance_ns,xgboost,1,TARGET_F,883,926,0.304643261608154,0.5,0.39414219295388836,0.029701750733203094,0.2986115244947993,0.3511780929866036,0.36541780967770215,0.36541780967770215,0.05075593952483801,-0.004640000825360323,0.006208643253755719,0.7159467999590561,0.011983599979430437
reliance_ns,logistic_regression,2,TARGET_A,1809,937,0.5174129353233831,0.5112122537495672,0.49551587074137554,0.0514916394511161,0.6617429837518464,0.5056433408577878,0.9572649572649573,0.5112059765208111,0.9455709711846318,0.002965587499271407,0.004835567128224226,0.018854600028134882,0.004127599997445941
reliance_ns,random_forest,2,TARGET_A,1809,937,0.5174129353233831,0.47204453920871825,0.49083380123421766,-0.01194484770706743,0.46258503401360546,0.4927536231884058,0.4358974358974359,0.49413020277481323,0.4418356456776948,0.004146467938353807,0.0022131677273717508,0.5650661999825388,0.19208189996425062
reliance_ns,xgboost,2,TARGET_A,1809,937,0.5174129353233831,0.49425947187141217,0.5005343990016966,0.007516913237962388,0.41064638783269963,0.5046728971962616,0.34615384615384615,0.503735325506937,0.3425827107790822,0.005309213186916926,0.0018991347644376128,0.5555677999509498,0.009710700018331409
reliance_ns,logistic_regression,2,TARGET_B,1809,937,0.5378662244333886,0.5245726106291463,0.5275350641585477,0.0013073538434245709,0.630659253375695,0.5050890585241731,0.8393234672304439,0.503735325506937,0.8388473852721452,0.002915956785087831,0.003855512680893162,0.023953299969434738,0.0030212999554350972
reliance_ns,random_forest,2,TARGET_B,1809,937,0.5378662244333886,0.5310176241160603,0.5323297759231117,0.0494432962761402,0.5500505561172901,0.5271317829457365,0.5750528541226215,0.5250800426894343,0.5506937033084311,0.005720683911324517,-0.00018467565403693328,0.5700000000651926,0.1552875000052154
reliance_ns,xgboost,2,TARGET_B,1809,937,0.5378662244333886,0.5447391922432019,0.54803457001731,0.07993359369564011,0.4826762246117085,0.554945054945055,0.427061310782241,0.5378868729989328,0.38847385272145146,0.010332219029314853,-0.0015476497011809847,0.3768951001111418,0.008382399915717542
reliance_ns,logistic_regression,2,TARGET_C,1809,937,0.5472636815920398,0.4882556178745555,0.5315710112914587,0.005316336629860015,0.6854256854256854,0.5385487528344671,0.9424603174603174,0.5346851654215582,0.9413020277481323,0.003470765035487347,-0.0034016420619261407,0.02592489996459335,0.0034914000425487757
reliance_ns,random_forest,2,TARGET_C,1809,937,0.5472636815920398,0.518457421459731,0.5517458871196528,-0.016825914650482103,0.36150845253576075,0.5245283018867924,0.2757936507936508,0.4759871931696905,0.28281750266808964,0.0006015036661690873,0.004039770798153415,0.5456256000325084,0.14083469996694475
reliance_ns,xgboost,2,TARGET_C,1809,937,0.5472636815920398,0.5328595256424355,0.5416901679594925,0.012470422029514762,0.3738562091503268,0.5478927203065134,0.2837301587301587,0.4887940234791889,0.27854855923159016,0.0035070691004364424,0.002897602681479277,0.5231766999932006,0.008673600037582219
reliance_ns,logistic_regression,2,TARGET_D,1809,937,0.5726920950801547,0.4864851258581236,0.5147845580221637,0.002185622746383895,0.6735598227474151,0.5339578454332553,0.912,0.528281750266809,0.9114194236926361,0.002583461683711261,0.008046363494029946,0.025378799997270107,0.004289399948902428
reliance_ns,random_forest,2,TARGET_D,1809,937,0.5726920950801547,0.5474897025171626,0.6216308860448239,0.07245472116826408,0.556237218813906,0.5690376569037657,0.544,0.5368196371398078,0.5101387406616862,0.004487209222294033,0.0015887547704517538,0.47275379998609424,0.14505980000831187
reliance_ns,xgboost,2,TARGET_D,1809,937,0.5726920950801547,0.5240228832951945,0.5683894228132863,0.03282970382116118,0.5251046025104602,0.5504385964912281,0.502,0.5154749199573105,0.48665955176093917,0.003216034579395357,0.0029264296875044045,0.38703690003603697,0.00993719999678433
reliance_ns,logistic_regression,2,TARGET_E,1809,937,0.5472636815920398,0.4882556178745555,0.5315710112914587,0.005316336629860015,0.6854256854256854,0.5385487528344671,0.9424603174603174,0.5346851654215582,0.9413020277481323,0.003470765035487347,-0.0034016420619261407,0.019413999980315566,0.0032968000741675496
reliance_ns,random_forest,2,TARGET_E,1809,937,0.5472636815920398,0.518457421459731,0.5517458871196528,-0.016825914650482103,0.36150845253576075,0.5245283018867924,0.2757936507936508,0.4759871931696905,0.28281750266808964,0.0006015036661690873,0.004039770798153415,0.4887172000017017,0.20357290003448725
reliance_ns,xgboost,2,TARGET_E,1809,937,0.5472636815920398,0.5328595256424355,0.5416901679594925,0.012470422029514762,0.3738562091503268,0.5478927203065134,0.2837301587301587,0.4887940234791889,0.27854855923159016,0.0035070691004364424,0.002897602681479277,0.5027922999579459,0.009719099965877831
reliance_ns,logistic_regression,2,TARGET_F,1809,937,0.33941404090657823,0.5,0.3520910663185285,0.011009075853052674,0.24139770506242209,0.28488777815577593,0.33637003036697033,0.33637003036697033,0.11312700106723586,-0.006242353632850971,0.031181438764308917,0.06437950010877103,0.0031000999733805656
reliance_ns,random_forest,2,TARGET_F,1809,937,0.33941404090657823,0.5,0.33196959924710656,0.005720648536933305,0.24862826973289484,0.3208312617148566,0.3340068754222896,0.3340068754222896,0.04375667022411953,0.008858623129224604,0.012565024603795166,0.5452970000915229,0.15465889999177307
reliance_ns,xgboost,2,TARGET_F,1809,937,0.33941404090657823,0.5,0.3282761035162316,-0.022148458776665044,0.24359760872987823,0.30676092470886657,0.322228777843334,0.322228777843334,0.03735325506937033,0.008664347110976646,0.012283410987019351,0.7074498999863863,0.011291999951936305
reliance_ns,logistic_regression,3,TARGET_A,2746,938,0.5112891478514202,0.5352626669396855,0.5186425919742969,0.03270754772952767,0.6081081081081081,0.49382716049382713,0.7912087912087912,0.5053304904051172,0.7771855010660981,0.0008461641326286576,-0.002115018637196911,0.022541700047440827,0.004167299950495362
reliance_ns,random_forest,3,TARGET_A,2746,938,0.5112891478514202,0.5277887743726253,0.5015971367718185,0.01306843783713242,0.5317220543806647,0.49070631970260226,0.5802197802197803,0.5042643923240938,0.5735607675906184,0.0007151959070639936,-0.000524901601220729,0.7042133000213653,0.13604749995283782
reliance_ns,xgboost,3,TARGET_A,2746,938,0.5112891478514202,0.5378563465519988,0.5127120952239621,0.06016329539147856,0.570877531340405,0.5085910652920962,0.6505494505494506,0.5255863539445629,0.6204690831556503,-5.236200512409612e-05,0.0005766557429616872,0.4162985999137163,0.008587100077420473
reliance_ns,logistic_regression,3,TARGET_B,2746,938,0.526584122359796,0.5268959114573852,0.49815823454616787,0.060682538166978064,0.630048465266559,0.49744897959183676,0.8590308370044053,0.511727078891258,0.835820895522388,0.0014047070683917424,-0.006016075221473954,0.02740700007416308,0.0032047999557107687
reliance_ns,random_forest,3,TARGET_B,2746,938,0.526584122359796,0.530231732624604,0.5261716573026518,0.014664183650299003,0.5265306122448979,0.49049429657794674,0.5682819383259912,0.5053304904051172,0.5607675906183369,0.0014152948998075441,-0.0013825979606471631,0.5621526999166235,0.1236482000676915
reliance_ns,xgboost,3,TARGET_B,2746,938,0.526584122359796,0.5416636327229039,0.5292761474352823,0.05109334689700087,0.5537848605577689,0.5054545454545455,0.6123348017621145,0.5223880597014925,0.5863539445628998,0.0024107569387117325,-0.0029667565947920508,0.36411870003212243,0.009539199993014336
reliance_ns,logistic_regression,3,TARGET_C,2746,938,0.5440640932265113,0.5107322285116733,0.5051602753321605,-0.03294839762664603,0.6619115549215406,0.4951974386339381,0.9978494623655914,0.4946695095948827,0.9989339019189766,0.00018071277175224393,0.005486890380284385,0.022614300018176436,0.005202900036238134
reliance_ns,random_forest,3,TARGET_C,2746,938,0.5440640932265113,0.5264270613107822,0.521539545687804,-0.01961829909395903,0.5852813852813853,0.48985507246376814,0.7268817204301076,0.48933901918976547,0.7356076759061834,0.000136507521457903,0.00032509906333138525,0.5773755999980494,0.18003530008718371
reliance_ns,xgboost,3,TARGET_C,2746,938,0.5440640932265113,0.5200481938666485,0.5232865985819034,0.010152712870335904,0.6032285471537808,0.49859550561797755,0.7634408602150538,0.502132196162047,0.7590618336886994,0.00121563955977307,-0.0030562858807357926,0.45326270000077784,0.010023899958468974
reliance_ns,logistic_regression,3,TARGET_D,2746,938,0.5593590677348871,0.522899147229292,0.48962163605778475,-0.001775402499720153,0.6488824801730353,0.4807692307692308,0.9977827050997783,0.48081023454157784,0.997867803837953,0.0002499876718023459,-0.029586851647429493,0.02675930003169924,0.0030984999611973763
reliance_ns,random_forest,3,TARGET_D,2746,938,0.5593590677348871,0.5445758228349504,0.5335200088378277,0.06132454123075309,0.6071118820468343,0.4985754985754986,0.7760532150776053,0.5170575692963753,0.7484008528784648,0.000934284199743437,-0.0020383591131684577,0.6694048999343067,0.15154310001526028
reliance_ns,xgboost,3,TARGET_D,2746,938,0.5593590677348871,0.5901100452109618,0.5898528416840094,0.09487117705971387,0.6151142355008787,0.5094614264919942,0.7760532150776053,0.5330490405117271,0.732409381663113,0.0013710149116908743,-0.003056065684539817,0.40242930001113564,0.014010300044901669
reliance_ns,logistic_regression,3,TARGET_E,2746,938,0.5440640932265113,0.5107322285116733,0.5051602753321605,-0.03294839762664603,0.6619115549215406,0.4951974386339381,0.9978494623655914,0.4946695095948827,0.9989339019189766,0.00018071277175224393,0.005486890380284385,0.024977399967610836,0.002987600048072636
reliance_ns,random_forest,3,TARGET_E,2746,938,0.5440640932265113,0.5264270613107822,0.521539545687804,-0.01961829909395903,0.5852813852813853,0.48985507246376814,0.7268817204301076,0.48933901918976547,0.7356076759061834,0.000136507521457903,0.00032509906333138525,0.562300999998115,0.14324290002696216
reliance_ns,xgboost,3,TARGET_E,2746,938,0.5440640932265113,0.5200481938666485,0.5232865985819034,0.010152712870335904,0.6032285471537808,0.49859550561797755,0.7634408602150538,0.502132196162047,0.7590618336886994,0.00121563955977307,-0.0030562858807357926,0.3706468000309542,0.010504800011403859
reliance_ns,logistic_regression,3,TARGET_F,2746,938,0.331755280407866,0.5,0.3606633713927636,-0.04013245615701254,0.22592301657544014,0.3133320433436533,0.3217907441390768,0.3217907441390768,0.03411513859275053,0.012066717566935805,0.009133877304355565,0.06781969999428838,0.003341499948874116
reliance_ns,random_forest,3,TARGET_F,2746,938,0.331755280407866,0.5,0.3884332294957905,0.029970385542080962,0.336659067897436,0.35874266203264465,0.35156427017616254,0.35156427017616254,0.2622601279317697,0.0009089510032098479,-0.0005717695844698244,0.6338915000669658,0.15483569994103163
reliance_ns,xgboost,3,TARGET_F,2746,938,0.331755280407866,0.5,0.4151455101808298,0.04790156510889742,0.3410079476357122,0.3750318038650126,0.3625877283470695,0.3625877283470695,0.2857142857142857,0.001782646555298197,-0.007234213525316534,0.710325000109151,0.010525799938477576
reliance_ns,logistic_regression,4,TARGET_A,3684,940,0.504614549402823,0.5259589473732045,0.5388993666560582,0.05992484699746532,0.6224934612031386,0.5509259259259259,0.7154308617234469,0.5393617021276595,0.6893617021276596,0.006609118131184609,0.0033741838594089865,0.021196900052018464,0.002883699955418706
reliance_ns,random_forest,4,TARGET_A,3684,940,0.504614549402823,0.5270404755088408,0.5441816792748717,0.05734368167320502,0.5173160173160173,0.5623529411764706,0.4789579158316633,0.5255319148936171,0.4521276595744681,0.006152670462036014,0.005151621921533485,0.6414022999815643,0.11939710006117821
reliance_ns,xgboost,4,TARGET_A,3684,940,0.504614549402823,0.4937948459276831,0.5251159563125729,-0.0057792848693012525,0.4694104560622914,0.5275,0.4228456913827655,0.4925531914893617,0.425531914893617,0.005368414702642131,0.005778896953515181,0.4426760000642389,0.010924499947577715
reliance_ns,logistic_regression,4,TARGET_B,3684,940,0.5157437567861021,0.4860720488287393,0.527091070500803,0.007266107266054077,0.6096718480138169,0.5439137134052389,0.693516699410609,0.5191489361702127,0.6904255319148936,0.006946178130112981,0.002611342369456102,0.02895800000987947,0.002925700042396784
reliance_ns,random_forest,4,TARGET_B,3684,940,0.5157437567861021,0.5383992998418261,0.5619779096506615,0.07932817799074803,0.5039370078740157,0.5894736842105263,0.4400785854616896,0.5308510638297872,0.40425531914893614,0.00805603786843086,0.003940492582055935,0.7016072999686003,0.1562880000565201
reliance_ns,xgboost,4,TARGET_B,3684,940,0.5157437567861021,0.5352517788849434,0.5652461454076559,0.06908246929858448,0.4966139954853273,0.583554376657825,0.43222003929273084,0.5255319148936171,0.40106382978723404,0.00829669858947051,0.003801269747290707,0.3940087999217212,0.008379600010812283
reliance_ns,logistic_regression,4,TARGET_C,3684,940,0.5317589576547231,0.5061044154503908,0.5676338219650358,0.011327863967198492,0.7081272084805653,0.5673839184597962,0.9417293233082706,0.5606382978723404,0.9393617021276596,0.006158999904291016,-0.0029899417462090658,0.025735999923199415,0.0022862000623717904
reliance_ns,random_forest,4,TARGET_C,3684,940,0.5317589576547231,0.5206421384343211,0.5863920952251037,0.03651985886606012,0.5203761755485894,0.5858823529411765,0.4680451127819549,0.5117021276595745,0.4521276595744681,0.007816354447839277,0.0037786788264531235,0.5304285000311211,0.12880710000172257
reliance_ns,xgboost,4,TARGET_C,3684,940,0.5317589576547231,0.5062242002063984,0.5733098078996346,0.02368575672379532,0.49406688241639696,0.579746835443038,0.43045112781954886,0.5010638297872341,0.42021276595744683,0.007647481740289705,0.00412333018080847,0.40257849998306483,0.013400300056673586
reliance_ns,logistic_regression,4,TARGET_D,3684,940,0.5393593919652552,0.5759587328536769,0.6321797618495478,0.12871606380243908,0.7214814814814815,0.6034696406443618,0.8968692449355433,0.6,0.8585106382978723,0.006239627829215507,0.001748801336677716,0.023102200007997453,0.002643299987539649
reliance_ns,random_forest,4,TARGET_D,3684,940,0.5393593919652552,0.5091153262730144,0.590646009501159,0.09231985231850764,0.49150622876557193,0.638235294117647,0.3996316758747698,0.5223404255319148,0.3617021276595745,0.010693554708534078,0.002720269391755773,0.5466404999606311,0.1282140000257641
reliance_ns,xgboost,4,TARGET_D,3684,940,0.5393593919652552,0.5335504311804464,0.6054670668146537,0.07755250218934463,0.4910313901345291,0.6275071633237822,0.40331491712707185,0.5170212765957447,0.37127659574468086,0.008887333643716652,0.0036654666570185086,0.44366180000361055,0.009681000025011599
