candidate_id,asset,target_name,model,fold,train_samples,validation_samples,base_positive_rate,roc_auc,pr_auc,mcc,f1,precision,recall,accuracy,ppr,buy_signals_count,sell_signals_count,mean_realized_ret_buy,mean_realized_ret_sell,return_spread,cum_strategy_return,max_drawdown,sharpe_ratio,training_time,prediction_time
Candidate_A,tcs_ns,TARGET_B,random_forest,1,520,843,0.5403846153846154,0.49610373523417006,0.4976973815090625,-0.0071953191788054005,0.4739454094292804,0.4872448979591837,0.4613526570048309,0.4970344009489917,0.465005931198102,392,451,0.00010551918294491042,0.0007372659206431947,-0.0006317467376982843,-0.23188894611623168,0.8277901361226845,0.029017460705188562,1.2498280999716371,0.11044279998168349
Candidate_A,tcs_ns,TARGET_B,random_forest,2,1363,842,0.5099046221570066,0.5197413478221167,0.5999611361939097,0.05133089102400792,0.3369397217928903,0.6022099447513812,0.23390557939914164,0.49049881235154397,0.21496437054631828,181,661,0.011139529782366892,0.004115330827137246,0.007024198955229646,5.726796081793115,0.1480614361379107,2.3403741485293104,0.742462000111118,0.1076272000791505
Candidate_A,tcs_ns,TARGET_B,random_forest,3,2205,842,0.5265306122448979,0.5276030727787416,0.5946183143641655,0.001577338097173574,0.5570971184631803,0.554140127388535,0.5600858369098712,0.5071258907363421,0.5593824228028503,471,371,0.002550049592831704,0.0022525109820801235,0.00029753861075158036,1.8355151708695248,0.3291179478093783,1.1675044242644663,0.5826114999363199,0.10317889996804297
Candidate_A,tcs_ns,TARGET_B,random_forest,4,3047,844,0.5339678372169346,0.5213485054347826,0.5660865845225937,0.018570243970891326,0.5714285714285714,0.5528455284552846,0.591304347826087,0.5165876777251185,0.5829383886255924,492,352,0.003398219344036426,0.0018061551757165102,0.001592064168319916,3.541399085391295,0.4531903927341856,1.6242122075083216,0.7196516999974847,0.08737720001954585
Candidate_A,tcs_ns,TARGET_B,random_forest,5,3891,844,0.5363659727576459,0.536573019488737,0.5602362060143338,0.0551769722233422,0.4759427828348505,0.5545454545454546,0.4168564920273349,0.5225118483412322,0.3909952606635071,330,514,0.004126609749707368,0.0002173906973878099,0.003909219052319558,2.465674250305492,0.2876782178488749,1.533351159232448,0.6925109000876546,0.10300249990541488
Candidate_B,tcs_ns,TARGET_B,xgboost,1,520,843,0.5403846153846154,0.49657106178845306,0.48068677816087674,0.0012100140308411687,0.5269058295964125,0.4916317991631799,0.5676328502415459,0.49940688018979834,0.5670225385527876,478,365,0.0014020043940403174,-0.0008117469874706455,0.002213751381510963,0.25263506121807233,0.7821252304842248,0.3887749190973421,0.4179666999261826,0.006730000022798777
Candidate_B,tcs_ns,TARGET_B,xgboost,2,1363,842,0.5099046221570066,0.5136174778559035,0.5905105043908141,0.02824677476652843,0.37985611510791367,0.5764192139737991,0.2832618025751073,0.48812351543942994,0.27197149643705465,229,613,0.00990631962851813,0.004026005501493434,0.0058803141270246965,7.163896022621037,0.1884112257264471,2.1237473538231204,0.3867651999462396,0.004940800019539893
Candidate_B,tcs_ns,TARGET_B,xgboost,3,2205,842,0.5265306122448979,0.5443338507898823,0.5907506789000141,0.06597289004346872,0.5979166666666667,0.5809716599190283,0.6158798283261803,0.5415676959619953,0.5866983372921615,494,348,0.003325130013328393,0.001132588235606988,0.0021925417777214047,3.3761687239097915,0.2445081017329844,1.5631612982495284,0.4884608000284061,0.006117700017057359
Candidate_B,tcs_ns,TARGET_B,xgboost,4,3047,844,0.5339678372169346,0.5348731884057971,0.592764147203449,0.05791026858681815,0.5735930735930735,0.5711206896551724,0.5760869565217391,0.533175355450237,0.5497630331753555,464,380,0.003956692785993087,0.0012415397010982665,0.0027151530848948204,4.378618772987184,0.3945765682804071,1.815121387737228,0.4163692999863997,0.006163000012747943
Candidate_B,tcs_ns,TARGET_B,xgboost,5,3891,844,0.5363659727576459,0.5474563401670463,0.5727424868086998,0.09836097436387174,0.4218289085545723,0.5983263598326359,0.32574031890660593,0.5355450236966824,0.283175355450237,239,605,0.006559809436291418,-0.00015582548663286365,0.006715634922924281,3.335446622408372,0.28142464963167413,1.9192349738532868,0.4243764999555424,0.005570200039073825
