asset,total_folds,mean_prec_A,mean_prec_C,mean_prec_D,mean_rec_A,mean_rec_C,mean_rec_D,mean_ppr_A,mean_ppr_B,mean_ppr_C,mean_ppr_D,mean_ppr_E,mean_mcc_D,mean_youden_j_E
hdfcbank_ns,15,0.5266142596844132,0.5295945293233587,0.5568311361712813,0.39077632307303517,0.646849385157437,0.7182013867457809,0.3724497854276921,0.9366956111595954,0.6295398203577929,0.7080819647362939,0.6878222547390548,0.03350513832472165,0.031868649854631365
icicibank_ns,15,0.5196177567882106,0.518853129087618,0.5425349456729532,0.4896641845728418,0.47941583001793225,0.48488058421303865,0.4756869173468932,0.9921296296296295,0.4703679542649836,0.4820842068483578,0.39643364259482283,0.014392571458515357,0.01960167461366278
infy_ns,15,0.5218311910259775,0.5189819223808204,0.5542150586832266,0.4568078068040175,0.7093849334887591,0.5786707406473555,0.4489423493528573,0.978735884323974,0.7054989264981697,0.5746686653601082,0.49902705893028254,0.017868486170272983,0.008080133941026866
reliance_ns,15,0.5372372640766288,0.528115442170135,0.41629446240856693,0.5282390717566321,0.5708238198191046,0.5754384816286982,0.5144238339748926,0.9398461518739,0.5672288787291089,0.5769125702235688,0.4651774913617822,0.004990485748072217,0.008945923224114213
tcs_ns,15,0.5251254029217284,0.48549462963690443,0.4461438878700959,0.5137503233542744,0.6754519791671557,0.5826290356999111,0.5026165405018322,0.993108153105701,0.6670254614260914,0.5793088555827632,0.5962205985086988,0.008917599823268159,0.015747932138109003
