strategy,fold,trade_id,allocated_cash,position_weight,net_return_pct,net_pnl,is_win
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,28,49140.594443884744,0.4740233356854587,-1.176754176973443,-578.2639977079934,0
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,29,25772.193126379156,0.25,5.974970781806569,1539.8810091319156,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,30,26157.16337866213,0.25,2.0899458686365695,546.6705553848669,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,31,26293.831017508346,0.25,-8.081684398076785,-2124.9844389986465,0
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,32,36369.346294998846,0.352927961472199,-2.539066151728784,-923.4417613813423,0
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,33,36563.13131155463,0.35801666430934664,4.0342144117376355,1475.0351127532929,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,34,25900.483245601667,0.25,1.728659994801014,447.7312923268552,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,35,26012.41606868338,0.25,0.8771535092377628,228.16882038398398,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,36,26069.458273779375,0.25,-1.140374869182445,-297.2895506861836,0
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,37,25995.135886107833,0.25,1.2343721645309715,320.8767215101166,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,38,26075.35506648536,0.25,5.988035640853743,1561.4015548603059,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,39,26465.70545520044,0.25,1.2995896313314854,343.9455639545162,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,40,26551.69184618907,0.25,3.2247871445303873,856.2355453112283,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,41,26765.750732516877,0.25,-2.954236551727683,-790.7235914843336,0
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,42,26568.069834645794,0.25,-3.304072519500291,-877.828294368178,0
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,43,26348.61276105375,0.25,3.824418454099627,1007.6812088329889,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,44,26600.533063262,0.25,3.694961305336525,982.8794037007794,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,45,26846.252914187193,0.25,14.69710263827626,3945.6213453293235,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,46,27832.658250519526,0.25,-7.737819475093607,-2153.6408505449476,0
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,47,27294.248037883288,0.25,4.128544128555573,1126.8550748014252,1
