,tcs_ns,infy_ns,reliance_ns,icicibank_ns,hdfcbank_ns
tcs_ns,1.0,0.22444266870466276,0.10085476610955234,0.10369265345351603,0.24962541259916202
infy_ns,0.22444266870466276,1.0,0.11553173980468304,0.051020806561792226,0.14616348542540547
reliance_ns,0.10085476610955234,0.11553173980468304,1.0,0.1903721691919332,0.07194652184252245
icicibank_ns,0.10369265345351603,0.051020806561792226,0.1903721691919332,1.0,0.15615531289803627
hdfcbank_ns,0.24962541259916202,0.14616348542540547,0.07194652184252245,0.15615531289803627,1.0
