asset,config_id,model,total_folds,mean_roc_auc,mean_pr_auc,mean_mcc,mean_f1,mean_ppr,mean_return_spread_pct,net_spread_10bps_pct
hdfcbank_ns,C0,logistic_regression,5,0.49729894228565286,0.5700323615318835,0.0016954102973899294,0.5486195619107463,0.6761719209296069,0.6389410487458105,0.5389410487458107
hdfcbank_ns,C0,random_forest,5,0.5029166898879672,0.5774897101501619,0.014891637044889581,0.5268255193235173,0.48189214719536383,0.2925943961825555,0.1925943961825555
hdfcbank_ns,C0,xgboost,5,0.4896779461465527,0.5656195587150721,-0.022462264878189808,0.4906270024129228,0.4517229185260371,0.060174600884905366,-0.03982539911509464
hdfcbank_ns,C5,logistic_regression,5,0.48358285308698007,0.5594537523153675,-0.008309413136407328,0.5785867543153222,0.6694469703436179,0.3259705568933586,0.2259705568933586
hdfcbank_ns,C5,random_forest,5,0.5162991995856995,0.5971611134848438,0.012421402928417053,0.5324733431141909,0.4938800847726993,0.6449093470900403,0.5449093470900404
hdfcbank_ns,C5,xgboost,5,0.49777958968343555,0.5807205160420612,-0.003615961063677785,0.5454787634653405,0.5333377861023914,0.25805590669160355,0.15805590669160352
hdfcbank_ns,C57,logistic_regression,5,0.4789388874534376,0.5578927738584504,-0.003937746085138619,0.5901467788487919,0.6728537873433866,-0.011090118428212512,-0.11109011842821248
hdfcbank_ns,C57,random_forest,5,0.5272551814180246,0.6009064742711681,0.040991963613668976,0.5481823153501663,0.5022567392749996,0.7049387037511028,0.6049387037511028
hdfcbank_ns,C57,xgboost,5,0.5007076278600762,0.5784011185869058,0.019267446204537297,0.5582241254526834,0.5320542758359069,0.47163794028301215,0.37163794028301234
hdfcbank_ns,C7,logistic_regression,5,0.49596727007515773,0.5676158355865313,0.001152616439761303,0.5471376108434589,0.664467175485435,0.7183818858344378,0.6183818858344378
hdfcbank_ns,C7,random_forest,5,0.5121538730524569,0.5784113252927747,0.025629038004247963,0.5326914774748601,0.48614776162375933,0.30532043309655305,0.2053204330965531
hdfcbank_ns,C7,xgboost,5,0.504479478126408,0.5796133542921789,0.020634511077341353,0.5388926622499058,0.4957170462529891,0.48995051701354875,0.38995051701354877
hdfcbank_ns,C8,logistic_regression,5,0.5029624104766865,0.5825085663885423,0.00681693119370057,0.5689969032411453,0.6401045426171426,0.3706326747322812,0.27063267473228125
hdfcbank_ns,C8,random_forest,5,0.5230356332600004,0.5997656417725734,0.022491151011219273,0.5901881212620096,0.5958136767274699,0.39202310224807035,0.29202310224807043
hdfcbank_ns,C8,xgboost,5,0.4854143880988966,0.568574665740664,-0.03144720845266531,0.5584744264241713,0.5808966870737695,-0.025503730915156404,-0.12550373091515646
icicibank_ns,C0,logistic_regression,5,0.5290531376716339,0.5612239350611693,0.01235572242289038,0.44342983993529306,0.45084415005129574,-0.3034945960249901,-0.4034945960249902
icicibank_ns,C0,random_forest,5,0.5287822868312521,0.5690204375566803,0.06753667477916944,0.46510924053712854,0.3764284758463803,0.9271290862104906,0.8271290862104905
icicibank_ns,C0,xgboost,5,0.5345214318765817,0.5747348075654896,0.050777198463894876,0.46801740338814535,0.38919276060484415,0.7681807253236601,0.6681807253236601
icicibank_ns,C5,logistic_regression,5,0.5510991118081646,0.5892967364390825,0.046822228970963095,0.4092108666167983,0.37379510682902894,1.1753897559184923,1.0753897559184922
icicibank_ns,C5,random_forest,5,0.5304546980187002,0.5772893423964388,0.039477554611003524,0.4978948356629454,0.430772447477586,0.5636407304050373,0.4636407304050372
icicibank_ns,C5,xgboost,5,0.5426825714617586,0.5862916595351496,0.04900821423607803,0.5163372629611227,0.45956945002007227,0.5533588099749306,0.4533588099749305
icicibank_ns,C57,logistic_regression,5,0.5441412726291986,0.5790664376630589,0.04347586213849303,0.4056404389952507,0.36103807038672553,1.0828460232084354,0.9828460232084353
icicibank_ns,C57,random_forest,5,0.5223988734611286,0.5714804552958269,0.016303272753730943,0.4776996558343975,0.42063428342031317,-0.15267819035524194,-0.252678190355242
icicibank_ns,C57,xgboost,5,0.5294842239123524,0.5719252879685082,0.038933613788275256,0.5065029153018442,0.45723270440251573,0.31519230598130415,0.21519230598130412
icicibank_ns,C7,logistic_regression,5,0.5281513270404316,0.5583771831726522,0.012794922074061313,0.4442811099180025,0.44209822025960116,-0.07896458914829016,-0.17896458914829022
icicibank_ns,C7,random_forest,5,0.5289165398333255,0.56995146809553,0.049655713306591395,0.44744171655719855,0.35827088630179765,0.964627501809505,0.8646275018095049
