fold,alphaforge_return_pct,buy_hold_return_pct,always_long_return_pct,sma_crossover_return_pct,momentum_20d_return_pct,rsi_50_return_pct,breakout_20d_return_pct,alpha_vs_buy_hold_pct,alphaforge_max_dd_pct,buy_hold_max_dd_pct,always_long_max_dd_pct,alphaforge_trades
1,-19.382207946689537,-20.192550525346075,-26.69899470821659,-28.154399850928208,-30.766039910159655,-40.710668121986515,-35.37852127654589,0.8103425786565381,65.02328923816685,68.0642711794128,68.0642711794128,80
2,159.463559244148,316.86982030646385,282.8837671848351,226.56869188076044,240.33291048770846,161.04556014736957,37.591900401994614,-157.40626106231585,16.399260232612033,26.618499930059464,26.618499930059464,36
3,53.69727387118276,67.20877458396369,53.576782008355075,21.331220372889046,-19.475064772133106,17.23017673887903,7.021969096325571,-13.51150071278093,15.606491315804643,23.460168006928956,23.460168006928956,43
4,74.40127433375062,100.29860344791426,83.96890375422008,-15.268843530352314,15.431737761490746,31.470207064667193,24.048111183675296,-25.89732911416364,20.80302283319097,23.731508136821773,23.731508136821773,50
5,31.718537520743357,47.69419242461094,35.65316084835356,-0.12986734807208994,30.751563638819235,35.37918555321812,19.8714495334846,-15.975654903867582,23.074111759775867,29.11350194762163,29.11350194762163,55
