strategy,fold,cum_return_pct,total_trades,win_rate_pct,profit_factor,expectancy_pct,daily_sharpe,max_drawdown_pct
Candidate 1: Baseline C59 (Fixed 100% Size),1,-28.200533085447343,84,47.61904761904761,0.9313352463044454,-0.1775182591619636,-0.02858994874917503,68.06427117941283
Candidate 2: Confidence-Scaled Sizing (Platt Calibrated),1,-22.98670214521463,85,47.05882352941176,0.9431691151032293,-0.1461438351694303,0.016900844443795544,65.85385958951979
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),1,-0.7077244570557377,85,47.05882352941176,0.9431691151032291,-0.14614383516943052,0.04323524589503427,27.040938900309815
Candidate 4: Causal Regime-Aware Adaptive Sizing,1,-8.141104909014263,85,47.05882352941176,0.9431691151032291,-0.14614383516943044,0.032963323025098135,50.834227155396306
Candidate 1: Baseline C59 (Fixed 100% Size),2,225.8499363425031,38,71.05263157894737,3.5528354901534844,3.365744753379576,1.6373065290174453,24.761090112833248
Candidate 2: Confidence-Scaled Sizing (Platt Calibrated),2,27.494506915331513,73,54.794520547945204,1.686275382494642,1.159037125312912,0.46051371670736224,19.17502253798247
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),2,36.86463836046966,67,65.67164179104478,2.290190790384585,1.9135033146308502,1.2944818486921097,8.84642348128376
Candidate 4: Causal Regime-Aware Adaptive Sizing,2,91.37720511730498,73,54.794520547945204,1.686275382494642,1.1590371253129121,0.8701458733905993,23.326393406619502
Candidate 1: Baseline C59 (Fixed 100% Size),3,47.143537752452744,40,57.49999999999999,1.9700111245281384,1.056671047301982,0.7964155165111664,16.89055584766597
Candidate 2: Confidence-Scaled Sizing (Platt Calibrated),3,42.898874459664945,84,53.57142857142857,1.421992609268524,0.587033281745567,0.6769184098751994,16.635312507388644
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),3,15.867184288748467,79,50.63291139240506,1.451492083583393,0.5966931504192061,0.691531004430454,9.572065084313651
Candidate 4: Causal Regime-Aware Adaptive Sizing,3,34.66612864028241,84,53.57142857142857,1.4219926092685242,0.5870332817455668,0.5677840060806053,22.82235373001857
Candidate 1: Baseline C59 (Fixed 100% Size),4,58.0900451885789,54,59.25925925925925,1.6912411469369542,0.9448630935073451,0.8238118660497197,19.400744318528726
Candidate 2: Confidence-Scaled Sizing (Platt Calibrated),4,31.741455473344192,84,54.761904761904766,1.6108349808127387,0.7747796914010823,0.7597443351305545,12.864851879236621
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,22.793538165655875,81,59.25925925925925,1.7540048131823636,1.0222491428738523,1.0800109814003502,6.424387542266119
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,22.658085002551903,84,54.761904761904766,1.6108349808127391,0.7747796914010823,0.41863017289575816,21.321442506839166
Candidate 1: Baseline C59 (Fixed 100% Size),5,33.80993111245797,60,60.0,1.362883920102292,0.6260024602293375,0.4951861464315986,26.878703548817267
Candidate 2: Confidence-Scaled Sizing (Platt Calibrated),5,7.8736098649295885,81,53.086419753086425,1.2898850414049712,0.4730933902525419,0.3764454635479088,7.704363924606394
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),5,9.393113917382726,62,56.451612903225815,1.4130663619994817,0.6265844410398386,0.4550819537593507,7.820810957162849
Candidate 4: Causal Regime-Aware Adaptive Sizing,5,18.87002854766343,81,53.086419753086425,1.289885041404971,0.47309339025254205,0.36895082174112537,22.034113581572733
