asset,model,fold,train_samples,validation_samples,fixed_threshold,dynamic_threshold,fixed_accuracy,dynamic_accuracy,fixed_precision,dynamic_precision,fixed_recall,dynamic_recall,fixed_f1,dynamic_f1,roc_auc,delta_recall,delta_f1,fixed_recall_below_35,dynamic_recall_below_35,fallback_used
tcs_ns,random_forest,5,3891,843,0.5,0.26,0.5112692763938316,0.5183867141162515,0.5278396436525612,0.5183867141162515,0.5423340961098398,1.0,0.5349887133182845,0.6828125,0.5216714950795278,0.45766590389016015,0.14782378668171559,False,False,False
tcs_ns,xgboost,5,3891,843,0.5,0.2,0.5183867141162515,0.5183867141162515,0.5411140583554377,0.5184304399524375,0.4668192219679634,0.9977116704805492,0.5012285012285013,0.6823161189358372,0.5131776217154581,0.5308924485125859,0.18108761770733595,False,False,False
hdfcbank_ns,logistic_regression,1,885,924,0.5,0.24,0.5043290043290043,0.5010822510822511,0.4,0.49038461538461536,0.00437636761487965,0.22319474835886213,0.008658008658008658,0.3067669172932331,0.5111541146758256,0.2188183807439825,0.29810890863522443,True,True,False
hdfcbank_ns,random_forest,1,885,924,0.5,0.21,0.5010822510822511,0.4945887445887446,0.49029126213592233,0.4945887445887446,0.2210065645514223,1.0,0.3046757164404223,0.6618392469225199,0.5182340841255935,0.7789934354485777,0.35716353048209765,True,False,False
hdfcbank_ns,xgboost,1,885,924,0.5,0.2,0.4989177489177489,0.49567099567099565,0.48854961832061067,0.4948453608247423,0.2800875273522976,0.9452954048140044,0.3560500695410292,0.649624060150376,0.4947450789292425,0.6652078774617068,0.2935739906093468,True,False,False
hdfcbank_ns,logistic_regression,2,1809,937,0.5,0.2,0.5314834578441836,0.5165421558164355,0.5586592178770949,0.5150214592274678,0.4158004158004158,0.997920997920998,0.4767580452920143,0.6794055201698513,0.5417943246890615,0.5821205821205822,0.20264747487783702,False,False,False
hdfcbank_ns,random_forest,2,1809,937,0.5,0.22,0.5176093916755603,0.5133404482390609,0.5633187772925764,0.5133689839572193,0.2681912681912682,0.997920997920998,0.36338028169014086,0.6779661016949152,0.5408437283437284,0.7297297297297298,0.31458582000477436,True,False,False
hdfcbank_ns,xgboost,2,1809,937,0.5,0.2,0.5208110992529349,0.5218783351120597,0.562015503875969,0.5190311418685121,0.30145530145530147,0.9355509355509356,0.39242219215155616,0.6676557863501483,0.5439234781340044,0.6340956340956341,0.27523359419859217,True,False,False
hdfcbank_ns,logistic_regression,3,2746,938,0.5,0.2,0.4968017057569296,0.502132196162047,0.5,0.5026737967914439,0.4427966101694915,0.9957627118644068,0.4696629213483146,0.668088130774698,0.5077016803666254,0.5529661016949152,0.19842520942638336,False,False,False
hdfcbank_ns,random_forest,3,2746,938,0.5,0.27,0.5191897654584222,0.5010660980810234,0.5269922879177378,0.5021551724137931,0.4343220338983051,0.9872881355932204,0.47619047619047616,0.6657142857142857,0.508188150141849,0.5529661016949152,0.18952380952380954,False,False,False
