asset,total_folds,brier_A,brier_B,brier_C,log_loss_A,log_loss_B,log_loss_C,ppr_A,ppr_B,ppr_C,auc_A,auc_B,auc_C
hdfcbank_ns,15,0.2672661237905194,0.2504277303994486,0.2595959567199398,0.7854080874961633,0.6940342692567237,1.273823606154347,0.3724497854276921,0.49162659830087924,0.5024293549529932,0.5278285352174243,0.5163994948410155,0.522078273925706
icicibank_ns,15,0.2607592432730572,0.250283180633474,0.25557166360302647,0.721166893227709,0.6937146847409519,0.8371522128716329,0.4756869173468932,0.559313528703332,0.5765728846068067,0.5205101389455303,0.5205101389455303,0.5153003972795023
infy_ns,15,0.2594307104647175,0.24989884648053934,0.2514697970435392,0.7158152872601372,0.6929450591336916,0.7496228668539336,0.4489423493528573,0.5302228490237625,0.5282443207955229,0.5101183959589767,0.5124215450352562,0.5095542969803449
reliance_ns,15,0.2737198236120496,0.25083868511138246,0.2590228024040084,0.7788173336483741,0.6948269880630773,1.090294925733168,0.5144238339748926,0.8072017576682115,0.7880811990469075,0.5155176926521298,0.4992506025939391,0.5054825260790166
tcs_ns,15,0.25786942400777685,0.2503542698674372,0.2503658345099044,0.711006624603005,0.6938578844668742,0.7040636133048219,0.5026165405018322,0.7864420288212172,0.6038792735883444,0.5172495871289924,0.5036015458194869,0.513128909878174
