model,fold_count,mean_accuracy,std_accuracy,mean_f1,std_f1,mean_roc_auc,std_roc_auc,median_roc_auc,min_roc_auc,max_roc_auc,folds_above_roc_auc_0_50,folds_below_roc_auc_0_50
logistic_regression,5,0.48200212992545255,0.027115799784211483,0.4041702334940311,0.35845568590485544,0.4974538617417353,0.025074266529949454,0.5075097163197849,0.4535222385540857,0.5139678503314866,4,1
random_forest,5,0.4879659211927582,0.025948839043737904,0.29616346473856103,0.20886395254368278,0.5033664096226202,0.017029301552909253,0.49968301221092093,0.4858573244936881,0.5285875660079481,2,3
xgboost,5,0.4958466453674122,0.030907779699786767,0.4176107984838825,0.2630840031526143,0.5017946783148071,0.009442786869928865,0.5038430365452741,0.48704025285518715,0.5119978387998982,3,2
