asset,feature_config,feature_count,model,fold,train_samples,validation_samples,accuracy,precision,recall,f1,roc_auc,training_time,prediction_time,is_model_collapse
reliance_ns,ALL_32,32,logistic_regression,1,1314,1404,0.47150997150997154,0.48,0.032432432432432434,0.060759493670886074,0.5380087919244545,0.07838009996339679,0.004176000016741455,True
reliance_ns,ALL_32,32,random_forest,1,1314,1404,0.4722222222222222,0.4965034965034965,0.09594594594594595,0.16081540203850508,0.4934935688700749,0.5019054999575019,0.1718073000665754,False
reliance_ns,ALL_32,32,xgboost,1,1314,1404,0.4757834757834758,0.75,0.008108108108108109,0.016042780748663103,0.5030100130250733,0.4607393000042066,0.013861500076018274,True
reliance_ns,ALL_32,32,logistic_regression,2,2718,1407,0.5060412224591329,0.5009107468123861,0.7890961262553802,0.6128133704735376,0.5171600622385677,0.045671300031244755,0.0034314000513404608,False
reliance_ns,ALL_32,32,random_forest,2,2718,1407,0.5131485429992892,0.5048309178743962,0.8995695839311334,0.6467251160391955,0.5117990583385535,0.5391637999564409,0.18250469991471618,False
reliance_ns,ALL_32,32,xgboost,2,2718,1407,0.5188343994314144,0.5078740157480315,0.9253945480631277,0.655821047280122,0.536320649867642,0.5415593999205157,0.011524099973030388,False
reliance_ns,ALL_32,32,logistic_regression,3,4125,1409,0.47622427253371186,0.5116279069767442,0.029769959404600813,0.056265984654731455,0.5143437077131259,0.05902699998114258,0.0044392000418156385,True
reliance_ns,ALL_32,32,random_forest,3,4125,1409,0.47693399574166073,0.5384615384615384,0.018944519621109608,0.036601307189542485,0.5080372831377618,0.6961282000411302,0.1748021999374032,True
reliance_ns,ALL_32,32,xgboost,3,4125,1409,0.48970901348474094,0.5819672131147541,0.09607577807848444,0.16492450638792103,0.49651404681598765,0.5669380000326782,0.010509099927730858,False
reliance_ns,SHORTLIST_16,16,logistic_regression,1,1343,1404,0.5056980056980057,0.5397923875432526,0.42162162162162165,0.47344461305007585,0.5170262129599479,0.014546300051733851,0.0031949999975040555,False
reliance_ns,SHORTLIST_16,16,random_forest,1,1343,1404,0.48717948717948717,0.5164473684210527,0.4243243243243243,0.4658753709198813,0.5014022305437967,0.4687441000714898,0.17587290005758405,False
reliance_ns,SHORTLIST_16,16,xgboost,1,1343,1404,0.4793447293447293,0.5172413793103449,0.18243243243243243,0.26973026973026976,0.50692160534028,0.6624670999590307,0.027262299903668463,False
reliance_ns,SHORTLIST_16,16,logistic_regression,2,2747,1407,0.5060412224591329,0.5008912655971479,0.806312769010043,0.6179219351291919,0.528647927738598,0.023922199965454638,0.0044775999849662185,False
reliance_ns,SHORTLIST_16,16,random_forest,2,2747,1407,0.511727078891258,0.5063613231552163,0.5710186513629842,0.5367498314227916,0.52601188190838,0.626120200031437,0.2150502000004053,False
reliance_ns,SHORTLIST_16,16,xgboost,2,2747,1407,0.5167022032693674,0.5095613048368954,0.6499282639885222,0.5712484237074401,0.5356245074464001,0.5023311000550166,0.011864400003105402,False
reliance_ns,SHORTLIST_16,16,logistic_regression,3,4154,1409,0.5486160397444997,0.5542676501580611,0.7117726657645467,0.6232227488151659,0.5382667178316806,0.024146400042809546,0.0037671999307349324,False
reliance_ns,SHORTLIST_16,16,random_forest,3,4154,1409,0.48899929027679206,0.5152,0.435723951285521,0.47214076246334313,0.5003978753054753,0.8887462000129744,0.24947359994985163,False
reliance_ns,SHORTLIST_16,16,xgboost,3,4154,1409,0.48403122782114977,0.5103092783505154,0.401894451962111,0.44965934897804694,0.5037242744329772,0.7412568998988718,0.01027189998421818,False
reliance_ns,NO_PRICE_LEVELS_27,27,logistic_regression,1,1314,1404,0.47649572649572647,0.6190476190476191,0.01756756756756757,0.03416557161629435,0.5500834418756105,0.03232290002051741,0.003854300011880696,True
reliance_ns,NO_PRICE_LEVELS_27,27,random_forest,1,1314,1404,0.4707977207977208,0.4835164835164835,0.05945945945945946,0.10589651022864019,0.48347545587756435,0.5900216000154614,0.231565700029023,False
