strategy,fold,trade_id,net_return_pct,net_pnl,is_win
Candidate A: Baseline Control (P(up) >= 0.55),1,67,-0.1658995868276799,-168.9504793505625,0
Candidate A: Baseline Control (P(up) >= 0.55),1,68,-2.61788282436885,-2661.6027500597506,0
Candidate A: Baseline Control (P(up) >= 0.55),1,69,-6.446766290288218,-6382.843136791598,0
Candidate A: Baseline Control (P(up) >= 0.55),1,70,-18.56691823808526,-17197.71999585913,0
Candidate A: Baseline Control (P(up) >= 0.55),1,71,-12.490826514459425,-9421.566022571214,0
Candidate A: Baseline Control (P(up) >= 0.55),1,72,-1.1300820957165252,-745.9255714262706,0
Candidate A: Baseline Control (P(up) >= 0.55),1,73,-3.5384186046511634,-2309.185834805798,0
Candidate A: Baseline Control (P(up) >= 0.55),1,74,2.565920156137102,1615.2776750582882,1
Candidate A: Baseline Control (P(up) >= 0.55),1,75,-10.514645838005803,-6788.9370547731405,0
Candidate A: Baseline Control (P(up) >= 0.55),1,76,4.295348949621123,2481.7472280991105,1
Candidate A: Baseline Control (P(up) >= 0.55),1,77,0.3911824713592246,235.72379364547982,1
Candidate A: Baseline Control (P(up) >= 0.55),1,78,-0.27954945633307854,-169.11349203057563,0
Candidate A: Baseline Control (P(up) >= 0.55),1,79,-3.017956570834085,-1820.6095785335083,0
Candidate A: Baseline Control (P(up) >= 0.55),1,80,-5.185072064878768,-3033.5416686752214,0
Candidate A: Baseline Control (P(up) >= 0.55),1,81,10.583042298139683,5870.599039289467,1
Candidate A: Baseline Control (P(up) >= 0.55),1,82,13.56815450538954,8323.025045237697,1
Candidate A: Baseline Control (P(up) >= 0.55),1,83,-2.0736972540340015,-1444.6490029495521,0
Candidate A: Baseline Control (P(up) >= 0.55),1,84,5.24582392092611,3578.739250814245,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,1,3.506061576548527,3506.061576548527,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,2,8.867857142857142,9178.769674806072,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,3,2.2419103171362926,2526.29285767174,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,4,-6.650095539108915,-7661.6498249315955,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,5,0.9634215231940824,1036.1547833350535,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,6,-0.8202009058917569,-890.620313279322,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,7,4.864876908052885,5239.229612006199,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,8,11.744441720257061,13263.49580712946,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,9,2.138849567917158,2699.179692086574,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,10,1.904391849230437,2454.7023215617346,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,11,0.7414116061328017,973.8561272529437,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,12,-5.79033851446468,-7662.092787855689,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,13,-0.8237924397443662,-1026.9674956677466,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,14,-5.7087775296147925,-7058.127708428504,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,15,7.794466842342674,9086.655716868609,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,16,3.1630402384500744,3974.83261906102,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,17,0.6147255932919244,796.9288616152073,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,18,2.9413394496058842,3836.5861585659754,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,19,2.5356191963138346,3404.659257893847,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,20,7.459684565809879,10270.34055812662,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,21,7.670493371612035,11348.36358566892,1
