asset,target_name,total_folds,mean_roc_auc,mean_pr_auc,mean_mcc,mean_f1,mean_ppr,return_spread_pct
hdfcbank_ns,TARGET_A,15,0.5238963215010615,0.5276161662585167,0.027519663428497675,0.4227057942071378,0.3666875197013443,0.27001844105509676
hdfcbank_ns,TARGET_B,15,0.5224626257294379,0.5588307660787742,0.03289751277585353,0.4314085307200958,0.3883556949082113,0.37758424897001985
hdfcbank_ns,TARGET_C,15,0.5003762951464524,0.5552235177590695,1.385628121726897e-06,0.4775446511382375,0.48981408862319376,0.8216245075416431
hdfcbank_ns,TARGET_D,15,0.4966311927733909,0.5710472101323725,-0.0019584058453034343,0.5220240278823953,0.5365956622170026,0.1521417279408745
hdfcbank_ns,TARGET_E,15,0.5003762951464524,0.5552235177590695,1.385628121726897e-06,0.4775446511382375,0.48981408862319376,0.8216245075416431
hdfcbank_ns,TARGET_F,15,0.5,0.4152800369087471,0.02934317106053524,0.2976832721510489,0.11661345667526755,0.3188148749339182
icicibank_ns,TARGET_A,15,0.5207945827604281,0.5229906244192418,0.02795793618080377,0.4772876043832144,0.47111378741246257,0.11135248284565563
icicibank_ns,TARGET_B,15,0.5248975594261746,0.5381710540687192,0.0404144286761812,0.4615628266059225,0.4108237804243424,0.4211235368012867
icicibank_ns,TARGET_C,15,0.5245639211478632,0.539681375273492,0.03596945718460156,0.476941946958776,0.4350417056960615,0.2668204068827611
icicibank_ns,TARGET_D,15,0.5307856187931559,0.5683263933944463,0.04355653188865158,0.4588521612868556,0.4054884621675067,0.29823228311932026
icicibank_ns,TARGET_E,15,0.5245639211478632,0.539681375273492,0.03596945718460156,0.476941946958776,0.4350417056960615,0.2668204068827611
icicibank_ns,TARGET_F,15,0.5,0.3813816398491544,0.011583052083097314,0.291456789051637,0.1575304429278737,-0.40592323140986564
infy_ns,TARGET_A,15,0.5098381434044043,0.5255913625259699,0.017676499469222225,0.460484597748483,0.45292584035839417,0.15753262477657767
infy_ns,TARGET_B,15,0.5350573974484802,0.5776999413021524,0.04338894060674138,0.49239732004941583,0.47009828689160066,0.35253042492781295
infy_ns,TARGET_C,15,0.5123042384920496,0.5734109284473354,0.01644903241687048,0.5035208728017466,0.528277852595552,0.3147022565510016
infy_ns,TARGET_D,15,0.5091233138144191,0.6012470859010346,0.017902864853117262,0.537578883119237,0.5831889216364071,0.3018137588414013
infy_ns,TARGET_E,15,0.5123042384920496,0.5734109284473354,0.01644903241687048,0.5035208728017466,0.528277852595552,0.3147022565510016
infy_ns,TARGET_F,15,0.5,0.432337005826609,0.007190591477445911,0.2698914057836248,0.1224505175376503,0.4192738512187999
reliance_ns,TARGET_A,15,0.512862547313888,0.5286200765197102,0.02922499495886293,0.48307424940989147,0.5142682322491111,0.18353434583572753
reliance_ns,TARGET_B,15,0.520633720383996,0.5487415847088657,0.032590380254093165,0.49720499935465423,0.501028118720693,0.05708988456011804
reliance_ns,TARGET_C,15,0.511708898641578,0.5610356284199677,0.0048166899717564955,0.5156635282566527,0.5618882837393476,-0.06898408046412925
reliance_ns,TARGET_D,15,0.5293410855697898,0.5891399703445918,0.04306031589484893,0.5131700056874371,0.5206410199088927,0.20195292185154665
reliance_ns,TARGET_E,15,0.511708898641578,0.5610356284199677,0.0048166899717564955,0.5156635282566527,0.5618882837393476,-0.06898408046412925
reliance_ns,TARGET_F,15,0.5,0.3868924834353439,0.012741006880090562,0.2852853337301944,0.11967982629721186,-0.6251327801665162
tcs_ns,TARGET_A,15,0.5179110163948862,0.5300809305438399,0.030559970748688728,0.5193047540852161,0.5138253242495349,0.45568094046406876
tcs_ns,TARGET_B,15,0.5195540692830013,0.5585527984294166,0.03214175232625196,0.5102414667100894,0.4894048941989128,0.3921288968755998
tcs_ns,TARGET_C,15,0.5254347924505839,0.5737355910542102,0.03605933178935139,0.506782133686111,0.46958841309281674,0.43931931714923794
tcs_ns,TARGET_D,15,0.539178449224168,0.5972197699247315,0.05796702118357907,0.5559641467446982,0.5471682347719701,0.554104141725084
tcs_ns,TARGET_E,15,0.5254347924505839,0.5737355910542102,0.03605933178935139,0.506782133686111,0.46958841309281674,0.43931931714923794
tcs_ns,TARGET_F,15,0.5,0.4248851170152719,0.04076854167825353,0.2998064918673678,0.10657068418476572,0.6737367709181681
