feature_config,feature_count,model,fold,accuracy,precision,recall,f1,roc_auc,training_time,prediction_time
ALL,32,logistic_regression,1,0.5242165242165242,0.5260492040520984,0.9824324324324324,0.6852026390197926,0.4725985021165744,0.08371049992274493,0.006901900051161647
ALL,32,random_forest,1,0.47435897435897434,0.5072463768115942,0.0945945945945946,0.15945330296127563,0.49629497720612176,0.38366170006338507,0.14764029998332262
ALL,32,xgboost,1,0.4757834757834758,0.75,0.008108108108108109,0.016042780748663103,0.5030100130250733,0.5098695999477059,0.010158800054341555
ALL,32,logistic_regression,2,0.4953802416488984,0.4953802416488984,1.0,0.6625475285171103,0.5348293491219916,0.023352200048975646,0.0031709999311715364
ALL,32,random_forest,2,0.5138592750533049,0.5052125100240578,0.9038737446197992,0.6481481481481481,0.511693980237234,0.4553402999881655,0.15301909996196628
ALL,32,xgboost,2,0.5174129353233831,0.5070422535211268,0.9296987087517934,0.6562025316455696,0.5393962050639562,0.5587062999838963,0.00947510008700192
ALL,32,logistic_regression,3,0.525195173882186,0.5250716332378224,0.9918809201623816,0.6866510538641686,0.4932623755377376,0.027352900011464953,0.0031664000125601888
ALL,32,random_forest,3,0.47906316536550747,0.5806451612903226,0.02435723951285521,0.046753246753246755,0.5056944640801405,0.6233385999221355,0.11403340008109808
ALL,32,xgboost,3,0.4804826117814053,0.5271317829457365,0.09201623815967523,0.15668202764976957,0.48554319067719587,0.44363860005978495,0.008936000056564808
TREND,4,logistic_regression,1,0.48616039744499645,0.5092213114754098,0.6698113207547169,0.5785797438882422,0.46727108144041185,0.009245200082659721,0.002712499932385981
TREND,4,random_forest,1,0.4755145493257629,1.0,0.004043126684636119,0.008053691275167786,0.5056120861402184,0.37339459999930114,0.102723199990578
TREND,4,xgboost,1,0.47622427253371186,1.0,0.005390835579514825,0.010723860589812333,0.5034369607649006,0.22605009994003922,0.007734999991953373
TREND,4,logistic_regression,2,0.524485450674237,0.5173697270471465,0.5974212034383954,0.5545212765957447,0.5288870350892041,0.02217349992133677,0.001793100032955408
TREND,4,random_forest,2,0.5152590489709014,0.5077881619937694,0.7005730659025788,0.588801926550271,0.5266624754673791,0.4017745000310242,0.1606702000135556
TREND,4,xgboost,2,0.49325762952448543,0.4937402190923318,0.9040114613180515,0.638663967611336,0.5170791370965466,0.268705099937506,0.008468699990771711
TREND,4,logistic_regression,3,0.4854506742370476,0.5173267326732673,0.2828146143437077,0.3657042869641295,0.5000747278492518,0.03173200006131083,0.003030700027011335
TREND,4,random_forest,3,0.48474095102909864,0.5844155844155844,0.06089309878213803,0.11029411764705882,0.5052662937006442,0.6950502000981942,0.26401639997493476
TREND,4,xgboost,3,0.48332150461320084,0.5774647887323944,0.05548037889039242,0.10123456790123457,0.5098913416678449,0.360905300010927,0.011073099914938211
MOMENTUM,6,logistic_regression,1,0.5166784953867991,0.5399737876802096,0.555256064690027,0.5475083056478405,0.49953527279486937,0.022125299903564155,0.002477700007148087
MOMENTUM,6,random_forest,1,0.5216465578424414,0.585427135678392,0.3140161725067385,0.4087719298245614,0.5445430923352339,0.5182437999173999,0.16255800006911159
MOMENTUM,6,xgboost,1,0.5095812633073101,0.5570469798657718,0.33557951482479786,0.4188393608074012,0.5282079310748938,0.2740155999781564,0.007718199980445206
MOMENTUM,6,logistic_regression,2,0.49254790631653655,0.49191246431969554,0.7406876790830945,0.5911949685534591,0.5114915430464377,0.019401199999265373,0.003195199999026954
MOMENTUM,6,random_forest,2,0.5102909865152591,0.5056818181818182,0.5100286532951289,0.5078459343794579,0.5176886744929252,0.5163749000057578,0.16373519995249808
