excluded_asset,mean_cum_return_pct,mean_daily_sharpe,mean_expectancy_pct,mean_positive_folds
tcs_ns,38.26293503969437,0.49922240560487974,1.7150159413424384,4.25
infy_ns,55.22648715802686,0.6945047384174677,1.52971249935205,4.5
reliance_ns,44.8844288149702,0.5967950945173252,1.8386866392598589,4.25
icicibank_ns,46.978372887903376,0.658151114129558,1.940643362359796,4.5
hdfcbank_ns,47.53879011623998,0.6359606040679644,1.9303308859885862,4.5
