asset,model,fold,train_samples,validation_samples,base_positive_rate,precision_floor_C,training_time,prediction_time,roc_auc,tau_A,accuracy_A,precision_A,recall_A,f1_A,mcc_A,youden_j_A,ppr_A,tau_B,accuracy_B,precision_B,recall_B,f1_B,mcc_B,youden_j_B,ppr_B,tau_C,accuracy_C,precision_C,recall_C,f1_C,mcc_C,youden_j_C,ppr_C,fallback_C,tau_D,accuracy_D,precision_D,recall_D,f1_D,mcc_D,youden_j_D,ppr_D,tau_E,accuracy_E,precision_E,recall_E,f1_E,mcc_E,youden_j_E,ppr_E
reliance_ns,logistic_regression,1,887,925,0.4813979706877114,0.5063979706877114,0.038151899934746325,0.0012365999864414334,0.49344375431331944,0.5,0.44972972972972974,0.6666666666666666,0.007827788649706457,0.015473887814313346,0.018562875691168622,0.0029968707753103225,0.006486486486486486,0.2,0.4843243243243243,0.5307971014492754,0.5733855185909981,0.5512699905926622,-0.05293096095337858,-0.05221834614330145,0.5967567567567568,0.42,0.4616216216216216,0.6101694915254238,0.07045009784735812,0.12631578947368421,0.03030768959983432,0.014894542291802565,0.06378378378378378,False,0.2,0.4843243243243243,0.5307971014492754,0.5733855185909981,0.5512699905926622,-0.05293096095337858,-0.05221834614330145,0.5967567567567568,0.44,0.46054054054054056,0.6764705882352942,0.04500978473581213,0.08440366972477065,0.04872894615572394,0.018439736426633387,0.036756756756756756
reliance_ns,random_forest,1,887,925,0.4813979706877114,0.5063979706877114,0.3228119999403134,0.06334900006186217,0.5070880248069051,0.5,0.4745945945945946,0.5874125874125874,0.1643835616438356,0.25688073394495414,0.03008274647119901,0.021871484349149622,0.1545945945945946,0.2,0.5491891891891892,0.5509761388286334,0.9941291585127201,0.7090020935101187,-0.05134343105932291,-0.005870841487279899,0.9967567567567568,0.44,0.48324324324324325,0.5567010309278351,0.31702544031311153,0.40399002493765584,0.005815918133285355,0.005431237414560808,0.3145945945945946,False,0.23,0.5502702702702703,0.5519125683060109,0.9882583170254403,0.7082748948106592,-0.010000725543830472,-0.002079847225767373,0.9891891891891892,0.46,0.4756756756756757,0.5546218487394958,0.2583170254403131,0.35246995994659547,0.002591609543526652,0.0022783780973179013,0.2572972972972973
reliance_ns,xgboost,1,887,925,0.4813979706877114,0.5063979706877114,0.2546452999813482,0.004325399990193546,0.4896196715732154,0.5,0.46702702702702703,0.5608108108108109,0.162426614481409,0.251896813353566,0.0073537934963434914,0.0054217835635345935,0.16,0.23,0.4918918918918919,0.5352839931153184,0.6086105675146771,0.5695970695970696,-0.04481924722833032,-0.043563345528801145,0.6281081081081081,0.27,0.4843243243243243,0.5352697095435685,0.5048923679060665,0.5196374622356495,-0.036003022219707956,-0.0361704340263006,0.5210810810810811,False,0.27,0.4843243243243243,0.5352697095435685,0.5048923679060665,0.5196374622356495,-0.036003022219707956,-0.0361704340263006,0.5210810810810811,0.4,0.48,0.5559701492537313,0.29158512720156554,0.38254172015404364,0.004544005945479032,0.0041455136749954935,0.2897297297297297
reliance_ns,logistic_regression,2,1812,936,0.5176600441501104,0.5426600441501104,0.011567599955014884,0.001790100010111928,0.5112955657827453,0.5,0.5106837606837606,0.5056689342403629,0.9529914529914529,0.6607407407407407,0.045821449935684586,0.02136752136752129,0.9423076923076923,0.2,0.5010683760683761,0.5005347593582887,1.0,0.6671418389166073,0.03270349700838643,0.002136752136752129,0.9989316239316239,0.36,0.5021367521367521,0.5010706638115632,1.0,0.6676176890156919,0.046274481338274755,0.004273504273504258,0.9978632478632479,True,0.36,0.5021367521367521,0.5010706638115632,1.0,0.6676176890156919,0.046274481338274755,0.004273504273504258,0.9978632478632479,0.36,0.5021367521367521,0.5010706638115632,1.0,0.6676176890156919,0.046274481338274755,0.004273504273504258,0.9978632478632479
reliance_ns,random_forest,2,1812,936,0.5176600441501104,0.5426600441501104,0.362043600063771,0.0637731000315398,0.48824558039301635,0.5,0.5,0.5,0.4444444444444444,0.47058823529411764,0.0,0.0,0.4444444444444444,0.2,0.5,0.5,1.0,0.6666666666666666,0.0,0.0,1.0,0.42,0.4775641025641026,0.4841628959276018,0.6858974358974359,0.5676392572944297,-0.04936068830151907,-0.04487179487179482,0.7083333333333334,False,0.43,0.4722222222222222,0.47929936305732485,0.6431623931623932,0.5492700729927007,-0.05911778692222435,-0.05555555555555547,0.6709401709401709,0.43,0.4722222222222222,0.47929936305732485,0.6431623931623932,0.5492700729927007,-0.05911778692222435,-0.05555555555555547,0.6709401709401709
reliance_ns,xgboost,2,1812,936,0.5176600441501104,0.5426600441501104,0.3130166999762878,0.004316700040362775,0.5012738330046022,0.5,0.5042735042735043,0.5061728395061729,0.3504273504273504,0.41414141414141414,0.008982800927271592,0.008547008547008517,0.34615384615384615,0.22,0.4967948717948718,0.49817739975698666,0.8760683760683761,0.635166537567777,-0.00983744042636613,-0.0064102564102563875,0.8792735042735043,0.31,0.4935897435897436,0.4955223880597015,0.7094017094017094,0.5834797891036907,-0.014212583549140038,-0.012820512820512775,0.7158119658119658,False,0.28,0.49893162393162394,0.49930651872399445,0.7692307692307693,0.6055508830950378,-0.002539879645574785,-0.002136752136752129,0.7702991452991453,0.28,0.49893162393162394,0.49930651872399445,0.7692307692307693,0.6055508830950378,-0.002539879645574785,-0.002136752136752129,0.7702991452991453
reliance_ns,logistic_regression,3,2748,937,0.5116448326055313,0.5366448326055313,0.012463499908335507,0.0015067000640556216,0.5333771125764997,0.5,0.5048025613660619,0.4931506849315068,0.7929515418502202,0.6081081081081081,0.032411857216593246,0.026905993195975864,0.7790821771611526,0.2,0.48452508004268946,0.48452508004268946,1.0,0.6527677929547089,0.0,0.0,1.0,0.55,0.5197438633938101,0.5555555555555556,0.04405286343612335,0.08163265306122448,0.028410028934809827,0.010926569440264135,0.0384204909284952,False,0.63,0.5154749199573105,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.5176093916755603,1.0,0.004405286343612335,0.008771929824561403,0.04770400384506534,0.004405286343612335,0.0021344717182497333
reliance_ns,random_forest,3,2748,937,0.5116448326055313,0.5366448326055313,0.43106319999787956,0.05149879993405193,0.5321321403489571,0.5,0.5229455709711847,0.5064220183486239,0.6079295154185022,0.5525525525525525,0.051662653833437065,0.050993697613119116,0.5816435432230523,0.21,0.4855923159018143,0.48504273504273504,1.0,0.6532374100719425,0.031689576600182436,0.0020703933747412417,0.9989327641408752,0.43,0.5176093916755603,0.5013089005235603,0.8436123348017621,0.6288998357963875,0.07057527067921918,0.05479245902536456,0.8153681963713981,False,0.78,0.5154749199573105,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.5176093916755603,0.5013089005235603,0.8436123348017621,0.6288998357963875,0.07057527067921918,0.05479245902536456,0.8153681963713981
reliance_ns,xgboost,3,2748,937,0.5116448326055313,0.5366448326055313,0.33350499998778105,0.005047600017860532,0.5480978830911795,0.5,0.535752401280683,0.516295025728988,0.6629955947136564,0.5805207328833173,0.08158066062115943,0.07914466303663781,0.6221985058697972,0.2,0.4855923159018143,0.48504273504273504,1.0,0.6532374100719425,0.031689576600182436,0.0020703933747412417,0.9989327641408752,0.36,0.49413020277481323,0.48847926267281105,0.933920704845815,0.6414523449319214,0.02806274437781014,0.014666046460721893,0.9263607257203842,True,0.2,0.4855923159018143,0.48504273504273504,1.0,0.6532374100719425,0.031689576600182436,0.0020703933747412417,0.9989327641408752,0.33,0.48772678762006405,0.4853932584269663,0.9515418502202643,0.6428571428571429,0.007559501231175439,0.003301684588794318,0.9498399146211313
reliance_ns,logistic_regression,4,3685,939,0.5047489823609227,0.5297489823609227,0.016851500025950372,0.002273299964144826,0.5262592319390942,0.5,0.5420660276890309,0.5521472392638037,0.7228915662650602,0.6260869565217392,0.06582446241728006,0.060760046990683825,0.6943556975505857,0.21,0.5303514376996805,0.5303514376996805,1.0,0.6931106471816284,0.0,0.0,1.0,0.53,0.49307774227902024,0.5404411764705882,0.29518072289156627,0.38181818181818183,0.012910203365529735,0.011734010873425682,0.2896698615548456,True,0.66,0.4696485623003195,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.4696485623003195,0.0,0.0,0.0,0.0,0.0,0.0
