architecture,asset,entry_date,exit_date,net_return_pct,net_pnl,is_win
Candidate A: Equal-Weight Baseline Control,reliance_ns,2005-11-08,2005-11-22,3.5979957629601538,628.59552118799,1
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2005-11-18,2005-12-02,0.9798418871183167,203.95713479403162,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2005-11-22,2005-12-06,3.5578664121724253,592.4647630982412,1
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2005-12-02,2005-12-16,7.728171072680433,1634.1615193758964,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2005-12-06,2005-12-20,8.92234555984556,1817.067270131109,1
Candidate A: Equal-Weight Baseline Control,reliance_ns,2005-12-15,2005-12-29,5.371715842086093,875.1751633585786,1
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2005-12-16,2005-12-30,-0.3056054581433862,-53.75527216107001,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2005-12-20,2006-01-03,2.293082444422147,424.41043421972097,1
Candidate A: Equal-Weight Baseline Control,reliance_ns,2005-12-29,2006-01-12,-0.5266978589123616,-96.07035666277328,0
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2005-12-30,2006-01-13,-0.22938327856309124,-41.51677381026198,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2006-01-03,2006-01-17,-6.381931103519317,-1165.7224472755058,0
Candidate A: Equal-Weight Baseline Control,reliance_ns,2006-01-12,2006-01-27,26.029229711348822,4748.147348595072,1
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2006-01-13,2006-01-27,6.034287050017665,1098.532017418714,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2006-01-17,2006-01-31,2.8437106870474103,511.4106640859984,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2006-01-31,2006-02-14,-3.1518944612131157,-836.664865935462,0
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2006-02-02,2006-02-16,3.0263109503277885,642.6631542886087,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2006-02-14,2006-02-28,5.028518390641276,1112.8272084648045,1
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2006-02-17,2006-03-03,4.190511654247853,925.2633210938794,1
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2006-02-17,2006-03-03,2.286004709084051,403.79915078279436,1
Candidate A: Equal-Weight Baseline Control,reliance_ns,2006-02-21,2006-03-07,4.927805172362493,696.3567610918249,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2006-02-28,2006-03-14,5.965334102875816,951.6837067925957,1
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2006-03-03,2006-03-17,0.5486235656597915,115.08725445619855,1
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2006-03-07,2006-03-21,-0.49910527511743547,-98.56066079441374,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2006-03-14,2006-03-28,4.630545255870313,888.0934786037888,1
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2006-03-21,2006-04-04,2.5481703638228383,598.6037139619165,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2006-03-28,2006-04-12,-5.705145590966539,-1301.15158652489,0
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2006-04-04,2006-04-18,-4.487704055066289,-1035.013944352024,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2006-04-12,2006-04-26,9.01778706915686,2051.7052046758427,1
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2006-04-18,2006-05-02,5.9913115372559895,1354.4600166089986,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2006-05-03,2006-05-17,-0.7879796593548821,-219.36294110856022,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2006-05-17,2006-05-31,-11.631266978255002,-3232.8853818547286,0
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2006-05-19,2006-06-02,-5.555797920779055,-1235.377567462228,0
Candidate A: Equal-Weight Baseline Control,reliance_ns,2006-05-26,2006-06-09,-3.7779194572726755,-672.0412823854892,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2006-05-31,2006-06-14,-16.825498689981323,-3220.957071416158,0
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2006-06-02,2006-06-16,-4.041206999078449,-788.6308885316112,0
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2006-06-05,2006-06-19,-6.941180157721602,-1083.6424021813812,0
Candidate A: Equal-Weight Baseline Control,reliance_ns,2006-06-09,2006-06-23,9.606507246627388,1528.6599766625127,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2006-06-15,2006-06-29,8.345345250755223,1328.1345198108188,1
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2006-06-21,2006-07-05,13.813735638058633,2677.459726057847,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2006-06-30,2006-07-14,7.741314976310597,1737.3768719378925,1
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2006-06-30,2006-07-14,-0.45971901162077666,-82.5394838808883,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2006-07-14,2006-07-28,-0.9778836871785337,-230.8933522590087,0
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2006-07-17,2006-07-31,15.99225852257116,3592.4349125281287,1
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2006-07-17,2006-07-31,12.319240815690033,2213.874706423198,1
Candidate A: Equal-Weight Baseline Control,reliance_ns,2006-07-25,2006-08-08,-1.1276174364254474,-162.11412754231387,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2006-07-28,2006-08-11,4.1645929110603825,673.7263917646494,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2006-08-11,2006-08-25,0.6524234162051499,185.3097789318996,1
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2006-08-21,2006-09-04,4.673107804906068,1061.8534561975673,1
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2006-09-04,2006-09-18,3.3044065683237402,946.8027732964989,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2006-09-11,2006-09-25,7.51346819171869,1722.251151341335,1
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2006-09-11,2006-09-25,6.691891264621305,1227.1422082119673,1
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2006-09-18,2006-10-03,8.350980823455297,1719.4758089070656,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2006-10-09,2006-10-23,7.724382507433663,2300.001849999703,1
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2006-10-20,2006-11-03,4.162327280892732,991.4952230441166,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2006-10-23,2006-11-06,-1.9655264942085822,-500.6535725869401,0
