strategy,fold,cum_return_pct,total_trades,win_rate_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,expectancy_pct,daily_sharpe,max_drawdown_pct
Candidate 1: Control Baseline (Fixed 10D),4,58.0900451885789,54,59.25925925925925,3.901113817529181,-3.355137959615326,1.1627282885191559,1.6912411469369542,0.9448630935073451,0.8238118660497197,19.400744318528726
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,4,61.81618313035905,69,68.11594202898551,2.652025737448044,-3.31434827524273,0.8001650753657806,1.7094435700996227,0.7497035884741743,0.9922367830367241,20.478184438499053
Candidate 3: ATR Protective Stop (1.5x ATR14),4,52.517927576461666,65,49.23076923076923,4.445596487855018,-2.85807357421283,1.555452080718189,1.5083171691812742,0.7375793794205721,0.7799720547866335,20.33756661402224
Candidate 4: Trailing ATR Exit (1.5x ATR14),4,21.665785420495844,75,44.0,3.5876747376927454,-2.2512492613102726,1.5936372748012124,1.2521435730580954,0.3178772982510556,0.4432064037144643,18.48860762855135
Candidate 5: Model Probability Deterioration,4,59.3370118679899,81,61.72839506172839,2.301444301735467,-2.085906256149394,1.103330648225754,1.779565561654442,0.6223348289647178,1.015584737388892,18.12141250089385
Candidate 6: Expected Return Decay Exit,4,48.27569464962426,91,61.53846153846154,2.090267903628634,-2.1056358088714044,0.9927015369048993,1.588322459047839,0.4764587834363116,0.8477765337632899,19.167580699225198
Candidate 7: Combined Adaptive Exit,4,50.23737942392324,98,61.224489795918366,2.057914851098615,-2.101869978215865,0.9790876088564905,1.545927803457617,0.4449370601399394,0.9709001987550476,14.2903191560786
Candidate 1: Control Baseline (Fixed 10D),5,33.80993111245797,60,60.0,3.918464646355517,-4.312690818959932,0.9085892800681946,1.362883920102292,0.6260024602293375,0.4951861464315986,26.878703548817267
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,5,65.54221527137587,81,72.8395061728395,2.7017844667719233,-4.655055820050496,0.5803978665808169,1.5565215512849184,0.7036303147954641,0.8460865818705171,26.477585779600375
Candidate 3: ATR Protective Stop (1.5x ATR14),5,47.33437271811426,75,56.00000000000001,3.4892114220346473,-3.0905484642843746,1.1289942423998145,1.4369017630543095,0.594117072054278,0.6421776405861249,23.442465492012268
Candidate 4: Trailing ATR Exit (1.5x ATR14),5,25.351802684633494,83,53.01204819277109,2.991441365298005,-2.666863740988102,1.1217076145741303,1.265516283109275,0.33271968885031616,0.4336823935062156,18.34046204135268
Candidate 5: Model Probability Deterioration,5,116.83907789169056,86,65.11627906976744,2.5964342658283956,-2.1142199808631257,1.2280814150514305,2.292418641429337,0.9531827844243763,1.333226120485626,18.81001296762666
Candidate 6: Expected Return Decay Exit,5,61.725104874690416,108,57.407407407407405,2.0952790392681897,-1.6909582581546165,1.2391074878186634,1.670101396625155,0.4826224125881058,0.8856976130560148,21.022101735404654
Candidate 7: Combined Adaptive Exit,5,102.90406060631688,122,64.75409836065575,2.1523357227211903,-2.219378068616534,0.9697922824221044,1.7817114025894478,0.6114857798726486,1.3816733993957342,15.680734212560285
