fold,brier_raw,brier_platt,brier_isotonic
1,0.2781637010676156,0.2947866242297036,0.30224380358182007
2,0.2568034441805226,0.2595998134692504,0.2622388609217589
3,0.2468900237529691,0.26925373718415907,0.24408437712428546
4,0.25666315165876774,0.25439686873147693,0.24676120948892244
5,0.24210983412322273,0.24668695765729468,0.24231160134343416
