model,paired_folds,mean_auc_shortlist_16,mean_auc_all_32,mean_auc_diff,win_rate_auc,p_value_auc,mean_f1_shortlist_16,mean_f1_all_32,mean_f1_diff,win_rate_f1,model_collapse_shortlist_16,model_collapse_all_32
logistic_regression,15,0.5163507247250992,0.5179386264388021,-0.001587901713702696,0.4,0.6984157890511751,0.49264372791582667,0.41707180561248314,0.07557192230334352,0.6666666666666666,0,2
random_forest,15,0.5111165190793209,0.5075811708274207,0.003535348251900072,0.6,0.06995193376556572,0.4809038841627722,0.2385936316407979,0.24231025252197433,0.9333333333333333,0,4
xgboost,15,0.5154362412147032,0.5120160105960114,0.003420230618691848,0.6,0.3570417416491228,0.4752777819115767,0.30749309846818274,0.16778468344339406,0.9333333333333333,0,3
