config,model,roc_auc,mcc,precision,unrestricted_return_pct,unrestricted_sharpe,unrestricted_win_rate_pct,unrestricted_expectancy_pct,regime_filtered_return_pct,regime_filtered_sharpe,regime_filtered_win_rate_pct,regime_filtered_expectancy_pct
C57,logistic_regression,0.5439291351575941,0.0364740066833311,0.6170902839825771,41.62100701957515,0.5073009836462591,57.57255448868851,1.2430162669071032,35.876839574868406,0.4347646325134182,60.38993264799717,1.7401704226829051
C57,random_forest,0.5725425904710729,0.11075521023309642,0.6509141856239272,59.97968740462704,0.777227804593697,59.74915433403805,1.1247678555148346,30.78664392168515,0.5084958761506865,56.73835403726709,1.1316924293562942
C57,xgboost,0.5658985816055919,0.09008988271147686,0.6390072933377742,61.15784837056886,0.7636740534431793,59.078626799557036,1.0774717824027806,31.733966631807824,0.45492253798215987,57.685967011606614,0.9462802404228071
C58_TREND,logistic_regression,0.5336416515733317,0.02414852214542403,0.6104859818142818,27.55957084334158,0.4094130284505738,60.36141636141637,1.0396148138401642,23.857264525643963,0.453037351512162,63.4264702196391,1.7386351288064872
C58_TREND,random_forest,0.5775358573385053,0.09630591002575788,0.6516962743737149,71.99739272333032,0.8456915021152354,58.006524948850654,1.2809421518176787,37.03982616766576,0.49264988112975105,53.940043290043285,1.126427193447204
C58_TREND,xgboost,0.5698908099500022,0.10359714272285112,0.6549381254549619,78.56033122741181,0.8726577723173768,62.30794689943626,1.2494477211806347,38.762901500757934,0.47153364690422117,56.047360248447205,1.1066868039555098
C59_VOL_VOL,logistic_regression,0.5402954792068326,0.028586408046506816,0.605400691981701,22.664680541610515,0.3629938769301327,55.35132007079536,0.8383696024178988,13.173677116961946,0.1919601892475827,59.21606190368868,1.0010203011720187
C59_VOL_VOL,random_forest,0.5841583236673222,0.11277176788090096,0.6692665322575162,100.71924038494018,0.966242805946712,63.51880711735157,1.6405437489402463,57.8733632366905,0.5510334401546488,59.03277115041821,1.3836515722719813
C59_VOL_VOL,xgboost,0.5709315146130989,0.11278985517584803,0.6489002707475294,74.02066327827022,0.8302215138010893,61.48694295900178,1.3468186519145908,36.920618102400454,0.4072159287332268,58.03143677030264,1.0056072830438736
C60_FULL_GROUP_H,logistic_regression,0.5294395665185998,0.01864043251795264,0.6025937121200092,27.264238075514534,0.39939783215120633,52.73611822658694,0.7735607221717091,17.289524220696535,0.3516268869590083,54.534701857282506,1.2556227242188147
C60_FULL_GROUP_H,random_forest,0.5814431236516217,0.10361964746487555,0.6615984473357217,65.4978245356816,0.7894128121459696,60.97605512489233,1.4944195044667667,45.75631054800806,0.5866346930282725,58.937728937728934,1.5452029316579756
C60_FULL_GROUP_H,xgboost,0.5661193340082089,0.1023664068778896,0.645883897505789,53.09566893704702,0.722816788099745,61.98459873459874,1.0756055820797124,27.729758367830083,0.4570492817550346,61.13613089419541,1.1765918759639156
C61_PRUNED_H,logistic_regression,0.5274864994253414,0.036198745456388695,0.6099140792650356,65.4271888984405,0.713170728192995,59.52816339525883,1.173491671220964,53.64115335912817,0.6542584069781702,59.81818181818181,1.5363248728113932
C61_PRUNED_H,random_forest,0.5845740322552367,0.10790107632373988,0.6393474213034257,64.09544331712348,0.6398518526664168,55.55238503068411,0.9153187314888342,37.07920019721889,0.3051240068855327,55.04875902129906,0.6509634781274608
C61_PRUNED_H,xgboost,0.5604813444300949,0.07800610312620218,0.6216668154119354,40.44201205812979,0.5221666202372369,54.46174103092342,0.7071947085740689,31.929497520540373,0.2580436306046889,53.44641537324465,0.53053095627236
