asset,config_id,fold,feature,train_mean,val_mean,mean_shift,train_std,val_std
reliance_ns,C5,1,POSITION_IN_20D_RANGE,0.4902852470012791,0.5947126360541007,0.10442738905282162,0.29032353643032416,0.28532326020041215
reliance_ns,C5,2,POSITION_IN_20D_RANGE,0.5512560933208962,0.5180039211015245,-0.03325217221937171,0.291900688599138,0.29906865905941116
reliance_ns,C5,3,POSITION_IN_20D_RANGE,0.5389067927384344,0.48618181888283846,-0.05272497385559599,0.2949620444771639,0.3021131141315221
reliance_ns,C5,4,POSITION_IN_20D_RANGE,0.5246172736755771,0.567653350949831,0.04303607727425396,0.29779712325959623,0.3015840835419992
reliance_ns,C5,5,POSITION_IN_20D_RANGE,0.5338092556428115,0.538646491598862,0.004837235956050567,0.2990962041587564,0.2972279523744417
reliance_ns,C7,1,MOMENTUM_ACCELERATION,-0.0005506200873403967,0.00013463051584886818,0.0006852506031892649,0.0794226123708773,0.19387704824640617
reliance_ns,C7,2,MOMENTUM_ACCELERATION,-0.0001998505690688334,-0.00016515571465513824,3.469485441369517e-05,0.1493589027263961,0.09289581418384592
reliance_ns,C7,3,MOMENTUM_ACCELERATION,-0.00018801186601507012,-0.0004574468799206237,-0.00026943501390555357,0.13279995570573402,0.05219830694386121
reliance_ns,C7,4,MOMENTUM_ACCELERATION,-0.0002566139406739762,-0.0001809636064178521,7.56503342561241e-05,0.11763278379565568,0.053823094305673364
reliance_ns,C7,5,MOMENTUM_ACCELERATION,-0.00024123519625339734,0.0005428043558718501,0.0007840395521252475,0.10776034533379414,0.06568955327498413
reliance_ns,C57,1,POSITION_IN_20D_RANGE,0.4902852470012791,0.5947126360541007,0.10442738905282162,0.29032353643032416,0.28532326020041215
reliance_ns,C57,1,MOMENTUM_ACCELERATION,0.0002758484630360759,0.00013463051584886818,-0.0001412179471872077,0.076659965577076,0.19387704824640617
reliance_ns,C57,2,POSITION_IN_20D_RANGE,0.5512560933208962,0.5180039211015245,-0.03325217221937171,0.291900688599138,0.29906865905941116
reliance_ns,C57,2,MOMENTUM_ACCELERATION,0.00019339712691037857,-0.00016515571465513824,-0.0003585528415655168,0.15614030078968108,0.09289581418384592
reliance_ns,C57,3,POSITION_IN_20D_RANGE,0.5389067927384344,0.48618181888283846,-0.05272497385559599,0.2949620444771639,0.3021131141315221
reliance_ns,C57,3,MOMENTUM_ACCELERATION,6.0236598750691975e-05,-0.0004574468799206237,-0.0005176834786713157,0.136105606207946,0.05219830694386121
reliance_ns,C57,4,POSITION_IN_20D_RANGE,0.5246172736755771,0.567653350949831,0.04303607727425396,0.29779712325959623,0.3015840835419992
reliance_ns,C57,4,MOMENTUM_ACCELERATION,-8.006594473202824e-05,-0.0001809636064178521,-0.00010089766168582386,0.11933410742023966,0.053823094305673364
reliance_ns,C57,5,POSITION_IN_20D_RANGE,0.5338092556428115,0.538646491598862,0.004837235956050567,0.2990962041587564,0.2972279523744417
reliance_ns,C57,5,MOMENTUM_ACCELERATION,-0.00010161645643043167,0.0005428043558718501,0.0006444208123022818,0.10870393231408737,0.06568955327498413
reliance_ns,C8,1,POSITION_IN_20D_RANGE,0.4902852470012791,0.5947126360541007,0.10442738905282162,0.29032353643032416,0.28532326020041215
reliance_ns,C8,1,MOMENTUM_ACCELERATION,0.0002758484630360759,0.00013463051584886818,-0.0001412179471872077,0.076659965577076,0.19387704824640617
reliance_ns,C8,2,POSITION_IN_20D_RANGE,0.5512560933208962,0.5180039211015245,-0.03325217221937171,0.291900688599138,0.29906865905941116
reliance_ns,C8,2,MOMENTUM_ACCELERATION,0.00019339712691037857,-0.00016515571465513824,-0.0003585528415655168,0.15614030078968108,0.09289581418384592
reliance_ns,C8,3,POSITION_IN_20D_RANGE,0.5389067927384344,0.48618181888283846,-0.05272497385559599,0.2949620444771639,0.3021131141315221
reliance_ns,C8,3,MOMENTUM_ACCELERATION,6.0236598750691975e-05,-0.0004574468799206237,-0.0005176834786713157,0.136105606207946,0.05219830694386121
reliance_ns,C8,4,POSITION_IN_20D_RANGE,0.5246172736755771,0.567653350949831,0.04303607727425396,0.29779712325959623,0.3015840835419992
reliance_ns,C8,4,MOMENTUM_ACCELERATION,-8.006594473202824e-05,-0.0001809636064178521,-0.00010089766168582386,0.11933410742023966,0.053823094305673364
reliance_ns,C8,5,POSITION_IN_20D_RANGE,0.5338092556428115,0.538646491598862,0.004837235956050567,0.2990962041587564,0.2972279523744417
reliance_ns,C8,5,MOMENTUM_ACCELERATION,-0.00010161645643043167,0.0005428043558718501,0.0006444208123022818,0.10870393231408737,0.06568955327498413
tcs_ns,C5,1,POSITION_IN_20D_RANGE,0.5703494435301136,0.5019160725741534,-0.06843337095596025,0.27975193480845456,0.27271639303527107
tcs_ns,C5,2,POSITION_IN_20D_RANGE,0.5233328732645272,0.6138284070988631,0.09049553383433595,0.27665067695163,0.26703447640787087
tcs_ns,C5,3,POSITION_IN_20D_RANGE,0.5601609252164417,0.5343669559329607,-0.02579396928348099,0.27631476555988543,0.2929282870603131
tcs_ns,C5,4,POSITION_IN_20D_RANGE,0.5527000794120132,0.5664780615731563,0.01377798216114312,0.2814135458252066,0.29536308096998637
tcs_ns,C5,5,POSITION_IN_20D_RANGE,0.5557969148165418,0.5570043852924502,0.001207470475908412,0.28462665985093666,0.29307266396337517
tcs_ns,C7,1,MOMENTUM_ACCELERATION,-0.004824241042553722,-0.00022844754852808691,0.0045957934940256346,0.2784654028580547,0.07601457302257272
tcs_ns,C7,2,MOMENTUM_ACCELERATION,-0.0019817950297410956,-0.0003174773067988867,0.001664317722942209,0.18200397183770528,0.0662541635312384
tcs_ns,C7,3,MOMENTUM_ACCELERATION,-0.0013462596452887873,-7.607911057792727e-05,0.00127018053471086,0.14881559672627012,0.04949449605476999
tcs_ns,C7,4,MOMENTUM_ACCELERATION,-0.0009952612828908413,0.00027606849596455553,0.0012713297788553967,0.129232226231116,0.045761056290843934
tcs_ns,C7,5,MOMENTUM_ACCELERATION,-0.0007194960982714747,-0.00015786577960923403,0.0005616303186622407,0.1163249617743807,0.049784096987083866
tcs_ns,C57,1,POSITION_IN_20D_RANGE,0.5703494435301136,0.5019160725741534,-0.06843337095596025,0.27975193480845456,0.27271639303527107
