fold,cost_bps,cum_return_pct,sharpe,max_drawdown_pct
1,0.0,-12.664292755110537,0.10763243203364042,63.6679073445807
1,5.0,-16.089614206073616,0.07841574549303314,64.35186988489367
1,10.0,-19.382207946689537,0.04916609640267436,65.02328923816685
1,20.0,-25.5893420747403,-0.009420980223918896,66.32939018967022
1,50.0,-41.51583399420448,-0.1856817502272502,70.43417041041344
1,100.0,-60.91524361743173,-0.4797413982167572,76.85649205263819
2,0.0,168.97926045501964,1.4390707635897362,16.315575808420444
2,5.0,164.17975892346445,1.415118638880403,16.357418020516242
2,10.0,159.463559244148,1.391084320668768,16.399260232612033
2,20.0,150.27546763916945,1.3427839087707027,16.71253757570453
2,50.0,124.56894670434005,1.196301350687275,18.09741576407246
2,100.0,87.32071236207481,0.9487652805798532,21.13820349093449
3,0.0,60.45386055179327,1.0087891847371484,15.098353263325745
3,5.0,57.04007872160186,0.9658881470731734,15.352740034535028
3,10.0,53.69727387118276,0.9229150098817164,15.606491315804643
3,20.0,47.21885854514915,0.8368217254535816,16.112092489265024
3,50.0,29.34291453038533,0.5786017028035142,18.125461652064807
3,100.0,4.1510226160260935,0.1562460718432811,22.147958990582627
4,0.0,83.34760556907203,1.1233628383772116,20.089335506182287
4,5.0,78.81961905938253,1.0811200593608579,20.44556465762422
4,10.0,74.40127433375062,1.0387105352782473,20.80302283319097
4,20.0,65.88316272727691,0.9534487376328391,21.513658974582878
4,50.0,42.70174372287735,0.6951842461754011,23.61168361373587
4,100.0,10.926413764428565,0.26368700938671674,26.997797543737995
5,0.0,39.169814266884,0.5592809325578516,22.99710886864452
5,5.0,35.393857729550184,0.5217732044161955,23.035610314210196
5,10.0,31.718537520743357,0.4842630607370788,23.074111759775867
5,20.0,24.659338628832412,0.40927108155104464,23.151114650907246
5,50.0,5.63661800324457,0.18515252467894225,23.382123324301304
5,100.0,-19.927986308141335,-0.18151562421546508,32.08674563777384
