asset,total_folds,fixed_recall_failures,dynamic_recall_failures,f1_win_rate,mean_fixed_f1,mean_dynamic_f1,mean_delta_f1,mean_fixed_recall,mean_dynamic_recall,mean_delta_recall,mean_dynamic_threshold
hdfcbank_ns,15,5,1,1.0,0.4321679888069051,0.6493837150323967,0.2172157262254917,0.39077632307303517,0.9374695211658828,0.5466931980928477,0.21133333333333343
icicibank_ns,15,3,0,1.0,0.47850861007854006,0.6662606949828999,0.18775208490435974,0.4896641845728418,0.9931846834432964,0.5035204988704544,0.24466666666666664
infy_ns,15,4,0,1.0,0.45730770075049454,0.6739173199920835,0.2166096192415891,0.4568078068040175,0.9789487531357797,0.5221409463317621,0.2233333333333334
reliance_ns,15,3,0,1.0,0.4830951215528961,0.6583595623359122,0.17526444078301626,0.5282390717566321,0.9368129080457848,0.4085738362891527,0.20600000000000004
tcs_ns,15,1,0,1.0,0.5097371379018517,0.6772069582066745,0.16746982030482266,0.5137503233542744,0.9950448291746343,0.4812945058203597,0.24933333333333335
