strategy,fold,cum_return_pct,total_trades,win_rate_pct,profit_factor,expectancy_pct,daily_sharpe,max_drawdown_pct
Candidate A: Baseline Control (P(up) >= 0.55),1,-28.200533085447343,84,47.61904761904761,0.9313352463044454,-0.1775182591619636,-0.02858994874917503,68.06427117941283
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,6.961571215645774,78,53.84615384615385,1.1221478911008302,0.2738587859525389,0.25299376630578013,59.998168702167355
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,23.55591721769687,66,51.515151515151516,1.2355614092407694,0.5450146795453117,0.35547314061951346,58.629764621122746
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,-28.200533085447343,84,47.61904761904761,0.9313352463044454,-0.1775182591619636,-0.02858994874917503,68.06427117941283
Candidate E: Meta-Filtered + Mission 25 Exit,1,-30.628137857303678,102,59.80392156862745,0.9532235261900203,-0.11787395445544682,-0.06384574887308564,64.91919711926072
Candidate F: Meta-Filtered + Tiered Sizing,1,-28.200533085447343,84,47.61904761904761,0.9313352463044454,-0.1775182591619636,-0.02858994874917503,68.06427117941283
Candidate A: Baseline Control (P(up) >= 0.55),2,225.8499363425031,38,71.05263157894737,3.5528354901534844,3.365744753379576,1.6373065290174453,24.761090112833248
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),2,188.6799243445649,20,85.0,8.636564737020377,5.602345042160137,1.883610791557251,10.998695083181731
Candidate C: Risk-Adjusted Edge (RAE > 0.5),2,77.83446641197413,19,84.21052631578947,5.62207279259658,3.1630124550978884,1.1038211794085424,16.135567295887714
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),2,225.8499363425031,38,71.05263157894737,3.5528354901534844,3.365744753379576,1.6373065290174453,24.761090112833248
Candidate E: Meta-Filtered + Mission 25 Exit,2,128.98619847387326,59,57.6271186440678,3.759878222997189,1.4747236058383375,1.5805764504878141,12.179127863196042
Candidate F: Meta-Filtered + Tiered Sizing,2,225.8499363425031,38,71.05263157894737,3.5528354901534844,3.365744753379576,1.6373065290174453,24.761090112833248
Candidate A: Baseline Control (P(up) >= 0.55),3,47.143537752452744,40,57.49999999999999,1.9700111245281384,1.056671047301982,0.7964155165111664,16.89055584766597
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),3,81.55156038997168,34,67.64705882352942,3.923382912952096,1.844091447829608,1.3926943445504825,12.88698765377188
Candidate C: Risk-Adjusted Edge (RAE > 0.5),3,76.24792539373585,43,65.11627906976744,2.9888841598285834,1.3927841426958247,1.2089978437947833,12.351319294695298
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),3,47.143537752452744,40,57.49999999999999,1.9700111245281384,1.056671047301982,0.7964155165111664,16.89055584766597
Candidate E: Meta-Filtered + Mission 25 Exit,3,50.67076169079778,57,68.42105263157895,2.194748445099647,0.7530409978856699,1.0995806547196014,15.141817045092592
Candidate F: Meta-Filtered + Tiered Sizing,3,47.143537752452744,40,57.49999999999999,1.9700111245281384,1.056671047301982,0.7964155165111664,16.89055584766597
Candidate A: Baseline Control (P(up) >= 0.55),4,58.0900451885789,54,59.25925925925925,1.6912411469369542,0.9448630935073451,0.8238118660497197,19.400744318528726
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),4,47.14919193597132,37,59.45945945945946,1.9043741881586802,1.1445288817276378,0.8253334782922621,14.344086641989371
Candidate C: Risk-Adjusted Edge (RAE > 0.5),4,54.05852437414459,42,57.14285714285714,1.8188149506927838,1.1386766037942369,0.8581946890132851,19.5703981327292
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),4,58.0900451885789,54,59.25925925925925,1.6912411469369542,0.9448630935073451,0.8238118660497197,19.400744318528726
Candidate E: Meta-Filtered + Mission 25 Exit,4,59.3370118679899,81,61.72839506172839,1.779565561654442,0.6223348289647178,1.015584737388892,18.12141250089385
Candidate F: Meta-Filtered + Tiered Sizing,4,58.0900451885789,54,59.25925925925925,1.6912411469369542,0.9448630935073451,0.8238118660497197,19.400744318528726
Candidate A: Baseline Control (P(up) >= 0.55),5,33.80993111245797,60,60.0,1.362883920102292,0.6260024602293375,0.4951861464315986,26.878703548817267
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),5,74.85412140413287,38,65.78947368421053,2.310192622608383,1.6068036569949529,1.0840892908826039,20.25111948190558
Candidate C: Risk-Adjusted Edge (RAE > 0.5),5,36.79721293231749,41,58.536585365853654,1.596945829086708,0.8927209160501024,0.6298114546860623,20.717118303325798
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),5,35.026935433317504,58,58.620689655172406,1.3943791181802638,0.6544881506568022,0.5095439456114449,26.878703548817263
Candidate E: Meta-Filtered + Mission 25 Exit,5,116.83907789169056,86,65.11627906976744,2.292418641429337,0.9531827844243763,1.333226120485626,18.81001296762666
Candidate F: Meta-Filtered + Tiered Sizing,5,35.026935433317504,58,58.620689655172406,1.3943791181802638,0.6544881506568022,0.5095439456114449,26.878703548817263
