sim_seed,mean_cum_return_pct,mean_sharpe
0,62.269693321718705,0.6903703079024368
1,62.00261345298028,0.733134121151026
2,78.7964622660497,0.6496591731366769
3,62.88504425784528,0.7972102321691807
4,55.084618798144255,0.6252900735208773
5,30.743671590544853,0.42630329649350285
6,41.327199687391456,0.45197489781463335
7,24.966614646843702,0.3456111374800956
8,22.501554123176824,0.3436123822429601
9,69.6491666502945,0.8616456461311811
10,38.59220724846819,0.35292031962400994
11,43.390504527118004,0.37183212401418936
12,50.49005613696738,0.5923902563503796
13,64.13118601861122,0.8425779214379236
14,63.921484583832964,0.7965561318002393
15,31.251031249526896,0.4497444987255137
16,48.73612797225522,0.6514385590433559
17,18.87888019958682,0.3345082863377999
18,30.01318661281539,0.4429875800632814
19,34.07586827553949,0.47824902454385326
20,70.45307820407291,0.614126388780914
21,76.25548653171073,0.7472262617303423
22,41.11219014258945,0.5168912203253628
23,29.204144197135612,0.41418498159008676
24,71.40343693520957,0.795718418823596
25,8.094120362098968,0.24222166434630368
26,78.40433278105118,0.786777017959471
27,26.359873747529218,0.44374341218196456
28,21.7301722860808,0.39361276754434177
29,29.016092475302724,0.43719836916017824
30,34.258718784738555,0.49919541485277075
31,20.285629447688727,0.3195237611974525
32,13.454811303835111,0.22170412524211608
33,65.45379486423056,0.6433332360257079
34,30.132556162502897,0.37915416427000287
35,37.096265957871424,0.5671008923944368
36,34.65434282025,0.5341986345345082
37,42.15937837403321,0.601907555253592
38,23.315412248283263,0.2704797072327105
39,68.95244227548713,0.5794603461328312
40,49.46103042373768,0.45477743797009085
41,35.8939431833729,0.5615139690810313
42,62.90621114840807,0.710828691942823
43,33.14901422895482,0.5013036977755099
44,40.6118033735635,0.6164897104050538
45,37.30543375087832,0.5231329964757669
46,31.030937719843717,0.4717838325819998
47,71.24870244616542,0.8016888044186331
48,29.51993506451264,0.44915103207657464
49,57.36693252260587,0.6016045262060163
50,80.2884032349506,0.9140034224605108
51,84.4612572498693,0.6812468340659203
52,15.636611965723494,0.32210533177822753
53,-2.8961049627003197,0.029302088765534813
54,34.5117605928137,0.5341440529360595
55,39.017215410959,0.5334651944552924
