architecture,cum_return_pct,daily_sharpe,sortino_ratio,calmar_ratio,max_drawdown_pct,return_retention_pct,expectancy_pct,win_rate_pct,total_trades,rebalance_count
Candidate A: Equal-Weight Baseline Control,350.0962520103408,0.8523561399797592,1.162062089316525,0.12370826388418757,53.14026106081421,99.99999999714365,1.035091281108558,56.82951146560319,1003,1003
Candidate B: Causal Inverse-Volatility Sizing,60.32441936800469,0.28667102475572115,0.341268178176051,0.09758568806987827,20.678541287688116,17.230809818695175,1.035091281108558,56.82951146560319,1003,1003
Candidate C: Signal-Quality Weighted Allocation,146.02210729305546,0.588439392117611,0.7579628660400795,0.06808454575561368,57.04361431425108,41.70913183171452,1.0350912811085582,56.82951146560319,1003,1003
Candidate D: Portfolio Drawdown Governor,195.5571383347775,0.6140314153680934,0.7587547099609612,0.10805000812840417,43.43808378405091,55.85810679384695,1.035091281108558,56.82951146560319,1003,1003
Candidate E: Volatility Normalization + Drawdown Governor,54.897002003904085,0.2737575231241216,0.32036123394191346,0.08917842267567774,20.96174535801141,15.680545474881157,1.035091281108558,56.82951146560319,1003,1003
