date,portfolio_mode,entry_timing,cash,allocated_capital,unrealized_pnl,realized_pnl,total_equity,daily_return,drawdown,open_positions,exposure_pct
2005-11-22,MODE_A,SAME_BAR_CLOSE,0.0,99950.0,-50.0,0.0,99950.0,-0.0005,0.0,1,100.0
2005-11-23,MODE_A,SAME_BAR_CLOSE,0.0,101069.54775563767,1069.5477556376723,0.0,101069.54775563767,0.01120107809542443,0.0,1,100.0
2005-11-24,MODE_A,SAME_BAR_CLOSE,0.0,101576.00673663142,1576.0067366314222,0.0,101576.00673663142,0.005010994827227727,0.0,1,100.0
2005-11-25,MODE_A,SAME_BAR_CLOSE,0.0,102205.0802186695,2205.0802186694996,0.0,102205.0802186695,0.006193130663909154,0.0,1,100.0
2005-11-28,MODE_A,SAME_BAR_CLOSE,0.0,103135.37391958706,3135.3739195870576,0.0,103135.37391958706,0.009102225632299165,0.0,1,100.0
2005-11-29,MODE_A,SAME_BAR_CLOSE,0.0,102982.09969224829,2982.099692248292,0.0,102982.09969224829,-0.001486146038102074,0.001486146038102074,1,100.0
2005-11-30,MODE_A,SAME_BAR_CLOSE,0.0,101365.42346929682,1365.4234692968166,0.0,101365.42346929682,-0.015698613912347358,0.017161429517579905,1,100.0
2005-12-01,MODE_A,SAME_BAR_CLOSE,0.0,103297.97052589462,3297.9705258946287,0.0,103297.97052589462,0.019065150526236037,0.0,1,100.0
2005-12-02,MODE_A,SAME_BAR_CLOSE,0.0,103291.30819746928,3291.3081974692786,0.0,103291.30819746928,-6.449621799368871e-05,6.449621799368871e-05,1,100.0
2005-12-05,MODE_A,SAME_BAR_CLOSE,0.0,102049.14594078728,2049.145940787279,0.0,102049.14594078728,-0.012025815902217749,0.012089536500567457,1,100.0
2005-12-06,MODE_A,SAME_BAR_CLOSE,0.0,103454.33443522685,-51.75304373948317,3506.087478966339,103454.33443522685,0.013769723219975936,0.0,1,100.0
2005-12-07,MODE_A,SAME_BAR_CLOSE,0.0,106221.1093392844,2715.0218603180692,3506.087478966339,106221.1093392844,0.026743924449002632,0.0,1,100.0
2005-12-08,MODE_A,SAME_BAR_CLOSE,0.0,107619.1408857064,4113.053406740053,3506.087478966339,107619.1408857064,0.013161522743624244,0.0,1,100.0
2005-12-09,MODE_A,SAME_BAR_CLOSE,0.0,112022.26737623877,8516.179897272435,3506.087478966339,112022.26737623877,0.04091397175534585,0.0,1,100.0
2005-12-12,MODE_A,SAME_BAR_CLOSE,0.0,109858.6471258238,6352.5596468574595,3506.087478966339,109858.6471258238,-0.01931419798126581,0.01931419798126581,1,100.0
2005-12-13,MODE_A,SAME_BAR_CLOSE,0.0,111017.01774674628,7510.93026777994,3506.087478966339,111017.01774674628,0.010544191570061538,0.008973659014740834,1,100.0
2005-12-14,MODE_A,SAME_BAR_CLOSE,0.0,112102.15976912425,8596.072290157914,3506.087478966339,112102.15976912425,0.00977455568887118,0.0,1,100.0
2005-12-15,MODE_A,SAME_BAR_CLOSE,0.0,112028.93117057974,8522.843691613407,3506.087478966339,112028.93117057974,-0.0006532309341347237,0.0006532309341347237,1,100.0
2005-12-16,MODE_A,SAME_BAR_CLOSE,0.0,114132.63415797523,10626.54667900889,3506.087478966339,114132.63415797523,0.01877821171204701,0.0,1,100.0
2005-12-19,MODE_A,SAME_BAR_CLOSE,0.0,115474.7467179823,11968.659239015966,3506.087478966339,115474.7467179823,0.011759235821626603,0.0,1,100.0
2005-12-20,MODE_A,SAME_BAR_CLOSE,0.0,112628.545206351,-56.34244382508805,12684.887650176095,112628.545206351,-0.02464782640816196,0.02464782640816196,1,100.0
2005-12-21,MODE_A,SAME_BAR_CLOSE,0.0,112136.39641140129,-548.4912387748013,12684.887650176095,112136.39641140129,-0.004369663072962766,0.028909786784240183,1,100.0
2005-12-22,MODE_A,SAME_BAR_CLOSE,0.0,112043.28586341828,-641.6017867578148,12684.887650176095,112043.28586341828,-0.0008303329780762241,0.0297161150129603,1,100.0
