feature,importance,model,fold,config
ATR_14,0.027703717350959778,xgboost,1,ALL
HIGH_LOW_PCT,0.027413945645093918,xgboost,1,ALL
PRICE_CHANGE_PCT,0.026783471927046776,xgboost,1,ALL
VOLUME_SMA_20,1.3689396449375853e-09,logistic_regression,2,ALL
Volume,1.1458265926113741e-09,logistic_regression,2,ALL
VOLUME_EMA_20,1.8330317397593808e-10,logistic_regression,2,ALL
OBV,7.484362077992489e-12,logistic_regression,2,ALL
High,4.763336429349645e-13,logistic_regression,2,ALL
Open,4.686676618400685e-13,logistic_regression,2,ALL
Close,4.651149881151755e-13,logistic_regression,2,ALL
Low,4.556810454074913e-13,logistic_regression,2,ALL
SMA_20,4.4857775969011715e-13,logistic_regression,2,ALL
EMA_20,4.4371717455835925e-13,logistic_regression,2,ALL
EMA_50,4.3770443534947215e-13,logistic_regression,2,ALL
SMA_50,4.2772171488082245e-13,logistic_regression,2,ALL
Adj Close,4.129831696822037e-13,logistic_regression,2,ALL
MOMENTUM_20,4.2024705337031115e-14,logistic_regression,2,ALL
ROC_12,3.8877630474825904e-14,logistic_regression,2,ALL
TRUE_RANGE,2.8491487672972364e-14,logistic_regression,2,ALL
MOMENTUM_10,2.315610741003554e-14,logistic_regression,2,ALL
ATR_14,1.9728464774377132e-14,logistic_regression,2,ALL
ROLLING_STD_20,1.9047584658730632e-14,logistic_regression,2,ALL
PRICE_CHANGE_PCT,1.388121757721285e-14,logistic_regression,2,ALL
BODY_SIZE,1.1662223944548133e-14,logistic_regression,2,ALL
GAP_PCT,1.1600974508169166e-14,logistic_regression,2,ALL
VOLUME_CHANGE_PCT,1.1145171617774242e-14,logistic_regression,2,ALL
RSI_14,9.516382885243987e-15,logistic_regression,2,ALL
DAILY_RANGE_PCT,6.113026597845062e-15,logistic_regression,2,ALL
HIGH_LOW_PCT,6.113026597845062e-15,logistic_regression,2,ALL
LOWER_WICK,5.379167597847001e-15,logistic_regression,2,ALL
UPPER_WICK,3.6112059849592156e-15,logistic_regression,2,ALL
OPEN_CLOSE_PCT,2.3571285312544572e-15,logistic_regression,2,ALL
HIST_VOL_20,2.1971617570573734e-15,logistic_regression,2,ALL
VOLUME_RATIO,1.1374040003129308e-15,logistic_regression,2,ALL
DAILY_RETURN,1.388121757721169e-16,logistic_regression,2,ALL
GAP_PCT,0.04080845538605714,random_forest,2,ALL
VOLUME_CHANGE_PCT,0.03757957712213107,random_forest,2,ALL
VOLUME_RATIO,0.037309769320288184,random_forest,2,ALL
HIST_VOL_20,0.03668369021666315,random_forest,2,ALL
RSI_14,0.036576023819680975,random_forest,2,ALL
ROC_12,0.03597880166404237,random_forest,2,ALL
ROLLING_STD_20,0.03534657320156594,random_forest,2,ALL
MOMENTUM_20,0.03531842605440512,random_forest,2,ALL
BODY_SIZE,0.03450558701625632,random_forest,2,ALL
VOLUME_EMA_20,0.03377295784061282,random_forest,2,ALL
VOLUME_SMA_20,0.03309123041546055,random_forest,2,ALL
MOMENTUM_10,0.03285677710829251,random_forest,2,ALL
Volume,0.032854174048481545,random_forest,2,ALL
OPEN_CLOSE_PCT,0.03268773311093273,random_forest,2,ALL
HIGH_LOW_PCT,0.0322732658368038,random_forest,2,ALL
PRICE_CHANGE_PCT,0.032252607240828915,random_forest,2,ALL
ATR_14,0.032244786986746224,random_forest,2,ALL
UPPER_WICK,0.03190610881484079,random_forest,2,ALL
LOWER_WICK,0.03174061333973516,random_forest,2,ALL
DAILY_RETURN,0.031378671568035255,random_forest,2,ALL
DAILY_RANGE_PCT,0.031138121073676767,random_forest,2,ALL
OBV,0.03001503812192197,random_forest,2,ALL
TRUE_RANGE,0.028227670284755802,random_forest,2,ALL
EMA_50,0.02663828666117102,random_forest,2,ALL
EMA_20,0.02624073612256057,random_forest,2,ALL
SMA_20,0.02606889182144345,random_forest,2,ALL
SMA_50,0.025801239001381218,random_forest,2,ALL
Adj Close,0.024712292072482024,random_forest,2,ALL
High,0.02409866092001255,random_forest,2,ALL
Low,0.023567156134946084,random_forest,2,ALL
Open,0.023275897031884808,random_forest,2,ALL
Close,0.02305018064190321,random_forest,2,ALL
Close,0.036064669489860535,xgboost,2,ALL
EMA_20,0.03532153367996216,xgboost,2,ALL
SMA_20,0.034582823514938354,xgboost,2,ALL
UPPER_WICK,0.03421797603368759,xgboost,2,ALL
ROC_12,0.03401850536465645,xgboost,2,ALL
DAILY_RANGE_PCT,0.03352998569607735,xgboost,2,ALL
VOLUME_EMA_20,0.03338542580604553,xgboost,2,ALL
VOLUME_SMA_20,0.03298970311880112,xgboost,2,ALL
OBV,0.032988373190164566,xgboost,2,ALL
BODY_SIZE,0.03266609460115433,xgboost,2,ALL
EMA_50,0.03263239189982414,xgboost,2,ALL
Volume,0.03256770223379135,xgboost,2,ALL
ROLLING_STD_20,0.03199317306280136,xgboost,2,ALL
GAP_PCT,0.03163975849747658,xgboost,2,ALL
TRUE_RANGE,0.031544480472803116,xgboost,2,ALL
OPEN_CLOSE_PCT,0.030931249260902405,xgboost,2,ALL
LOWER_WICK,0.030646968632936478,xgboost,2,ALL
VOLUME_CHANGE_PCT,0.03028007037937641,xgboost,2,ALL
VOLUME_RATIO,0.03007936105132103,xgboost,2,ALL
ATR_14,0.029965726658701897,xgboost,2,ALL
RSI_14,0.02993115410208702,xgboost,2,ALL
HIST_VOL_20,0.029879823327064514,xgboost,2,ALL
Low,0.029759155586361885,xgboost,2,ALL
SMA_50,0.029706880450248718,xgboost,2,ALL
Open,0.029683703556656837,xgboost,2,ALL
PRICE_CHANGE_PCT,0.029413066804409027,xgboost,2,ALL
Adj Close,0.029026027768850327,xgboost,2,ALL
DAILY_RETURN,0.028806738555431366,xgboost,2,ALL
MOMENTUM_20,0.028698518872261047,xgboost,2,ALL
MOMENTUM_10,0.028248034417629242,xgboost,2,ALL
High,0.027959447354078293,xgboost,2,ALL
HIGH_LOW_PCT,0.026841506361961365,xgboost,2,ALL
VOLUME_SMA_20,3.597549933082122e-09,logistic_regression,3,ALL
VOLUME_EMA_20,2.4903697867115903e-09,logistic_regression,3,ALL
