strategy,cum_return_pct,total_trades,win_rate_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,expectancy_pct,daily_sharpe,max_drawdown_pct
Candidate 1: Control Baseline (Fixed 10D),67.33858346210907,55.2,59.086187691450846,4.64012741638892,-3.944224356285548,1.1998666029019511,1.9016613856050628,1.1631526190512553,0.744826021852151,31.19907300145161
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,61.33285036645897,83.0,72.9952854445608,2.72657352835731,-4.6432731543539605,0.657513566302985,1.8176172855920025,0.798570256782682,0.8966627099604952,30.080132172330217
Candidate 3: ATR Protective Stop (1.5x ATR14),75.24515284264908,68.4,52.878752518697794,5.1241674488319875,-3.4997715860302803,1.4861273882735104,1.8695472894042129,1.0262868028981706,0.7746473756192472,30.413066312218735
Candidate 4: Trailing ATR Exit (1.5x ATR14),16.96093878937973,79.6,44.18132788540148,4.4580084562943325,-2.8065836430152897,1.576442522791852,1.3108966101918231,0.28058674966490416,0.27688808280367105,33.72195556833585
Candidate 5: Model Probability Deterioration,65.04098241340958,77.0,62.53935339515401,2.8845135099391763,-2.7452450473080834,1.3499360894105354,2.1959668794741267,0.7370816525315309,0.9930244428417696,25.83431349921397
Candidate 6: Expected Return Decay Exit,56.8391824153568,91.8,59.78522090752307,2.6274446388680266,-2.2706260168656542,1.2274857184161874,1.9287551911617906,0.6186264769762726,0.8535007814241629,27.23366246902338
Candidate 7: Combined Adaptive Exit,46.361688900514345,120.6,64.04040140282787,2.266262691785444,-2.831031292561326,0.9696958569922263,1.709741689990139,0.4406186661589924,0.8937744932900185,27.69115028762625
