config_id,asset,target_name,model,fold,feature_count,train_samples,validation_samples,base_positive_rate,roc_auc,pr_auc,mcc,f1,precision,recall,accuracy,ppr,mean_realized_ret_buy,mean_realized_ret_sell,return_spread,spread_minus_5bps,spread_minus_10bps,spread_minus_20bps,training_time,prediction_time
C0_Control,tcs_ns,TARGET_D,random_forest,1,16,520,843,0.6346153846153846,0.5224114595082338,0.537577424676761,-0.004849676519314767,0.6715210355987055,0.5213567839195979,0.9431818181818182,0.5183867141162515,0.9442467378410438,0.0009614255469331563,-0.010642062325682846,0.011603487872616003,0.011103487872616002,0.010603487872616002,0.009603487872616003,0.4645231000613421,0.13834399997722358
C0_Control,tcs_ns,TARGET_D,random_forest,2,16,1363,842,0.5649303008070433,0.5762745981673427,0.6972202141771362,0.11379520847405002,0.44152431011826543,0.711864406779661,0.32,0.49524940617577196,0.28028503562945367,0.0338185008818454,0.012327035181608999,0.021491465700236398,0.020991465700236397,0.020491465700236397,0.019491465700236396,0.4571242000674829,0.06839310005307198
C0_Control,tcs_ns,TARGET_D,random_forest,3,16,2205,842,0.5873015873015873,0.5940874475913408,0.6496964877986073,0.1277414769370029,0.5543608124253285,0.6236559139784946,0.4989247311827957,0.5570071258907363,0.4418052256532066,0.015177134227845356,0.0023674670756748174,0.012809667152170539,0.012309667152170538,0.01180966715217054,0.010809667152170539,0.5005161000881344,0.09963909990619868
C0_Control,tcs_ns,TARGET_D,random_forest,4,16,3047,844,0.5776173285198556,0.5510894665843563,0.5973711416223537,0.08892555060619362,0.5326991676575505,0.6170798898071626,0.4686192468619247,0.5343601895734598,0.43009478672985785,0.013981967816496296,0.0047560605078970876,0.009225907308599207,0.008725907308599207,0.008225907308599206,0.007225907308599207,0.7517584000015631,0.10386719997040927
C0_Control,tcs_ns,TARGET_D,random_forest,5,16,3891,844,0.5751734772552043,0.5596714126757045,0.5963629000744368,0.07222792248150298,0.5268176400476758,0.5924932975871313,0.4742489270386266,0.5296208530805687,0.4419431279620853,0.007166348832298067,0.0049087444344629695,0.002257604397835097,0.0017576043978350972,0.0012576043978350972,0.00025760439783509715,0.6785449999151751,0.07868759997654706
C1_GroupA,tcs_ns,TARGET_D,random_forest,1,21,384,843,0.7291666666666666,0.4755865102639296,0.5263969766767979,-0.017348555336963153,0.6467065868263473,0.5185185185185185,0.8590909090909091,0.5100830367734283,0.8647686832740213,0.000758334814601451,-0.0025237567876557707,0.0032820916022572215,0.0027820916022572215,0.0022820916022572215,0.0012820916022572215,0.3547604000195861,0.06453940004575998
C1_GroupA,tcs_ns,TARGET_D,random_forest,2,21,1227,842,0.58679706601467,0.5908757698663061,0.7169285229846551,0.11671906705509319,0.5260663507109005,0.6959247648902821,0.4228571428571429,0.5249406175771971,0.37885985748218526,0.027719621464651928,0.012636310288616826,0.015083311176035102,0.014583311176035101,0.0140833111760351,0.013083311176035102,0.43012400006409734,0.06538819998968393
C1_GroupA,tcs_ns,TARGET_D,random_forest,3,21,2069,842,0.6017399710004834,0.591563275434243,0.6701214457256754,0.13009070545791165,0.5215189873417722,0.6338461538461538,0.443010752688172,0.5510688836104513,0.3859857482185273,0.016666029341583753,0.002596023060562701,0.014070006281021053,0.013570006281021053,0.013070006281021052,0.012070006281021053,0.5776671000057831,0.12700649991165847
C1_GroupA,tcs_ns,TARGET_D,random_forest,4,21,2911,844,0.5874270010305737,0.5632044950499577,0.6252076921048161,0.07658565157648468,0.5422943221320974,0.6077922077922078,0.4895397489539749,0.5319905213270142,0.4561611374407583,0.014805601404641908,0.0036230128124172555,0.011182588592224653,0.010682588592224653,0.010182588592224654,0.009182588592224653,0.7041610999731347,0.10467080003581941
C1_GroupA,tcs_ns,TARGET_D,random_forest,5,21,3755,844,0.5826897470039947,0.5538325726093966,0.6049981551926077,0.06288914988632084,0.586864406779661,0.5794979079497908,0.5944206008583691,0.5379146919431279,0.566350710900474,0.005927060977760271,0.005879594523797344,4.7466453962926626e-05,-0.0004525335460370734,-0.0009525335460370734,-0.0019525335460370734,0.6848479999462143,0.11717230000067502
C2_GroupB,tcs_ns,TARGET_D,random_forest,1,20,520,843,0.6346153846153846,0.5133938642003157,0.5309244464747127,-0.021037550078326996,0.6767275615567911,0.5201465201465202,0.9681818181818181,0.5172004744958482,0.9715302491103203,0.0004280281348942465,-0.00355988485111197,0.0039879129860062165,0.0034879129860062165,0.0029879129860062165,0.0019879129860062164,0.4250932999420911,0.06779940007254481
C2_GroupB,tcs_ns,TARGET_D,random_forest,2,20,1363,842,0.5649303008070433,0.6005377797806819,0.7095858065353644,0.15367853632998743,0.49304677623261695,0.7330827067669173,0.37142857142857144,0.5237529691211401,0.3159144893111639,0.03447917545132202,0.010902584823123103,0.023576590628198918,0.023076590628198917,0.022576590628198917,0.021576590628198916,0.4821762000210583,0.07556720008142292
C2_GroupB,tcs_ns,TARGET_D,random_forest,3,20,2205,842,0.5873015873015873,0.5929123527566242,0.6451620759328514,0.11218729054063079,0.549346016646849,0.6143617021276596,0.4967741935483871,0.5498812351543944,0.44655581947743467,0.013599351805020875,0.0035305733468622047,0.010068778458158671,0.00956877845815867,0.00906877845815867,0.008068778458158671,0.554347199969925,0.06995500007178634
C2_GroupB,tcs_ns,TARGET_D,random_forest,4,20,3047,844,0.5776173285198556,0.5336557148409813,0.5800223075008436,0.029554340964883657,0.5011933174224343,0.5833333333333334,0.4393305439330544,0.504739336492891,0.4265402843601896,0.012159296524915209,0.006168951803134669,0.00599034472178054,0.005490344721780539,0.00499034472178054,0.00399034472178054,0.6699633999960497,0.0711810999782756
C2_GroupB,tcs_ns,TARGET_D,random_forest,5,20,3891,844,0.5751734772552043,0.5872334627699436,0.6165879351057832,0.15401170754452978,0.5777777777777777,0.6349614395886889,0.5300429184549357,0.5722748815165877,0.4609004739336493,0.010251822530177614,0.00219144566778054,0.008060376862397075,0.0075603768623970745,0.007060376862397075,0.006060376862397075,0.7330472000176087,0.08942089998163283
C3_GroupC,tcs_ns,TARGET_D,random_forest,1,19,484,843,0.6590909090909091,0.47494924430408303,0.5009672844066472,-0.055653992341836274,0.6703910614525139,0.5166051660516605,0.9545454545454546,0.5100830367734283,0.9644128113879004,-0.00033586677182428643,0.0179392497181615,-0.018275116489985786,-0.018775116489985786,-0.019275116489985786,-0.020275116489985784,0.5707417000085115,0.11668820003978908
C3_GroupC,tcs_ns,TARGET_D,random_forest,2,19,1327,842,0.5719668425018839,0.5566471383506084,0.6739402706528765,0.04803171271472711,0.4307692307692308,0.6588235294117647,0.32,0.47268408551068886,0.3028503562945368,0.026430639889337925,0.014840777438482786,0.011589862450855139,0.011089862450855139,0.01058986245085514,0.009589862450855139,0.6703228000551462,0.11658019991591573
C3_GroupC,tcs_ns,TARGET_D,random_forest,3,19,2169,842,0.5919778699861687,0.6066712301417528,0.6676982380211567,0.1530070754301038,0.591324200913242,0.6301703163017032,0.556989247311828,0.5748218527315915,0.48812351543942994,0.01608699670269878,0.00034071418449289545,0.015746282518205885,0.015246282518205884,0.014746282518205884,0.013746282518205885,0.7870304000098258,0.09274450002703816
C3_GroupC,tcs_ns,TARGET_D,random_forest,4,19,3011,844,0.5808701428096977,0.5588117612090449,0.6224973190080791,0.08153345082260743,0.5541619156214367,0.6090225563909775,0.5083682008368201,0.5367298578199052,0.4727488151658768,0.01549172845207127,0.0026559994815959958,0.012835728970475274,0.012335728970475274,0.011835728970475273,0.010835728970475274,0.557708999956958,0.06327430007513613
C3_GroupC,tcs_ns,TARGET_D,random_forest,5,19,3855,844,0.5776913099870298,0.5745055294411517,0.6052399918391359,0.10305327920000915,0.5488810365135454,0.608355091383812,0.5,0.5462085308056872,0.4537914691943128,0.008828374183982007,0.003478957550139111,0.005349416633842896,0.004849416633842895,0.004349416633842896,0.0033494166338428957,0.6864462998928502,0.0900199000025168
C4_GroupD,tcs_ns,TARGET_D,random_forest,1,22,483,843,0.6583850931677019,0.4729584931197834,0.5045243771132095,-0.031397166605062615,0.6606409202958093,0.5173745173745173,0.9136363636363637,0.5100830367734283,0.9217081850533808,3.018347526582535e-05,0.0036615946328811084,-0.003631411157615283,-0.0041314111576152834,-0.004631411157615283,-0.005631411157615283,0.38104699994437397,0.06680350005626678
C4_GroupD,tcs_ns,TARGET_D,random_forest,2,22,1326,842,0.5716440422322775,0.5676641129637975,0.6864962752301073,0.07576030494836898,0.43870967741935485,0.68,0.3238095238095238,0.4833729216152019,0.29691211401425177,0.028973683978711726,0.013864744144413237,0.01510893983429849,0.01460893983429849,0.014108939834298489,0.01310893983429849,0.409944900078699,0.06514620000962168
C4_GroupD,tcs_ns,TARGET_D,random_forest,3,22,2168,842,0.591789667896679,0.5714098285844671,0.6343066577229312,0.10919711776944815,0.5138539042821159,0.6200607902735562,0.43870967741935485,0.5415676959619953,0.39073634204275537,0.014585189949453958,0.003820810847866052,0.010764379101587906,0.010264379101587905,0.009764379101587905,0.008764379101587906,0.4784485000418499,0.06576269993092865
C4_GroupD,tcs_ns,TARGET_D,random_forest,4,22,3010,844,0.5807308970099668,0.5453449024853099,0.5931062927402851,0.048215432054092025,0.5119047619047619,0.5939226519337016,0.4497907949790795,0.514218009478673,0.42890995260663506,0.011382711647128722,0.006727339845282276,0.004655371801846446,0.004155371801846447,0.003655371801846446,0.002655371801846446,0.7541730001103133,0.09397330007050186
C4_GroupD,tcs_ns,TARGET_D,random_forest,5,22,3854,844,0.5775817332641412,0.555073006789745,0.5886586993612635,0.06408343336346362,0.5556805399325084,0.5839243498817966,0.5300429184549357,0.5319905213270142,0.5011848341232228,0.007166387017842678,0.004640582029766711,0.002525804988075967,0.002025804988075967,0.001525804988075967,0.0005258049880759669,0.6259203000226989,0.06832469999790192
C5_GroupE,tcs_ns,TARGET_D,random_forest,1,21,384,843,0.7291666666666666,0.5458662305436499,0.555089302279266,-0.010557788191614927,0.6605809128630705,0.5202614379084968,0.9045454545454545,0.5148279952550415,0.9074733096085409,0.0005495404998098724,-0.001990777901318636,0.0025403184011285086,0.0020403184011285086,0.0015403184011285086,0.0005403184011285086,0.3837689000647515,0.06941299990285188
C5_GroupE,tcs_ns,TARGET_D,random_forest,2,21,1227,842,0.58679706601467,0.5919032597266036,0.7308197279354051,0.15332193155540202,0.4262295081967213,0.7536231884057971,0.29714285714285715,0.501187648456057,0.24584323040380046,0.033224874230235846,0.013502048129939758,0.01972282610029609,0.01922282610029609,0.01872282610029609,0.017722826100296088,0.4132984000025317,0.07524400006514043
C5_GroupE,tcs_ns,TARGET_D,random_forest,3,21,2069,842,0.6017399710004834,0.5846324976469582,0.660672659555433,0.14617092085937897,0.5155440414507773,0.6482084690553745,0.42795698924731185,0.5558194774346793,0.3646080760095012,0.014696392860632826,0.004199646448806278,0.010496746411826548,0.009996746411826548,0.009496746411826549,0.008496746411826548,0.4404304000781849,0.06469249993097037
C5_GroupE,tcs_ns,TARGET_D,random_forest,4,21,2911,844,0.5874270010305737,0.5513724078011752,0.6076679208727167,0.05993942029625097,0.5024390243902439,0.6023391812865497,0.4309623430962343,0.5165876777251185,0.4052132701421801,0.014060058283565735,0.005088803762364887,0.008971254521200848,0.008471254521200847,0.007971254521200847,0.006971254521200848,0.5056956000626087,0.0661170999519527
C5_GroupE,tcs_ns,TARGET_D,random_forest,5,21,3755,844,0.5826897470039947,0.5994163998455845,0.6246645945340913,0.16279447544584405,0.6163934426229508,0.6280623608017817,0.6051502145922747,0.5841232227488151,0.5319905213270142,0.011917201764803279,-0.000925966707132748,0.012843168471936027,0.012343168471936027,0.011843168471936026,0.010843168471936027,0.6645695000188425,0.06604720000177622
C6_GroupF,tcs_ns,TARGET_D,random_forest,1,20,520,843,0.6346153846153846,0.5005019174374012,0.5283837742079114,-0.019129512688499745,0.6682887266828873,0.519546027742749,0.9363636363636364,0.5148279952550415,0.9406880189798339,0.0005849235411406296,-0.003974531241456407,0.004559454782597037,0.004059454782597036,0.0035594547825970367,0.0025594547825970367,0.42076680005993694,0.06676800001878291
