asset,fold,cum_return_pct,total_trades,win_rate_pct,profit_factor,expectancy_pct,daily_sharpe,max_drawdown_pct
tcs_ns,1,6.961571215645774,78,53.84615384615385,1.1221478911008302,0.2738587859525389,0.25299376630578013,59.998168702167355
tcs_ns,2,188.6799243445649,20,85.0,8.636564737020377,5.602345042160137,1.883610791557251,10.998695083181731
tcs_ns,3,81.55156038997168,34,67.64705882352942,3.923382912952096,1.844091447829608,1.3926943445504825,12.88698765377188
tcs_ns,4,47.14919193597132,37,59.45945945945946,1.9043741881586802,1.1445288817276378,0.8253334782922621,14.344086641989371
tcs_ns,5,74.85412140413287,38,65.78947368421053,2.310192622608383,1.6068036569949529,1.0840892908826039,20.25111948190558
infy_ns,1,13.130723454864507,1,100.0,99.0,13.130723454864512,0.744345258400874,4.135197822955342
infy_ns,2,2.010856735004665,61,47.540983606557376,1.0924463122191852,0.1877176280408582,0.17254671342276512,41.40921949642627
infy_ns,3,-32.17272581014794,35,54.285714285714285,0.671192750889637,-0.8851249931346857,-0.3960341094853347,49.931531820553005
infy_ns,4,43.22735657925936,67,59.70149253731343,1.4478172708738781,0.6360147815713117,0.5745525571647796,20.19958594846277
infy_ns,5,33.72911596465617,41,58.536585365853654,1.4526600171975848,1.10836578313065,0.43766459583353573,40.001429017411844
reliance_ns,1,112.78549831247129,25,60.0,3.82189972184855,3.348407524357681,1.0509616507194912,25.273695174651788
reliance_ns,2,16.76765707215322,62,53.2258064516129,1.2364836566419497,0.6540124095671941,0.29377651461790627,51.4916994829114
reliance_ns,3,33.22805223919722,48,56.25,1.4374514487534475,0.7255770363351538,0.4880758208194815,24.66331350464409
reliance_ns,4,65.97325790082338,41,56.09756097560976,2.0396044675583536,1.3800311720091571,0.8701150737607934,15.889034618063025
reliance_ns,5,38.012028260124794,19,63.1578947368421,2.323101565084112,1.8901857140472842,0.7843388334217993,13.22763064191393
icicibank_ns,1,98.46219620668481,38,63.1578947368421,1.7206424985436182,2.58709157413827,0.6977923653567635,50.05705045814112
icicibank_ns,2,0.4210421270180959,39,43.58974358974359,1.0831933784395493,0.17541985862984938,0.12081911134757102,34.84126503235802
icicibank_ns,3,42.124706766792315,23,60.86956521739131,2.0286445055617897,1.7455334652806507,0.7251714697862255,24.945520661627157
icicibank_ns,4,-14.592021543572628,26,26.923076923076923,0.7833604245922913,-0.476925573866386,-0.20242331183589227,34.8020517677399
icicibank_ns,5,98.4716887691838,44,65.9090909090909,1.909002977849384,1.927960070135347,0.9187878664401483,46.881428175211056
hdfcbank_ns,1,108.45816590177517,32,65.625,3.9881555676652765,2.4430351670415837,0.9022543453836037,28.04957876730072
hdfcbank_ns,2,55.286093299145755,40,50.0,1.4853869417663366,1.6119784587676802,0.5166311290748599,49.27762346561192
hdfcbank_ns,3,36.77771378777295,21,61.904761904761905,3.019760779114635,1.5871799216069225,0.7955868084016203,17.313034092413247
hdfcbank_ns,4,14.238818933810094,40,47.5,1.3476072107384083,0.3852391867581042,0.3802014014545605,12.422057001418525
hdfcbank_ns,5,-1.0815241631296668,60,43.333333333333336,1.0747888488640687,0.1378961875676373,0.10928401801204203,43.99995971835624
