model,total_folds,fixed_recall_failures,dynamic_recall_failures,f1_win_rate,mean_fixed_f1,mean_dynamic_f1,mean_delta_f1,mean_fixed_recall,mean_dynamic_recall,mean_delta_recall,mean_dynamic_threshold
logistic_regression,25,6,1,1.0,0.471369455098751,0.6553556729226055,0.18398621782385452,0.5165297614712173,0.949888428551692,0.4333586670804746,0.24680000000000007
random_forest,25,5,0,1.0,0.4745491969980107,0.6754277752325923,0.20087857823458155,0.4570919707398459,0.9975230914619728,0.5404311207221268,0.22759999999999997
xgboost,25,5,0,1.0,0.4705712833576508,0.6642935021747826,0.19372221881713167,0.45392089352541726,0.9574648969655617,0.5035440034401446,0.20640000000000003
