fold,cost_bps,mode_a_same_bar_close_return_pct
1,0.0,-12.664292755110537
1,5.0,-16.08919444322691
1,10.0,-19.380593960924628
1,20.0,-25.583377056454587
1,50.0,-41.48643767299415
2,0.0,168.97926045501964
2,5.0,164.1803536259237
2,10.0,159.46589676392767
2,20.0,150.28449577025796
2,50.0,124.6197342095428
3,0.0,60.45386055179327
3,5.0,57.04050097849607
3,10.0,53.69892777946813
3,20.0,47.22520177573472
3,50.0,29.37785472532935
4,0.0,83.34760556907203
4,5.0,78.82017815109388
4,10.0,74.40345654525738
4,20.0,65.89147371099808
4,50.0,42.74656900772019
5,0.0,39.169814266884
5,5.0,35.394323379546925
5,10.0,31.72035047582671
5,20.0,24.666208818329178
5,50.0,5.673119256173158
