sim_seed,mean_cum_return_pct,mean_sharpe,mean_sortino
0,80.88160795856926,0.7860944947199358,1.02829315847625
1,50.045948221291724,0.6569147088666398,0.7606535383510289
2,40.74608722450979,0.5707171486436982,0.6667534006533351
3,46.69585105205412,0.587919190825984,0.7457790542961366
4,24.285144013907107,0.3897533629011064,0.48653974994609933
5,61.63749469951635,0.7388670367391652,0.9288295193186806
6,33.11751931527739,0.2855204119108443,0.38480575497687697
7,53.77315059148257,0.6822107059152266,0.8805617771419177
8,18.267837880928514,0.2942715797774031,0.3741197516157433
9,77.8842965437176,0.8191589954750513,1.1028339816111026
10,61.48381302517307,0.686072364123248,0.8319299202432446
11,40.99733281419325,0.5244472346921768,0.6649705097748676
12,26.981707533682727,0.28936513704207834,0.364410336681975
13,22.90442627188056,0.35080797717606604,0.42274460182947066
14,30.37057459820985,0.4759789321728457,0.5824770402548431
15,29.479695707299033,0.42295407099762905,0.5196662010609209
16,60.25940832181542,0.7321217096186462,0.9047145758166024
17,3.435942000596751,0.11755166550234886,0.1545671119568012
18,41.63267695197398,0.524581981878856,0.6493313817458576
19,31.9541787917123,0.3991795793310355,0.51669405848191
20,83.96831028572076,0.7898103098956609,0.9813593911549556
21,46.06297928200401,0.5433366900013372,0.7136725413730547
22,79.64201846011936,0.6552461305925347,0.9243397601207546
23,35.328366866788635,0.46424748641366975,0.5968245595747431
24,24.8591931726328,0.373387837230626,0.4675902986278347
25,51.823154253346466,0.6116869434635069,0.8249086271362222
26,49.12439638764673,0.6210384188531177,0.7635332881131031
27,26.80473707289081,0.398349365915613,0.4946459786852907
28,42.60808746854337,0.5556146884507618,0.7080095568625405
29,78.7961830771464,0.6269693560836924,0.8378370012874734
30,23.270761629850988,0.35325573913234015,0.43522267089591704
31,46.06789603902896,0.43032094747412347,0.5862540652146064
32,14.025643306582413,0.2621448253221659,0.33262941604453344
33,47.6986484186714,0.47656627852505123,0.6200411965859838
34,65.50094237532952,0.6402708339517316,0.8480788762952411
35,36.15453950294175,0.48080273605848445,0.575254492160208
36,63.04224603167952,0.6580628059488418,0.8060280264521182
37,-2.4981857370883516,0.08860067120527135,0.1140761972907998
38,37.06325335438675,0.44745517543633906,0.5759482089440673
39,56.9952235867348,0.7209202646662862,0.8613672327102624
40,38.657559799571814,0.5159747007924267,0.6504849173856344
41,36.03581615724069,0.528174734352738,0.7097822114483061
42,34.74965370473441,0.40543028881794163,0.5228580773750262
43,47.9760409975955,0.6231533679565214,0.7757543829326607
44,21.033457465920176,0.36684155011640374,0.45359825023788136
45,47.879079642935096,0.5637364947210355,0.7272069364570898
46,70.52608033773647,0.6422510622478138,0.8287280604558303
47,36.145587096983164,0.43459224764758364,0.5633019878437645
48,49.25423135819513,0.5008813143398545,0.6695251171791992
