asset,model,fold,train_samples,validation_samples,base_positive_rate,training_time,prediction_time,brier_A,log_loss_A,ece_A,roc_auc_A,ppr_050_A,brier_B,log_loss_B,ece_B,roc_auc_B,ppr_050_B,rank_corr_B,rank_inversions_B,fallback_B,calibration_time_B,brier_C,log_loss_C,ece_C,roc_auc_C,ppr_050_C,rank_corr_C,rank_inversions_C,fallback_C,calibration_time_C
reliance_ns,logistic_regression,1,887,925,0.4813979706877114,0.04703329992480576,0.001345900003798306,0.38459513286488933,1.433426837258752,0.33119768717465004,0.49344375431331944,0.006486486486486486,0.2525243257063908,0.6982001628423485,0.0713303089616173,0.49344375431331944,0.006486486486486486,1.0,0,False,0.0670547999907285,0.36404232793988534,6.571457023260033,0.2516549141624753,0.48898153662894583,0.04972972972972973,0.8842635245701724,0,False,0.05517509998753667
reliance_ns,random_forest,1,887,925,0.4813979706877114,0.4368298000190407,0.07903809996787459,0.2780397567567568,0.7531793523430075,0.15607027027027032,0.5070880248069051,0.1545945945945946,0.25163325744176385,0.6964159500401542,0.06716689128796101,0.5070880248069051,0.08,0.9999999999999998,0,False,1.5094302999787033,0.25306851011888354,0.6996053375991363,0.07313176753561043,0.5070903882696616,0.24,0.8259067838426325,0,False,1.4850794000085443
reliance_ns,xgboost,1,887,925,0.4813979706877114,0.3463670000201091,0.0048865999560803175,0.3304482400417328,0.9006884098052979,0.25392860911585186,0.4896196715732154,0.16,0.2520221654856841,0.6971946381355935,0.06797339123601598,0.4896196715732154,0.08756756756756756,1.0,0,False,0.9555132000241429,0.25744190489206936,0.7083338661354217,0.09180416834346389,0.49249127882242827,0.29081081081081084,0.9623765887121901,0,False,0.8318964999634773
reliance_ns,logistic_regression,2,1812,936,0.5176600441501104,0.012859000009484589,0.0022087000543251634,0.27663444663733955,0.7742226941599512,0.1268718686657397,0.5112955657827453,0.9423076923076923,0.25108269992425764,0.6953173775700447,0.03304054549603219,0.5112955657827453,1.0,1.0,0,False,0.05983520008157939,0.2540576558993816,0.7013141874282186,0.05458301082433781,0.5052460004383081,0.9978632478632479,0.7264818395540358,0,False,0.06845430005341768
reliance_ns,random_forest,2,1812,936,0.5176600441501104,0.41832569998223335,0.0630919000832364,0.2640747061965812,0.7232588894041051,0.08441773504273503,0.48824558039301635,0.4444444444444444,0.2511210861477883,0.695394416109011,0.031653441562254137,0.48824558039301635,1.0,1.0,0,False,1.5700769999530166,0.25499032666519994,0.738579779266135,0.06963660814145008,0.47156476002629855,0.6709401709401709,0.8188251261874544,0,False,1.5644577000057325
reliance_ns,xgboost,2,1812,936,0.5176600441501104,0.5736704999580979,0.0062408000230789185,0.287994384765625,0.7853233218193054,0.16532346598294553,0.5012738330046022,0.34615384615384615,0.25096416062461213,0.6950792737290417,0.031151399270214153,0.5012738330046022,1.0,1.0,0,False,1.019888799986802,0.2518290418604942,0.6969369026446358,0.03926852693460636,0.5000958799035722,0.7863247863247863,0.9628309390377663,0,False,0.8976393999764696
reliance_ns,logistic_regression,3,2748,937,0.5116448326055313,0.015448899939656258,0.0017043000552803278,0.24966916225793515,0.6924739609697981,0.02954430231466473,0.5333771125764997,0.7790821771611526,0.2516087353042197,0.6963686749649085,0.04336663033364885,0.5333771125764997,1.0,1.0,0,False,0.08185099996626377,0.25117484377003985,0.6954983943577057,0.038668616027973335,0.503233279521347,1.0,0.09784887696537793,0,False,0.07817819993942976
reliance_ns,random_forest,3,2748,937,0.5116448326055313,0.4742006999440491,0.050495099974796176,0.2547858591248666,0.7035991670910811,0.048281750266809004,0.5321321403489571,0.5816435432230523,0.25155745610560915,0.6962658383988803,0.04306756762779029,0.5321321403489571,1.0,1.0,0,False,1.587292000069283,0.2509255214680893,0.6950212654057668,0.04294511719985209,0.5256496201238587,0.8153681963713981,0.6822800274937634,0,False,1.5063752999994904
reliance_ns,xgboost,3,2748,937,0.5116448326055313,0.328787500038743,0.005036999937146902,0.2536216676235199,0.7013461589813232,0.05719829106598041,0.5480978830911795,0.6221985058697972,0.2518497571728136,0.6968524766774878,0.038850116952061864,0.45190211690882065,1.0,-1.0,438516,False,0.9883128000656143,0.25204779792776644,0.6972499811472502,0.04796215262178072,0.5073991481288933,1.0,0.44629118765199055,0,False,0.9910334000596777
reliance_ns,logistic_regression,4,3685,939,0.5047489823609227,0.01570939994417131,0.0018523000180721283,0.24986864704645395,0.6929650146498598,0.02503493561326605,0.5262592319390942,0.6943556975505857,0.24971884375346615,0.6925847949503959,0.028011687543460097,0.4737407680609057,0.9488817891373802,-1.0,440391,False,0.06057049997616559,0.24936380688571413,0.6918744696870227,0.017729044818097006,0.5020080321285141,1.0,0.07985094765897284,0,False,0.056455499958246946
reliance_ns,random_forest,4,3685,939,0.5047489823609227,0.5379594000987709,0.051935399998910725,0.25516922257720975,0.7042549420679172,0.05225772097976571,0.5241851760784635,0.4536741214057508,0.24950751416243797,0.6921620996027698,0.019367786689514555,0.47581482392153646,1.0,-1.0,433005,False,1.5225895999465138,0.24929872183814922,0.6917431766961714,0.017951326843387627,0.5097715123532679,1.0,0.8201396320832868,0,False,1.8985974999377504
reliance_ns,xgboost,4,3685,939,0.5047489823609227,0.41712430003099144,0.006700900034047663,0.2608030140399933,0.7158716917037964,0.09898997346560161,0.5050997641359087,0.4440894568690096,0.24959725363326335,0.6923416957228684,0.02112064887351524,0.49490023586409126,0.9850905218317358,-1.0,440391,False,1.2856980999931693,0.24929111653522087,0.6917207861433124,0.01766196012150363,0.5070781994189912,1.0,0.8387261971173862,0,False,1.3864935000892729
reliance_ns,logistic_regression,5,4624,939,0.5099480968858131,0.021439200034365058,0.002082900027744472,0.24975072003492158,0.6927500772620382,0.01966007667800873,0.5353056554429553,0.7326943556975506,0.24977685446160514,0.6927008009956505,0.0010932896667326109,0.5353056554429553,1.0,1.0,0,False,0.08590689999982715,0.2491707105969926,0.6914862333184475,0.007363815446081223,0.526381624350732,1.0,0.8666442761975386,0,False,0.09130959992762655
reliance_ns,random_forest,5,4624,939,0.5099480968858131,0.7296182999853045,0.09121410001534969,0.25199118743343984,0.6973026406288738,0.04192225772097981,0.5189808761033016,0.6538871139510117,0.2497740003829651,0.6926950883485313,0.00107667778199394,0.5189808761033016,1.0,1.0,0,False,1.908026999910362,0.24920522469072778,0.6915439886770429,0.0017826886160094385,0.5093984962406015,0.9712460063897763,0.5354170956325296,0,False,2.0015550000825897
reliance_ns,xgboost,5,4624,939,0.5099480968858131,0.4087389000924304,0.005207099951803684,0.25835120677948,0.7115968465805054,0.07173222538254383,0.5183611201917839,0.7007454739084132,0.2498421663638597,0.6928315328584735,8.427930110266324e-05,0.4816388798082162,1.0,-1.0,440391,False,1.0832448999863118,0.2494345249715112,0.6920584942312229,0.007494954402346859,0.5258481348298282,0.9989350372736954,0.7147710077814745,0,False,1.1672732000006363
tcs_ns,logistic_regression,1,524,841,0.5,0.015847100061364472,0.0023198999697342515,0.2654874450262082,0.7282473602373125,0.1036770059702129,0.507387991258959,0.8739595719381689,0.2527955163930993,0.6987632605600893,0.05156837684317279,0.49261200874104094,0.9821640903686087,-0.9999999999999999,353220,False,0.06273579993285239,0.2528563538350254,0.737372117919493,0.04812274688466798,0.5043988269794721,0.990487514863258,0.8715713894447116,0,False,0.08231520000845194
tcs_ns,random_forest,1,524,841,0.5,0.5278454000363126,0.09979300003033131,0.25805228894173604,0.7102500651307304,0.06926872770511297,0.5093864287412675,0.5386444708680143,0.25134069419753385,0.69583107078469,0.040103054377652936,0.5093864287412675,1.0,0.9999999999999999,0,False,1.6429033000022173,0.25218686361270415,0.6976036010702492,0.03437315868866671,0.4955870197805682,0.901307966706302,0.7169222959020071,0,False,1.4432574000675231
tcs_ns,xgboost,1,524,841,0.5,0.4086436000652611,0.004315999918617308,0.2800087630748749,0.7650567889213562,0.15637248664137582,0.4967617386972226,0.5005945303210464,0.2514414102782556,0.6960342172147725,0.04078425331284178,0.5032382613027775,0.9940546967895363,-0.9999999999999999,353220,False,0.8816760999616235,0.2517233124850249,0.6966121280915951,0.03653781629512512,0.5030457772393255,0.4233055885850178,0.8594003193087952,0,False,0.9256906999507919
tcs_ns,logistic_regression,2,1365,842,0.4901098901098901,0.02163269999437034,0.0020469999872148037,0.25016811432414243,0.698619904495594,0.04559296800728438,0.5450354770190265,0.25653206650831356,0.2504874127745915,0.6941222411544795,0.032314210232936236,0.5450354770190265,0.0,0.9999999999999999,0,False,0.07798830000683665,0.2505844377168275,0.732715327070169,0.038507831925648994,0.5336382021964116,0.0,0.8677910463939995,0,False,0.07977089995983988
tcs_ns,random_forest,2,1365,842,0.4901098901098901,0.4694522999925539,0.05314809991978109,0.2540958432304038,0.7015078255311579,0.06168646080760093,0.5221533646676007,0.41092636579572445,0.2504884112166926,0.6941241916767211,0.03476231255991769,0.47784663533239935,0.06532066508313539,-1.0,348111,False,1.3873717999085784,0.2502071352574555,0.6935617088625543,0.030425984706130813,0.5195858001536584,0.07838479809976247,0.8674995925851413,0,False,1.4643492999020964
tcs_ns,xgboost,2,1365,842,0.4901098901098901,0.34358710004016757,0.004727400024421513,0.2632443904876709,0.7224563956260681,0.10526625835945091,0.5284720025308446,0.37648456057007124,0.2507640651954326,0.694676152169251,0.03013819840700015,0.47152799746915525,0.4334916864608076,-0.9999999999999999,354061,False,0.9544655999634415,0.2501016724374411,0.6933427986466923,0.02766334235296458,0.5057000497130203,0.0,0.7372833308139485,0,False,1.0744880000129342
tcs_ns,logistic_regression,3,2207,841,0.5006796556411418,0.021027800044976175,0.0017679999582469463,0.25109481581155113,0.6951909921248292,0.039174655537386395,0.512461200353445,0.5005945303210464,0.2499212229892092,0.6929896256235666,0.017544911684124975,0.512461200353445,1.0,0.9999999999999999,0,False,0.09661309991497546,0.2501123712728863,0.6933262579279282,0.024690531763777394,0.5094167025398192,0.7657550535077289,0.8499668586704449,0,False,0.08637989999260753
tcs_ns,random_forest,3,2207,841,0.5006796556411418,0.5379920999985188,0.06755989999510348,0.25480820451843045,0.7030747763752941,0.0530796670630202,0.5084821125133109,0.3971462544589774,0.24984293484480238,0.6928329125219277,0.01750381880745406,0.5084821125133109,0.5945303210463734,1.0,0,False,1.574998200056143,0.2497303800566164,0.6926067169465413,0.016429432731684474,0.5123762376237623,0.6123662306777645,0.9712487557203205,0,False,1.5285596000030637
tcs_ns,xgboost,3,2207,841,0.5006796556411418,0.38851509999949485,0.005976599990390241,0.2588118612766266,0.7126405239105225,0.08406761607573798,0.526955842037293,0.460166468489893,0.2499834220399386,0.6931140254172301,0.017491592079569053,0.4730441579627071,0.9595719381688466,-0.9999999999999999,353220,False,0.9369026001077145,0.24974039276796398,0.6926309480411249,0.030003972522387602,0.5235714933049369,0.7942925089179548,0.7046146684651158,0,False,1.0337615000316873
tcs_ns,logistic_regression,4,3048,843,0.5059055118110236,0.021599400090053678,0.0018358000088483095,0.24971860547526678,0.6925284719674154,0.023686123920039916,0.525986916309497,0.6026097271648873,0.24962109004298857,0.6923892627320097,0.015247239571761781,0.525986916309497,0.9881376037959668,1.0,0,False,0.07673359999898821,0.24865526641403513,0.6904239381086114,0.013974221175273542,0.5200005639521769,0.8457888493475683,0.6281656614387016,0,False,0.08478840009775013
