date,fold,cash,position_value,total_equity,daily_return,cumulative_return,exposure
2005-11-22,1,0.0,100000.0,100000.0,0.0,0.0,100.0
2005-11-23,1,0.0,101120.10780954245,101120.10780954245,0.011201078095424455,0.011201078095424455,100.0
2005-11-24,1,0.0,101626.82014670478,101626.82014670478,0.005010994827227765,0.016268201467047765,100.0
2005-11-25,1,0.0,102256.20832283092,102256.20832283092,0.00619313066390921,0.0225620832283092,100.0
2005-11-28,1,0.0,103186.96740328871,103186.96740328871,0.009102225632299139,0.031869674032887124,100.0
2005-11-29,1,0.0,103033.61650049854,103033.61650049854,-0.0014861460381021632,0.03033616500498538,100.0
2005-11-30,1,0.0,101416.13153506436,101416.13153506436,-0.015698613912347288,0.014161315350643564,100.0
2005-12-01,1,0.0,103349.64534856891,103349.64534856891,0.019065150526236047,0.03349645348568912,100.0
2005-12-02,1,0.0,103342.97968731294,103342.97968731294,-6.449621799371618e-05,0.03342979687312938,100.0
2005-12-05,1,0.0,102100.19603880668,102100.19603880668,-0.01202581590221779,0.0210019603880668,100.0
2005-12-06,1,0.0,103506.06157654851,103506.06157654851,0.013769469523912425,0.03506061576548513,100.0
2005-12-07,1,0.0,106274.21986736554,106274.21986736554,0.026743924449002594,0.06274219867365537,100.0
2005-12-08,1,0.0,107672.95042921079,107672.95042921079,0.013161522743624214,0.07672950429210788,100.0
2005-12-09,1,0.0,112078.27848188629,112078.27848188629,0.040913971755345974,0.12078278481886286,100.0
2005-12-12,1,0.0,109913.57642188767,109913.57642188767,-0.019314197981265973,0.09913576421887672,100.0
2005-12-13,1,0.0,111072.52622783066,111072.52622783066,0.010544191570061603,0.11072526227830662,100.0
2005-12-14,1,0.0,112158.2108209482,112158.2108209482,0.009774555688871166,0.12158210820948195,100.0
2005-12-15,1,0.0,112084.94560812275,112084.94560812275,-0.0006532309341346702,0.12084945608122755,100.0
2005-12-16,1,0.0,114189.70044648535,114189.70044648535,0.01877821171204697,0.14189700446485354,100.0
2005-12-19,1,0.0,115532.48406243649,115532.48406243649,0.011759235821626721,0.15532484062436488,100.0
2005-12-20,1,0.0,112684.83125135458,112684.83125135458,-0.02464807049022651,0.12684831251354584,100.0
2005-12-21,1,0.0,112192.4365053525,112192.4365053525,-0.004369663072962779,0.12192436505352496,100.0
2005-12-22,1,0.0,112099.27942543138,112099.27942543138,-0.0008303329780762379,0.12099279425431378,100.0
2005-12-23,1,0.0,111238.26075772208,111238.26075772208,-0.007680858183232584,0.11238260757722077,100.0
2005-12-26,1,0.0,110648.72077884384,110648.72077884384,-0.005299795006344635,0.10648720778843838,100.0
2005-12-27,1,0.0,112994.90811298059,112994.90811298059,0.021203926422485492,0.12994908112980585,100.0
2005-12-28,1,0.0,112163.16297531189,112163.16297531189,-0.007360908129037596,0.1216316297531189,100.0
2005-12-29,1,0.0,113786.7311085434,113786.7311085434,0.014475056606498126,0.13786731108543404,100.0
2005-12-30,1,0.0,113307.64103573957,113307.64103573957,-0.004210421269126944,0.13307641035739565,100.0
2006-01-02,1,0.0,112292.24592187275,112292.24592187275,-0.008961400172002022,0.12292245921872745,100.0
2006-01-03,1,0.0,115211.12410902632,115211.12410902632,0.025993586317477196,0.15211124109026322,100.0
2006-01-04,1,0.0,115869.20913878862,115869.20913878862,0.00571199209148883,0.15869209138788617,100.0
2006-01-05,1,0.0,115155.28900107705,115155.28900107705,-0.006161431004991423,0.1515528900107705,100.0
2006-01-06,1,0.0,113376.46896119554,113376.46896119554,-0.015447141467074712,0.1337646896119554,100.0
2006-01-09,1,0.0,112270.35607933161,112270.35607933161,-0.009756106289061681,0.12270356079331614,100.0
2006-01-10,1,0.0,111176.21192065111,111176.21192065111,-0.009745619386005738,0.11176211920651112,100.0
2006-01-12,1,0.0,111255.97636057864,111255.97636057864,0.0007174595945440207,0.11255976360578643,100.0
2006-01-13,1,0.0,109797.56106891471,109797.56106891471,-0.013108646738555694,0.09797561068914715,100.0
2006-01-16,1,0.0,106939.21899860799,106939.21899860799,-0.02603283754647955,0.0693921899860799,100.0
2006-01-17,1,0.0,107912.38573766696,107912.38573766696,0.009100185583659812,0.07912385737666962,100.0
2006-01-18,1,0.0,107549.47428409474,107549.47428409474,-0.0033630194633491785,0.07549474284094744,100.0
2006-01-19,1,0.0,109594.79264892747,109594.79264892747,0.0190174650173553,0.09594792648927469,100.0
2006-01-20,1,0.0,109172.44765629471,109172.44765629471,-0.0038536958045596757,0.09172447656294709,100.0
2006-01-23,1,0.0,107722.12981850072,107722.12981850072,-0.013284650742282484,0.07722129818500718,100.0
2006-01-24,1,0.0,109079.47679737635,109079.47679737635,0.012600446919891074,0.09079476797376351,100.0
2006-01-25,1,0.0,109650.5719217688,109650.5719217688,0.005235587308997676,0.09650571921768802,100.0
2006-01-27,1,0.0,110179.17395675066,110179.17395675066,0.004820786847869733,0.10179173956750659,100.0
2006-01-30,1,0.0,110161.90759268263,110161.90759268263,-0.00015671168559317208,0.10161907592682634,100.0
2006-01-31,1,0.0,110925.58347349006,110925.58347349006,0.006932304437129673,0.10925583473490057,100.0
2006-02-01,1,0.0,110677.22344423375,110677.22344423375,-0.0022389787953259782,0.10677223444233751,100.0
2006-02-02,1,0.0,108585.62906742979,108585.62906742979,-0.018898146445260586,0.08585629067429792,100.0
2006-02-03,1,0.0,108187.5879170333,108187.5879170333,-0.0036656890402072396,0.08187587917033307,100.0
