mode,entry_timing,cost_bps,total_evaluated_folds,mean_cum_return_pct,median_cum_return_pct,std_cum_return_pct,min_cum_return_pct,max_cum_return_pct,profitable_folds_count,mean_return_ex_fold2_pct,mean_return_ex_best_pct,mean_wealth_multiple,mean_max_drawdown_pct,total_trades_count
MODE_A,NEXT_BAR_OPEN,10.0,5,65.19654895635571,60.522582545377254,83.142311355137,-44.67026556254312,210.58131228431617,4,28.850358124365584,28.850358124365584,1.651965489563557,29.21581921708681,247
MODE_A,SAME_BAR_CLOSE,0.0,5,67.85724961753169,60.45386055179327,59.711154914384224,-12.664292755110537,168.97926045501964,4,42.57674690815969,42.57674690815969,1.6785724961753168,27.633656158230743,264
MODE_A,SAME_BAR_CLOSE,5.0,5,63.86923233836673,57.04050097849607,59.22272175482632,-16.08919444322691,164.1803536259237,4,38.79145201647749,38.79145201647749,1.6386923233836672,27.912788455698102,264
MODE_A,SAME_BAR_CLOSE,10.0,5,59.98160752071105,53.69892777946813,58.722471463681735,-19.380593960924628,159.46589676392767,4,35.1105352099069,35.1105352099069,1.5998160752071104,28.18945957727086,264
MODE_A,SAME_BAR_CLOSE,20.0,5,52.49680060377307,47.22520177573472,57.690027440463744,-25.583377056454587,150.28449577025796,4,28.04987681215185,28.04987681215185,1.5249680060377306,28.7798353303179,264
MODE_A,SAME_BAR_CLOSE,50.0,5,32.186167905154264,29.37785472532935,54.394792830651554,-41.48643767299415,124.6197342095428,4,9.077776329057137,9.077776329057137,1.3218616790515427,30.684776600947906,264
MODE_B,NEXT_BAR_OPEN,10.0,5,26.5219616144036,34.85666585562256,33.19908034220424,-37.43627916661706,55.79503442283307,4,19.20369341229624,19.20369341229624,1.2652196161440359,24.123117168404207,1486
MODE_B,SAME_BAR_CLOSE,0.0,5,34.12507841607588,37.959613923898694,26.062022571468322,-15.144374850343183,59.791263845127915,4,27.70853205881287,27.70853205881287,1.3412507841607586,21.31732066286404,1550
MODE_B,SAME_BAR_CLOSE,5.0,5,32.28200538032506,35.75130014837315,26.563798574948866,-17.82877202897938,58.94711198068521,4,25.61572873023503,25.61572873023503,1.3228200538032506,21.63805039151604,1550
MODE_B,SAME_BAR_CLOSE,10.0,5,30.576841343862714,33.86529583279742,26.84702964281002,-19.905283340423324,58.10746275409628,4,23.694185991304327,23.694185991304327,1.3057684134386272,21.955026967188292,1550
MODE_B,SAME_BAR_CLOSE,20.0,5,27.031624652058262,30.820089338668737,27.756256776292584,-24.8955123082105,56.441575534807484,4,19.67913693137096,19.67913693137096,1.2703162465205828,22.557406511409233,1550
MODE_B,SAME_BAR_CLOSE,50.0,5,17.367193824778198,22.26707964112854,29.84867718820635,-37.51624071950195,51.54948689647855,4,8.821620556853109,8.821620556853109,1.173671938247782,24.231886192660845,1551
