model,total_folds,brier_A,brier_B,brier_C,log_loss_A,log_loss_B,log_loss_C,ppr_A,ppr_B,ppr_C,auc_A,auc_B,auc_C
logistic_regression,25,0.2665429805968044,0.2507215196756649,0.264005890626379,0.7831060542764899,0.6946113001441445,1.36607227127126,0.5046225109216533,0.6261750894238582,0.6870893173695123,0.516225292967401,0.5103359969447393,0.5096625652927115
random_forest,25,0.2565723932697626,0.2501288090164802,0.2507010725826532,0.7071768190616367,0.6934052795731606,0.7135790350706732,0.4427625737731659,0.6256805721874327,0.5417929084146015,0.5204019677857976,0.5164778629504572,0.5156953421907503
xgboost,25,0.2683118212223053,0.2502312988032239,0.2509086693592187,0.7370456624031066,0.6936107516794863,0.7133230286088095,0.4410865712676811,0.6530283958991505,0.5706419940102313,0.5181073491886334,0.5044961364459405,0.5139687350021845
