trade_id,fold,signal_date,entry_date,entry_price,exit_date,exit_price,predicted_probability,target,holding_period,gross_return_pct,transaction_cost_pct,net_return_pct,capital_before,capital_after,cumulative_return_pct,win_loss,regime
1,1,2005-11-22,2005-11-22,187.4824981689453,2005-12-06,194.25,0.775,1,10,3.6096712477963235,0.1,3.506061576548527,100000.0,103506.06157654853,3.5060615765485275,1,BULLISH
2,1,2005-12-06,2005-12-06,194.25,2005-12-20,211.6875,0.7,1,10,8.976833976833976,0.1,8.867857142857142,103506.06157654853,112684.8312513546,12.684831251354597,1,HIGH_VOLATILITY
3,1,2005-12-20,2005-12-20,211.6875,2006-01-03,216.64999389648438,0.75,1,10,2.3442545717080012,0.1,2.2419103171362926,112684.8312513546,115211.12410902634,15.211124109026336,1,HIGH_VOLATILITY
4,1,2006-01-03,2006-01-03,216.64999389648438,2006-01-18,202.44500732421875,0.68,0,10,-6.5566521913002145,0.1,-6.650095539108915,115211.12410902634,107549.47428409474,7.549474284094744,0,BULLISH
5,1,2006-01-18,2006-01-18,202.44500732421875,2006-02-02,204.60000610351562,0.81,1,10,1.0644860092032855,0.1,0.9634215231940824,107549.47428409474,108585.62906742979,8.585629067429792,1,BEARISH_SIDEWAYS
6,1,2006-02-02,2006-02-02,204.60000610351562,2006-02-17,203.125,0.785,0,10,-0.7209218277194763,0.1,-0.8202009058917569,108585.62906742979,107695.00875415048,7.695008754150476,0,BEARISH_SIDEWAYS
7,1,2006-02-17,2006-02-17,203.125,2006-03-03,213.22000122070312,0.69,1,10,4.969846754807692,0.1,4.864876908052885,107695.00875415048,112934.23836615667,12.934238366156672,1,BULLISH
8,1,2006-03-03,2006-03-03,213.22000122070312,2006-03-20,238.5,0.66,1,10,11.856298018275337,0.1,11.744441720257061,112934.23836615667,126197.73417328612,26.197734173286126,1,BULLISH
9,1,2006-03-20,2006-03-20,238.5,2006-04-03,243.84500122070312,0.715,1,10,2.2410906585757338,0.1,2.138849567917158,126197.73417328612,128896.9138653727,28.896913865372696,1,HIGH_VOLATILITY
10,1,2006-04-03,2006-04-03,243.84500122070312,2006-04-20,248.7375030517578,0.82,1,10,2.006398247477915,0.1,1.904391849230437,128896.9138653727,131351.61618693444,31.351616186934432,1,HIGH_VOLATILITY
11,1,2006-04-20,2006-04-20,248.7375030517578,2006-05-05,250.83250427246094,0.735,1,10,0.8422538599927945,0.1,0.7414116061328017,131351.61618693444,132325.47231418738,32.32547231418738,1,HIGH_VOLATILITY
12,1,2006-05-05,2006-05-05,250.83250427246094,2006-05-19,236.5449981689453,0.75,0,10,-5.696034549013694,0.1,-5.79033851446468,132325.47231418738,124663.3795263317,24.6633795263317,0,HIGH_VOLATILITY
13,1,2006-05-19,2006-05-19,236.5449981689453,2006-06-02,224.25,0.79,0,10,-5.197741767578603,0.1,-5.292544025811025,124663.3795263317,118065.51528083671,18.065515280836713,0,HIGH_VOLATILITY
14,1,2006-06-02,2006-06-02,224.25,2006-06-16,210.625,0.66,0,10,-6.075808249721293,0.1,-6.169732441471571,118065.51528083671,110781.18888236435,10.781188882364354,0,HIGH_VOLATILITY
15,1,2006-06-19,2006-06-19,208.5449981689453,2006-07-03,225.02499389648438,0.73,1,10,7.902369211554228,0.1,7.794466842342675,110781.18888236435,119415.99191735325,19.415991917353253,1,HIGH_VOLATILITY
16,1,2006-07-03,2006-07-03,225.02499389648438,2006-07-17,232.375,0.59,1,10,3.2663065449950692,0.1,3.1630402384500744,119415.99191735325,123193.16779284342,23.193167792843422,1,HIGH_VOLATILITY
17,1,2006-07-17,2006-07-17,232.375,2006-07-31,234.03750610351562,0.7,1,10,0.7154410343262507,0.1,0.6147255932919244,123193.16779284342,123950.46772445309,23.95046772445309,1,HIGH_VOLATILITY
