treatment,objective_name,total_folds,mean_threshold,std_threshold,mean_ppr,degenerate_ppr_folds,mean_precision,mean_recall,recall_failures_below_25,mean_f1,mean_mcc,mean_youden_j
A,Fixed 0.50,75,0.5,0.0,0.4628238853208334,11,0.5260851748993919,0.4758475419121603,12,0.4721633118181376,0.028539984865034194,0.026672082687200803
B,Unconstrained F1 (Control),75,0.22693333333333332,0.03657548039008873,0.96810308601856,71,0.5106282350051242,0.9682921389930754,1,0.6650256501099934,0.00901494928156038,0.0002975889242903999
C,Precision-Constrained F1,75,0.4377333333333334,0.08687632298558391,0.6079322082552293,32,0.5162079305197673,0.6163851895300777,11,0.5207734942308793,0.023199244596441373,0.017335111478181762
D,MCC Optimization,75,0.4572,0.17342776360545387,0.5842112525502183,53,0.5032038981612249,0.5879640457869568,21,0.45912555641019137,0.01593485630497007,0.007656770444276186
E,Youden's J Optimization,75,0.47920000000000007,0.10534063151817843,0.5289362092269283,40,0.5114293666811641,0.5371318919252722,20,0.46084752613688096,0.022953408021351176,0.016848862754308847
