config_id,asset,target_name,model,fold,feature_count,train_samples,validation_samples,base_positive_rate,roc_auc,pr_auc,mcc,f1,precision,recall,accuracy,ppr,mean_prob,median_prob,std_prob,q10_prob,q25_prob,q50_prob,q75_prob,q90_prob,buy_signals_count,sell_signals_count,mean_realized_ret_buy,mean_realized_ret_sell,return_spread,spread_minus_5bps,spread_minus_10bps,spread_minus_20bps,spread_minus_50bps,total_strat_return,buy_hold_return,win_rate,profit_factor,max_drawdown,sharpe_ratio,total_trades,filtered_trades_count,filtered_ppr,filtered_precision,filtered_return_spread,filtered_cum_return,training_time,prediction_time
C0,reliance_ns,TARGET_D,random_forest,1,16,883,926,0.5096262740656852,0.538606705480827,0.6399973842493664,0.039241941669519324,0.5180598555211559,0.6553524804177546,0.4283276450511945,0.4956803455723542,0.4136069114470842,0.47210583153347735,0.475,0.12450005260136511,0.305,0.395,0.475,0.55,0.625,383,543,0.023352986362322622,0.028341240833793083,-0.004988254471470461,-0.005488254471470461,-0.005988254471470461,-0.006988254471470461,-0.009988254471470462,1029.2449865904946,231674167.09477738,0.6501305483028721,2.270952297674642,0.8192244720762298,2.854857641279151,383,234,0.2526997840172786,0.6324786324786325,-0.005020195730569176,84.82501265420684,0.4778789000120014,0.06835810001939535
C0,reliance_ns,TARGET_D,xgboost,1,16,883,926,0.5096262740656852,0.5198002409154788,0.6404390482358588,0.014559197936472692,0.37681159420289856,0.6446280991735537,0.26621160409556316,0.4427645788336933,0.2613390928725702,0.36985185742378235,0.3267708420753479,0.20957878232002258,0.12883485853672028,0.1994042545557022,0.3267708271741867,0.5070319026708603,0.6928546130657196,242,684,0.029425078887687063,0.02516464686944289,0.0042604320182441716,0.0037604320182441715,0.0032604320182441715,0.0022604320182441715,-0.0007395679817558285,246.40854582528962,231674167.09477738,0.6363636363636364,2.7175588537448783,0.8121297953913723,2.537269354494723,242,191,0.20626349892008639,0.643979057591623,0.003242706038293349,58.284244354450486,0.41067669994663447,0.00522430008277297
C0,reliance_ns,TARGET_D,logistic_regression,1,16,883,926,0.5096262740656852,0.43832061834972896,0.5937476256836511,-0.08163362630747974,0.08978328173374613,0.48333333333333334,0.04948805460750853,0.3650107991360691,0.06479481641468683,0.2261583392579314,0.22896273643066972,0.2057706521123835,0.00045811306124849945,0.02367542964886095,0.22896273643066972,0.3541830302926112,0.4509817415093297,60,866,-0.0034764631750803013,0.028339578914577394,-0.031816042089657694,-0.032316042089657694,-0.032816042089657695,-0.033816042089657695,-0.03681604208965769,-0.6447704665949656,231674167.09477738,0.48333333333333334,0.84864904715612,0.8722496738753875,-0.16185454419965303,60,40,0.04319654427645788,0.475,-0.04296178032537735,-0.7400660809980395,0.01716709998436272,0.00247150007635355
C0,reliance_ns,TARGET_D,random_forest,2,16,1809,937,0.5726920950801547,0.5474897025171626,0.6216308860448239,0.07245472116826408,0.556237218813906,0.5690376569037657,0.544,0.5368196371398078,0.5101387406616862,0.48849519743863395,0.505,0.18364368610287682,0.245,0.32,0.505,0.64,0.735,478,459,0.009530329067835512,0.000611997949745505,0.008918331118090006,0.008418331118090006,0.007918331118090007,0.006918331118090006,0.003918331118090006,22.39358794988757,4.077570544871448,0.5690376569037657,1.4270520689191388,0.8871248209175208,1.5465887758201924,478,398,0.4247598719316969,0.5728643216080402,0.0046206715674373955,6.773548690007815,0.47531180002260953,0.07517150009516627
C0,reliance_ns,TARGET_D,xgboost,2,16,1809,937,0.5726920950801547,0.5240228832951945,0.5683894228132863,0.03282970382116118,0.5251046025104602,0.5504385964912281,0.502,0.5154749199573105,0.48665955176093917,0.4852028489112854,0.48743849992752075,0.24707838892936707,0.1712324023246765,0.2520208954811096,0.48743849992752075,0.704805850982666,0.8249468564987182,456,481,0.00623371191694547,0.004145180289462426,0.002088531627483044,0.001588531627483044,0.001088531627483044,8.853162748304402e-05,-0.002911468372516956,3.7276739188283026,4.077570544871448,0.5504385964912281,1.250968187322953,0.9319743389858364,0.9530412622186683,456,416,0.4439701173959445,0.5528846153846154,0.00030166329012439735,1.9911721554944313,0.42178710002917796,0.005550600006245077
C0,reliance_ns,TARGET_D,logistic_regression,2,16,1809,937,0.5726920950801547,0.4864851258581236,0.5147845580221637,0.002185622746383895,0.6735598227474151,0.5339578454332553,0.912,0.528281750266809,0.9114194236926361,0.6983934089314646,0.6951755514015178,0.14758257703644023,0.5118136711569594,0.5960720586661604,0.6951755514015178,0.8023452594903986,0.9015715127946656,854,83,0.004267224111595686,0.014363794723564405,-0.01009657061196872,-0.01059657061196872,-0.011096570611968719,-0.01209657061196872,-0.015096570611968719,-0.04000886119924063,4.077570544871448,0.531615925058548,1.1149437457646028,0.9999097682070377,0.6142525493188156,854,800,0.8537886872998933,0.53875,0.0024131679760442536,1.6388148632579846,0.01968919998034835,0.0017701000906527042
C0,reliance_ns,TARGET_D,random_forest,3,16,2746,938,0.5593590677348871,0.5445758228349504,0.5335200088378277,0.06132454123075309,0.6071118820468343,0.4985754985754986,0.7760532150776053,0.5170575692963753,0.7484008528784648,0.588901918976546,0.59,0.12219548538620219,0.4285,0.495,0.59,0.685,0.745,702,236,0.0005885827097782571,-0.0012886480717200005,0.0018772307814982577,0.0013772307814982577,0.0008772307814982577,-0.0001227692185017423,-0.0031227692185017424,-0.7029181817452554,-0.6551898879648992,0.48717948717948717,0.9803553215435439,0.9772347689297425,-0.11006084198748613,702,582,0.6204690831556503,0.506872852233677,0.0032259662216893173,-0.4512370067508099,0.7226605000905693,0.07131989998742938
C0,reliance_ns,TARGET_D,xgboost,3,16,2746,938,0.5593590677348871,0.5901100452109618,0.5898528416840094,0.09487117705971387,0.6151142355008787,0.5094614264919942,0.7760532150776053,0.5330490405117271,0.732409381663113,0.5963792204856873,0.6200830936431885,0.14279904961585999,0.38905503749847414,0.49432186782360077,0.6200831234455109,0.7159391641616821,0.7675461590290069,687,251,0.0012686248020551479,-0.0030377733931213945,0.004306398195176543,0.003806398195176543,0.003306398195176543,0.0023063981951765428,-0.0006936018048234573,-0.5262789163346339,-0.6551898879648992,0.4992721979621543,1.0128003093333613,0.9705921287672671,0.07004551661519981,687,596,0.6353944562899787,0.5302013422818792,0.008291698785427763,0.5771335434882834,0.3765300000086427,0.005095399916172028
C0,reliance_ns,TARGET_D,logistic_regression,3,16,2746,938,0.5593590677348871,0.522899147229292,0.48962163605778475,-0.001775402499720153,0.6488824801730353,0.4807692307692308,0.9977827050997783,0.48081023454157784,0.997867803837953,0.5641592870210045,0.5643415298784237,0.022081015823860965,0.539784193568215,0.5518162048042107,0.5643415298784237,0.5757565308280271,0.5867702531902689,936,2,0.00012352263249210151,-0.003276533337095269,0.003400055969587371,0.002900055969587371,0.002400055969587371,0.0014000559695873708,-0.0015999440304126293,-0.8642017838042733,-0.6551898879648992,0.4722222222222222,0.9570993363577777,0.987498322939288,-0.27693383865054577,936,730,0.7782515991471215,0.4986301369863014,0.009967116123141634,0.06155062711053283,0.025120100006461143,0.0017466000281274319
C0,reliance_ns,TARGET_D,random_forest,4,16,3684,940,0.5393593919652552,0.5091153262730144,0.590646009501159,0.09231985231850764,0.49150622876557193,0.638235294117647,0.3996316758747698,0.5223404255319148,0.3617021276595745,0.4637074468085106,0.45,0.11859821564026873,0.32,0.38,0.45,0.535,0.625,340,600,0.015732833940032203,0.008211799229584956,0.007521034710447247,0.007021034710447247,0.006521034710447247,0.005521034710447247,0.002521034710447247,89.12979422159235,8662.12780022233,0.6264705882352941,2.1363049472771856,0.5675066279174766,2.545883836062923,340,213,0.22659574468085106,0.6525821596244131,0.009512850925077594,27.246565638185825,0.7519979999633506,0.09847490000538528
