strategy,cum_return_pct,total_trades,win_rate_pct,profit_factor,expectancy_pct,daily_sharpe,max_drawdown_pct
Candidate 1: Baseline C59 (Fixed 100% Size),67.33858346210907,55.2,59.086187691450846,1.9016613856050628,1.1631526190512553,0.744826021852151,31.19907300145161
Candidate 2: Confidence-Scaled Sizing (Platt Calibrated),17.404348913611123,81.4,52.65461943275534,1.3904314258168209,0.5695599307085345,0.4581045539409641,24.446682087746783
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),16.8421500550402,74.8,55.814849775069334,1.5703846328506104,0.8025772427588633,0.7128682068354598,11.940925193067239
Candidate 4: Causal Regime-Aware Adaptive Sizing,31.886068479757693,81.4,52.65461943275534,1.3904314258168209,0.5695599307085345,0.45169483942663724,28.06770607608926
