fold,mode_a_same_bar_close_return_pct,mode_a_next_bar_open_return_pct,mode_b_same_bar_close_return_pct,random_signal_return_pct,true_buy_hold_return_pct,true_buy_hold_wealth_multiple,artificial_compounded_buy_hold_wealth,mode_a_trades_count,mode_b_trades_count
1,-19.380593960924628,-44.67026556254312,-19.905283340423324,-6.364197619005674,-20.192550525346075,0.7980744947465392,0.1790759998780344,80,642
2,159.46589676392767,210.58131228431617,58.10746275409628,398.4835011362271,316.86982030646385,4.168698203064638,1134748.0100849564,36,104
3,53.69892777946813,70.48991148127843,33.86529583279742,14.434957010760554,67.20877458396369,1.6720877458396368,356.4930388076766,43,226
4,74.40345654525738,60.522582545377254,47.23856700166379,43.20083532160116,100.29860344791426,2.0029860344791426,614.3011982094608,50,256
5,31.72035047582671,29.059204033349772,33.57816447117942,85.68663922114908,47.69419242461094,1.4769419242461095,52.56329329406319,55,322
