config,model,fold,roc_auc,mcc,precision,unrestricted_return_pct,unrestricted_trades,unrestricted_win_rate_pct,unrestricted_expectancy_pct,unrestricted_sharpe,unrestricted_max_dd_pct,regime_filtered_return_pct,regime_filtered_trades,regime_filtered_win_rate_pct,regime_filtered_expectancy_pct,regime_filtered_sharpe,regime_filtered_max_dd_pct
C57,random_forest,1,0.5499379652605458,0.014807923187752975,0.5306122448979592,-19.382207946689537,80,53.75,-0.1056010544532028,0.04916609640267436,65.02328923816685,11.438231417244445,32,59.375,0.5206688725028108,0.2633722706592451,40.14612770776786
C57,random_forest,2,0.5564188072705423,0.13716989696833226,0.8173076923076923,159.463559244148,36,75.0,2.828973127688897,1.391084320668768,16.399260232612033,113.13712993943557,24,75.0,3.2964344625351827,1.281302592283094,16.05161891480251
C57,random_forest,3,0.5864892615726877,0.12175732361354305,0.6553191489361702,53.69727387118276,43,55.81395348837209,1.0820103909100616,0.9229150098817164,15.606491315804643,20.941329811466698,15,40.0,1.384061606717183,0.6738875397393459,10.61198124992591
C57,random_forest,4,0.5726815968173401,0.10895750026094456,0.6259541984732825,74.40127433375062,50,56.00000000000001,1.2200357177888281,1.0387105352782473,20.80302283319097,3.585424015415032,23,52.17391304347826,0.20770191736002225,0.15122622009307266,23.204666868736222
C57,random_forest,5,0.5971853214342485,0.17108340713490927,0.6253776435045317,31.718537520743357,55,58.18181818181818,0.5984210956395889,0.4842630607370788,23.074111759775867,4.83110442486401,28,57.14285714285714,0.2495952876662718,0.17269075797867467,28.020318058195475
C57,xgboost,1,0.5280735393638619,-0.0015937309368908685,0.5250783699059561,-25.803625412044962,75,53.333333333333336,-0.10680956721628158,-0.016159973112540284,67.43559829189725,-1.5146828378163626,29,65.51724137931035,0.1528158543488182,0.07028165384485371,39.63397458263492
C57,xgboost,2,0.5459035601622353,0.039464660867349365,0.7153284671532847,157.84080290065637,45,60.0,2.3037708120133833,1.332097921964062,24.310705985931943,137.41378302024313,31,64.51612903225806,2.968223321207178,1.3903468484873769,16.05161891480251
C57,xgboost,3,0.5641710162288582,0.1390840109584543,0.6411290322580645,44.89409805939073,43,53.48837209302325,0.9321539110766311,0.7927194506140359,13.14424886989238,21.306241580905407,16,43.75,1.3275144771309988,0.660560984441542,10.611981249925911
C57,xgboost,4,0.5966687244209709,0.09511397672451243,0.6296296296296297,64.03294327103355,49,61.224489795918366,1.1065666385808268,0.9220151623055863,23.701664521597586,0.6665788053732685,22,59.09090909090909,0.09302390809518728,0.07353554713602203,24.39336462498948
C57,xgboost,5,0.5946760678520335,0.17838049594395908,0.6838709677419355,64.82502303380858,49,67.3469387755102,1.151677117559344,0.7876977054447523,23.074111759775885,0.7979125903336826,18,55.55555555555556,0.18982364133185312,0.07988765600100499,31.09279710756865
C57,logistic_regression,1,0.5804195804195804,0.10163738882317867,0.5863453815261044,-0.09673410458215222,38,57.89473684210527,0.4023984748005635,0.1632517163684093,46.810087272599496,39.58232541752135,13,76.92307692307693,2.7213957950373437,0.8627245220417845,12.487610841849882
C57,logistic_regression,2,0.5969656001201742,0.1256887315721359,0.78125,98.25038011124818,17,70.58823529411765,4.32901264945878,1.157948823618072,12.789219298173993,123.88261997627517,14,85.71428571428571,6.10238194015948,1.399044912320453,10.81209466152402
C57,logistic_regression,3,0.4713784546932489,-0.07990178541206275,0.49767441860465117,12.588872853262,56,51.78571428571429,0.28964657322978077,0.27911163709635006,24.269760654633632,-11.470672347214903,26,42.30769230769231,-0.369870957605885,-0.17380127156287328,26.75234315523732
C57,logistic_regression,4,0.48227473306353885,-0.06546610919514662,0.5621890547263682,-11.034441592484669,48,47.91666666666667,-0.1344163456199033,-0.12016388620477643,31.772632849220756,-35.663829917760225,28,35.714285714285715,-1.4955821516664758,-0.9661186841290501,39.883775089973
C57,logistic_regression,5,0.5886073074914278,0.10041180762855029,0.6579925650557621,108.3969578304324,62,59.67741935483871,1.328439982666296,1.0563566273532408,23.074111759775892,63.05375474552062,31,61.29032258064516,1.7425274874900625,1.051973683896777,24.57247014402102
C58_TREND,random_forest,1,0.5254737198285585,-0.0462150793857651,0.5110803324099723,-28.843631349145888,81,45.67901234567901,-0.15117366064453563,-0.0384987300737524,68.93792392454307,-1.3760912562913437,33,54.54545454545454,0.17397043325616093,0.08011211488372962,46.423710349093525
