asset,config,model,fold,feature,importance
reliance_ns,ALL_32,xgboost,1,Low,0.03282490745186806
reliance_ns,ALL_32,xgboost,1,EMA_50,0.03279716148972511
reliance_ns,ALL_32,xgboost,1,VOLUME_RATIO,0.03264186903834343
reliance_ns,ALL_32,xgboost,1,Open,0.03257860615849495
reliance_ns,ALL_32,xgboost,1,OBV,0.03236539289355278
reliance_ns,ALL_32,xgboost,1,OPEN_CLOSE_PCT,0.03194829076528549
reliance_ns,ALL_32,xgboost,1,VOLUME_SMA_20,0.031559787690639496
reliance_ns,ALL_32,xgboost,1,SMA_20,0.0315268337726593
reliance_ns,ALL_32,xgboost,1,SMA_50,0.031401146203279495
reliance_ns,ALL_32,xgboost,1,Close,0.03093140386044979
reliance_ns,ALL_32,xgboost,1,High,0.030881289392709732
reliance_ns,ALL_32,xgboost,1,Volume,0.030704215168952942
reliance_ns,ALL_32,xgboost,1,UPPER_WICK,0.030007658526301384
reliance_ns,ALL_32,xgboost,1,MOMENTUM_20,0.029951270669698715
reliance_ns,ALL_32,xgboost,1,EMA_20,0.029323894530534744
reliance_ns,ALL_32,xgboost,1,RSI_14,0.028773650527000427
reliance_ns,ALL_32,xgboost,1,BODY_SIZE,0.028491247445344925
reliance_ns,ALL_32,xgboost,1,VOLUME_CHANGE_PCT,0.02828981913626194
reliance_ns,ALL_32,xgboost,1,DAILY_RETURN,0.028251001611351967
reliance_ns,ALL_32,xgboost,1,HIST_VOL_20,0.027882801368832588
reliance_ns,ALL_32,xgboost,1,MOMENTUM_10,0.027788195759058
reliance_ns,ALL_32,xgboost,1,ATR_14,0.027703717350959778
reliance_ns,ALL_32,xgboost,1,HIGH_LOW_PCT,0.027413945645093918
reliance_ns,ALL_32,xgboost,1,PRICE_CHANGE_PCT,0.026783471927046776
reliance_ns,ALL_32,logistic_regression,2,EMA_50,0.4239106371229145
reliance_ns,ALL_32,logistic_regression,2,SMA_20,0.32614398273221257
reliance_ns,ALL_32,logistic_regression,2,EMA_20,0.306812536871408
reliance_ns,ALL_32,logistic_regression,2,OBV,0.246221842886154
reliance_ns,ALL_32,logistic_regression,2,ROC_12,0.18979739212675767
