fold,date,equity_interp_a,equity_interp_b1,equity_interp_b2,equity_buy_hold
1,2005-11-22,1.0350967124779633,1.0350967124779633,1.0035096712477962,1.0360967124779632
1,2005-11-23,1.0879096463358955,1.0350967124779633,1.008629800531806,1.0899967652699893
1,2005-11-24,1.152699023264067,1.0350967124779633,1.0146365949882883,1.1560004352556552
1,2005-11-25,1.2635318233177983,1.0350967124779633,1.0243923952960825,1.2683066687672908
1,2005-11-28,1.3459833486896267,1.0350967124779633,1.0310770481091536,1.3523380824265367
1,2005-11-29,1.4511064035967844,1.0350967124779633,1.0391298943235894,1.4593097884085486
1,2005-11-30,1.6049640850125815,1.0350967124779633,1.0501475644154714,1.6154965668066987
1,2005-12-01,1.74075596950938,1.0350967124779633,1.0590325929406164,1.7537950740734425
1,2005-12-02,1.9236476805632685,1.0350967124779633,1.0701592693029176,1.9398105276185629
1,2005-12-05,2.176977763763549,1.0350967124779633,1.0842524704368528,2.197208948015166
1,2005-12-06,2.3702244655654323,1.1269805291442987,1.0938771996058927,2.394448747402628
1,2005-12-07,2.5023524226062928,1.1269805291442987,1.0999750085576296,2.5303215336786598
1,2005-12-08,2.60532714439603,1.1269805291442987,1.1045015340565405,2.6369775385554384
1,2005-12-09,2.5857834877033654,1.1269805291442987,1.1036730009164872,2.619833436458506
1,2005-12-12,2.603098104563481,1.1269805291442987,1.1044120293479316,2.6399958879855028
1,2005-12-13,2.648198791398581,1.1269805291442987,1.1063255085589232,2.6883758533280595
1,2005-12-14,2.64831848598957,1.1269805291442987,1.1063305089833504,2.691185739714975
1,2005-12-15,2.6885708007908415,1.1269805291442987,1.108012042535959,2.734780788096884
1,2005-12-16,2.667784813038586,1.1269805291442987,1.1071554117662308,2.7163723206023747
1,2005-12-19,2.5928915692991836,1.1269805291442987,1.1040472727699537,2.642831442600705
1,2005-12-20,2.651082656882612,1.1522728411918788,1.1065250359092496,2.7047861395164086
1,2005-12-21,2.738053609472955,1.1522728411918788,1.1101550825314568,2.7962236652769192
1,2005-12-22,2.812774885355672,1.1522728411918788,1.1131846873539277,2.8753286212475344
1,2005-12-23,2.8668986357039916,1.1522728411918788,1.1153266906270511,2.933531366675584
1,2005-12-26,2.9089599921459794,1.1522728411918788,1.116963028685868,2.9795038485342067
1,2005-12-27,2.862095214490355,1.1522728411918788,1.1151635462546814,2.9344820784695087
1,2005-12-28,2.8389260017981544,1.1522728411918788,1.1142607998590006,2.913661362232671
1,2005-12-29,2.739301279477383,1.1522728411918788,1.1103505914665113,2.814327658230208
1,2005-12-30,2.585188297602474,1.1522728411918788,1.104103763420999,2.658808022905865
1,2006-01-02,2.484256958038451,1.1522728411918788,1.0997931036534645,2.5576612181444576
1,2006-01-03,2.3188886128036565,1.0755700458589224,1.092472163480053,2.389964267838953
1,2006-01-04,2.193195442555788,1.0755700458589224,1.0865505211520357,2.262808473011187
1,2006-01-05,2.0791370927480926,1.0755700458589224,1.0808998546851716,2.147392667278359
1,2006-01-06,1.9753441425234792,1.0755700458589224,1.0755038764590872,2.0423397117795985
1,2006-01-09,1.919147900532761,1.0755700458589224,1.072444193095446,1.9862798635233612
1,2006-01-10,1.892787530515791,1.0755700458589224,1.0709711421781771,1.9609836852995233
1,2006-01-12,1.892787530515791,1.0755700458589224,1.0709711421781771,1.9439480511720768
1,2006-01-13,1.8990766402429646,1.0755700458589224,1.0713269906249365,1.9523510985149772
1,2006-01-16,1.969941127597662,1.0755700458589224,1.0753246722545822,2.027155885792657
1,2006-01-17,2.0204657479681396,1.0755700458589224,1.078082641519731,2.0811750936878193
1,2006-01-18,2.039952857428037,1.0859437684704132,1.0791224371442418,2.103328911387149
1,2006-01-19,2.013735544021239,1.0859437684704132,1.0777355574898468,2.078400422839313
1,2006-01-20,2.0546668730548956,1.0859437684704132,1.0799261702962732,2.12272453513008
1,2006-01-23,2.118400583867894,1.0859437684704132,1.08327599323544,2.190692051067569
1,2006-01-24,2.1419465105483058,1.0859437684704132,1.0844800496025697,2.217232186187434
1,2006-01-25,2.1636731864052265,1.0859437684704132,1.0855800839122491,2.2419397489078303
1,2006-01-27,2.150868196654401,1.0859437684704132,1.0849376189625728,2.2309135039386807
1,2006-01-30,2.0964140261127593,1.0859437684704132,1.0821908500893371,2.1766637160234947
1,2006-01-31,2.0302604687556642,1.0859437684704132,1.07877593425778,2.110154496993319
1,2006-02-01,1.982549165952555,1.0859437684704132,1.07624080115303,2.0626758318699925
1,2006-02-02,1.9662739871039798,1.07702901903828,1.0753572915874812,2.047805551562947
1,2006-02-03,1.9872884932614552,1.07702901903828,1.0765065771180717,2.0717392299149804
1,2006-02-06,1.9698436849303287,1.07702901903828,1.0755615985219242,2.0556248356768605
1,2006-02-07,1.9698436849303287,1.07702901903828,1.0755615985219242,2.0405953701245316
1,2006-02-08,1.977423949829499,1.07702901903828,1.0759754913548705,2.0504884938835324
1,2006-02-10,1.9759914343438894,1.07702901903828,1.0758975439044194,2.051053536365292
1,2006-02-13,2.0211232526676244,1.07702901903828,1.0783549033667377,2.0999508332439163
