asset,model,config_id,total_folds,mean_strat_cum_return_pct,mean_buy_hold_return_pct,mean_win_rate_pct,mean_profit_factor,mean_max_drawdown_pct,mean_sharpe,mean_filtered_cum_return_pct,mean_filtered_precision_pct
hdfcbank_ns,logistic_regression,C0,5,25993.98768216978,4973429.076761005,56.294238268307716,1.8157836600573023,71.6606106993044,2.183930540036749,6850.024986822913,56.98182218043997
hdfcbank_ns,logistic_regression,C5,5,33197.83110146592,4973429.076761005,55.451232270812554,1.601279675227575,81.49911021197586,2.1568896974930096,12625.37903623825,56.225555490425336
hdfcbank_ns,logistic_regression,C57,5,25369.170178904136,4973429.076761005,55.663311204355246,1.6140299069746198,82.47457465268234,2.1977157776494134,7712.470543023952,55.48107801120501
hdfcbank_ns,logistic_regression,C7,5,27896.876256576787,4973429.076761005,57.145604106782386,2.1373565867612183,71.61749085023409,2.3080633338220387,20349.95314551351,57.92337537506951
hdfcbank_ns,logistic_regression,C8,5,26216.24962964056,4973429.076761005,55.88729748894672,1.602240064513714,84.27910302059891,2.209448507840222,18253.12254059921,58.272049188152884
hdfcbank_ns,random_forest,C0,5,36273.54421287883,4973429.076761005,57.97898228105352,1.6903626351336516,82.05954220236625,2.153621776122602,3529.365178892813,57.436414007854886
hdfcbank_ns,random_forest,C5,5,12779.318180857344,4973429.076761005,57.48485733182238,1.8520655697210535,74.77402329724686,2.398701892841571,4448.24041464664,59.63651128161782
hdfcbank_ns,random_forest,C57,5,20326.332498195858,4973429.076761005,59.02764930316749,1.9158721537868986,76.10759596149073,2.4861738036064605,7811.453935471303,62.012976037906874
hdfcbank_ns,random_forest,C7,5,23529.833502430425,4973429.076761005,58.59151351297983,1.7422360224456939,79.54011750601457,2.234438775917739,7465.6366892347505,58.74181562159624
hdfcbank_ns,random_forest,C8,5,17169.799861784475,4973429.076761005,57.3195681812405,1.7256435498350782,82.25049984067135,2.4100072817131144,4990.058108875718,59.43515988513642
hdfcbank_ns,xgboost,C0,5,9943.933505129218,4973429.076761005,55.593331700223025,1.6326031725575185,77.59130558003211,1.9151955332013852,4253.9074472298435,55.90638295999831
hdfcbank_ns,xgboost,C5,5,24478.584977277933,4973429.076761005,56.45461634014419,1.6448118563897247,80.2088831375348,2.1393823545347965,22793.80993186031,57.919923884331595
hdfcbank_ns,xgboost,C57,5,63858.69120906161,4973429.076761005,57.540945158133994,1.7123426264474115,81.33866973433535,2.309298999050573,24917.736179504504,58.68420394003746
hdfcbank_ns,xgboost,C7,5,17472.352623684466,4973429.076761005,57.97956155735227,1.7861487978142967,78.33902363311502,2.403821404890365,6995.5037483455835,59.05532862651339
hdfcbank_ns,xgboost,C8,5,4989.600276435543,4973429.076761005,55.21296581448218,1.5312741773597085,84.80768009504246,1.9307793521116392,3207.6778844352716,56.16132536755444
icicibank_ns,logistic_regression,C0,5,1516.8923544348213,289366.219793429,53.73818943719473,1.792850923846364,74.4310818243106,1.113080572408294,545.9333073027198,44.832385513319366
icicibank_ns,logistic_regression,C5,5,8951.322517304707,289366.219793429,58.88771240270938,4.083444064840522,60.28282272144503,1.746882468258012,4538.632397078373,49.2049769899707
icicibank_ns,logistic_regression,C57,5,29876.99308746202,289366.219793429,56.06649975283516,3.5241074488155264,62.08874309991541,1.6734073165172478,7782.490189081066,47.01663681873588
icicibank_ns,logistic_regression,C7,5,799.8358775295866,289366.219793429,52.8937442903354,1.612640668454724,75.12798043729198,1.1437261113626156,755.5833826133776,64.74129354261675
icicibank_ns,logistic_regression,C8,5,288391.6973030992,289366.219793429,52.306258161003825,2.604478791485289,70.94291357637493,1.4363430329065237,162922.78219283337,61.43230152161758
icicibank_ns,random_forest,C0,5,6754.833077174676,289366.219793429,58.471850702400765,1.6987607527786412,86.38171307351392,1.7348454180431503,2170.756716015324,58.79300668287042
icicibank_ns,random_forest,C5,5,5951.786959085782,289366.219793429,55.46241125985372,1.4803062851986921,94.74452793482571,1.3947946436108105,1009.2157074690537,57.636423476893405
icicibank_ns,random_forest,C57,5,748.2100529720552,289366.219793429,53.877994943257576,1.3080262829399225,95.75406414652412,0.8578794968503267,630.5895165005177,56.59454057703294
