Model,Validation Accuracy,Validation Precision,Validation Recall,Validation F1,Validation ROC-AUC,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC,Training Time,Prediction Time,Feature Count,Training Samples,Validation Samples,Test Samples
logistic_regression,0.5296523517382413,0.5426356589147286,0.5555555555555556,0.5490196078431373,0.5328301855200589,0.5040816326530613,0.5037128712871287,0.8272357723577236,0.6261538461538462,0.4966180194588831,0.1210595000302419,0.00570989993866533,32,5544,978,980
random_forest,0.5102249488752556,0.5135135135135135,0.9424603174603174,0.6648005598320503,0.4834949099189605,0.503061224489796,0.5190839694656488,0.13821138211382114,0.21829855537720708,0.5160560775689724,0.9125622999854386,0.16076500003691763,32,5544,978,980
xgboost,0.50920245398773,0.5126849894291755,0.9623015873015873,0.6689655172413793,0.5095899470899471,0.5275510204081633,0.5687203791469194,0.24390243902439024,0.3413940256045519,0.5051312808210049,0.4759534999029711,0.01213579997420311,32,5544,978,980
